time_ms,confidence_movement,smoothed_confidence,anno_values
0,0.0,0.0,no movement
1,0.0,0.0013693608952379,no movement
2,0.0,0.0027207038839595,no movement
3,0.0,0.0040543822584495,no movement
4,0.0,0.0053707401345695,no movement
5,0.0,0.0066701127477718,no movement
6,0.0,0.0079528267377279,no movement
7,0.0,0.0092192004220795,no movement
8,0.0,0.0104695440597938,no movement
9,0.0,0.0117041601045808,no movement
10,0.0,0.0129233434488079,no movement
11,0.0,0.0141273816583242,no movement
12,0.0,0.0153165551985872,no movement
13,0.0,0.0164911376524666,no movement
14,0.0,0.0176513959300791,no movement
15,0.0,0.0187975904709934,no movement
16,0.0,0.0199299754391255,no movement
17,0.0,0.0210487989106333,no movement
18,0.0,0.0221543030550993,no movement
19,0.0,0.0232007624839958,no movement
20,0.0,0.0242349106254934,no movement
21,0.0,0.0252569634670905,no movement
22,0.0,0.0262671319733202,no movement
23,0.0,0.0272529703923492,no movement
24,0.0,0.0282274773352973,no movement
25,0.0,0.0291908470560404,no movement
26,0.0,0.0301432693935932,no movement
27,0.0,0.0310849298968233,no movement
28,0.0,0.032016009944961,no movement
29,0.0,0.0329366868640693,no movement
30,0.0,0.0338471340396318,no movement
31,0.0,0.0347475210254092,no movement
32,0.0,0.0356380136487055,no movement
33,0.0,0.0365187741121843,no movement
34,0.0,0.0373899610923644,no movement
35,0.0,0.038251729834921,no movement
36,0.0,0.0391042322469125,no movement
37,0.0,0.0399476169860484,no movement
38,0.0,0.0407820295471084,no movement
39,0.0,0.0416076123456175,no movement
40,0.0,0.0424245047988792,no movement
41,0.0,0.0432328434044627,no movement
42,0.0,0.0440327618162381,no movement
43,0.0,0.0447817460038983,no movement
44,0.0,0.0455230087050878,no movement
45,0.0,0.0462566687119062,no movement
46,0.0,0.0469828423921244,no movement
47,0.0,0.0476653895473617,no movement
48,0.0,0.0483410422868897,no movement
49,0.0,0.0490099045466233,no movement
50,0.0,0.0496720781837596,no movement
51,0.0,0.0503276630284867,no movement
52,0.0,0.050976756934157,no movement
53,0.0,0.0516194558259783,no movement
54,0.0,0.052255853748272,no movement
