Time,TrialID,Head_x_c,Head_y_c,Head_z_c,LShoulder_x_c,LShoulder_y_c,LShoulder_z_c,RShoulder_x_c,RShoulder_y_c,RShoulder_z_c,LElbow_x_c,LElbow_y_c,LElbow_z_c,RElbow_x_c,RElbow_y_c,RElbow_z_c,LWrist_x_c,LWrist_y_c,LWrist_z_c,RWrist_x_c,RWrist_y_c,RWrist_z_c,LKnee_x_c,LKnee_y_c,LKnee_z_c,RKnee_x_c,RKnee_y_c,RKnee_z_c,LHeel_x_c,LHeel_y_c,LHeel_z_c,RHeel_x_c,RHeel_y_c,RHeel_z_c,LHip_x_c,LHip_y_c,LHip_z_c,RHip_x_c,RHip_y_c,RHip_z_c,LKnee_speed,LHeel_speed,RHeel_speed,RWrist_speed,RWrist_vert_vel,LElbow_speed,RHip_speed,Head_speed,RShoulder_speed,RElbow_speed,LWrist_speed,LWrist_vert_vel,LHip_speed,RKnee_speed,LShoulder_speed
0.0,0_1_11_p1,-3.4270017775641968,-4.476473407404974,31.597961616277026,10.558937008576692,1.0115527856974076,49.03862847420844,-19.92695419621319,0.6885156357252562,46.86203283330603,22.667025337675987,-1.823799261212823,-25.30757454509345,-16.907866474917157,-1.5515968456980858,-27.314693262061056,9.08630243271508,-12.45138352831773,-44.18683201185616,-1.88531895777761,-12.748422848143314,-43.77764411349503,13.13236224619952,6.365363189037392,-37.95972831062176,-8.656790110239957,3.4625653915894468,-39.80801561715832,51.729121350510695,53.01745449259022,-152.36032925930314,34.58825224698464,46.91042946884234,-149.5871738003524,6.235481213329265,-18.967514601908068,83.48598316816395,-16.30078992390994,-18.617370397033827,81.92953634693329,8.285602692733129,6.009794279816862,0.0,2.1638218294828224,-0.1547623213044107,2.9389879273391446,3.0356927816269046,1.6547102793694457,0.6583173336492743,1.6173445504757775,2.9653541828313563,0.9226453388831942,0.0,7.32030053617522,1.4447872450422623
16.6666666666666,0_1_11_p1,-3.4270017775641968,-4.476473407404974,31.597961616277026,10.558937008576692,1.0115527856974076,49.03862847420844,-19.92695419621319,0.6885156357252562,46.86203283330603,22.667025337675987,-1.823799261212823,-25.30757454509345,-16.907866474917157,-1.5515968456980858,-27.314693262061056,9.08630243271508,-12.45138352831773,-44.18683201185616,-1.88531895777761,-12.748422848143314,-43.77764411349503,13.13236224619952,6.365363189037392,-37.95972831062176,-8.656790110239957,3.4625653915894468,-39.80801561715832,51.729121350510695,53.01745449259022,-152.36032925930314,34.58825224698464,46.91042946884234,-149.5871738003524,6.235481213329265,-18.967514601908068,83.48598316816395,-16.30078992390994,-18.617370397033827,81.92953634693329,8.285602692733129,6.009794279816862,0.0,2.1638218294828224,-0.1547623213044107,2.9389879273391446,3.0356927816269046,1.6547102793694457,0.6583173336492743,1.6173445504757775,2.9653541828313563,0.9226453388831942,0.0,7.32030053617522,1.4447872450422623
33.3333333333333,0_1_11_p1,-3.450511452923408,-4.468004638510461,31.610551393809963,10.552214200111967,0.98767004923306,49.0229907997862,-19.908345987420585,0.6966733190403751,46.86516507918546,22.659995397438287,-1.8830470233096008,-25.290781741565645,-16.921957620338922,-1.5695950954471556,-27.2899498607162,9.067682446822715,-12.508490822635242,-44.17174088387504,-1.918176503307194,-12.7782161433987,-43.78637089608049,13.133550114064228,6.273373225168392,-38.05573346267265,-8.699583006707801,3.3477886892107875,-39.864246790550894,51.764627520605046,53.12223882274204,-152.37595380455056,34.57330991558418,46.839936536963954,-149.49997113935476,6.223836879801191,-18.969640770247715,83.44538200520705,-16.294588699328287,-18.58404608744933,81.88334175894869,8.156676542933482,5.92766620079419,6.787384685666111,2.1899865574780453,-0.2338828461736796,2.9692559206749958,3.076285812379836,1.6455388205102843,0.8018577610103507,1.6273329290427885,2.9775413874352674,0.870586985958843,2.5374861384584197,7.148020131313779,1.4661503232728694
50.0,0_1_11_p1,-3.474021128282605,-4.459535869615969,31.6231411713429,10.545491391647223,0.9637873127687192,49.00735312536396,-19.889737778627985,0.7048310023555011,46.86829732506489,22.652965457200573,-1.9422947854063928,-25.273988938037835,-16.936048765760667,-1.5875933451962467,-27.265206459371345,9.049062460930363,-12.56559811695277,-44.15664975589392,-1.9510340488367603,-12.80800943865411,-43.795097678665954,13.134737981928936,6.181383261299391,-38.15173861472354,-8.742375903175649,3.2330119868321283,-39.92047796394348,51.80013369069938,53.22702315289386,-152.39157834979798,34.55836758418373,46.76944360508558,-149.41276847835715,6.212192546273137,-18.97176693858736,83.40478084225018,-16.288387474746628,-18.55072177786484,81.83714717096412,8.027750393133838,5.845538121771517,6.78738468566453,2.216151285473268,-0.3130033710429484,2.9995239140108465,3.1168788431327674,1.636367361651123,0.9453981883714272,1.637321307609799,2.9897285920391785,0.8185286330344917,2.537486138456419,6.975739726452339,1.4875134015034768
66.6666666666666,0_1_11_p1,-3.497530803641805,-4.451067100721456,31.63573094887584,10.538768583182495,0.9399045763043752,48.991715450941726,-19.87112956983538,0.71298868567062,46.87142957094433,22.645935516962894,-2.0015425475031634,-25.257196134510025,-16.950139911182422,-1.6055915949453097,-27.24046305802649,9.030442475038,-12.622705411270278,-44.141558627912815,-1.9838915943663409,-12.837802733909497,-43.8038244612514,13.135925849793644,6.089393297430387,-38.247743766774434,-8.785168799643493,3.1182352844534726,-39.97670913733605,51.83563986079373,53.33180748304568,-152.4072028950454,34.54342525278328,46.6989506732072,-149.3255658173595,6.200548212745069,-18.97389310692701,83.36417967929327,-16.282186250164976,-18.51739746828035,81.79095258297951,7.898824243334191,5.763410042748845,6.787384685667103,2.2423160134684905,-0.3921238959122172,3.029791907346697,3.1574718738856986,1.6271959027919616,1.0889386157325036,1.6473096861768095,3.00191579664309,0.7664702801101405,2.537486138458334,6.803459321590898,1.508876479734084
83.3333333333333,0_1_11_p1,-3.521040479001016,-4.44259833182695,31.64832072640877,10.532045774717766,0.9160218398400382,48.9760777765195,-19.85252136104277,0.721146368985746,46.87456181682377,22.63890557672518,-2.060790309599952,-25.24040333098221,-16.964231056604188,-1.62358984469439,-27.21571965668164,9.01182248914565,-12.6798127055878,-44.1264674999317,-2.016749139895925,-12.86759602916489,-43.81255124383686,13.137113717658352,5.99740333356139,-38.34374891882531,-8.827961696111341,3.003458582074817,-40.032940310728605,51.87114603088806,53.436591813197495,-152.42282744029282,34.52848292138282,46.62845774132882,-149.23836315636188,6.188903879217008,-18.976019275266665,83.3235785163364,-16.275985025583314,-18.48407315869586,81.74475799499494,7.769898093534546,5.681281963726172,6.787384685664587,2.2684807414637134,-0.4712444207814861,3.0600599006825484,3.1980649046386302,1.6180244439328002,1.23247904309358,1.65729806474382,3.014103001247001,0.7144119271857893,2.5374861384565475,6.631178916729457,1.530239557964691
99.9999999999999,0_1_11_p1,-3.54455015436022,-4.434129562932455,31.660910503941714,10.525322966253036,0.8921391033756905,48.96044010209727,-19.833913152250165,0.7293040523008685,46.87769406270319,22.63187563648747,-2.120038071696733,-25.2236105274544,-16.97832220202594,-1.641588094443474,-27.190976255336796,8.99320250325328,-12.736919999905322,-44.11137637195059,-2.049606685425502,-12.897389324420285,-43.82127802642233,13.13830158552306,5.905413369692397,-38.439754070876205,-8.870754592579186,2.8886818796961578,-40.08917148412118,51.90665220098241,53.541376143349325,-152.43845198554024,34.51354058998237,46.55796480945044,-149.15116049536425,6.1772595456889405,-18.97814544360631,83.28297735337952,-16.26978380100165,-18.450748849111363,81.69856340701037,7.6409719437349,5.599153884703499,6.787384685666055,2.294645469458936,-0.5503649456507549,3.090327894018399,3.238657935391561,1.6088529850736388,1.3760194704546564,1.6672864433108303,3.026290205850912,0.6623535742614381,2.5374861384566647,6.458898511868016,1.5516026361952984
116.6666666666666,0_1_11_p1,-3.5680598297194277,-4.425660794037952,31.67350028147465,10.518600157788306,0.8682563669113499,48.944802427675015,-19.81530494345756,0.7374617356159838,46.88082630858262,22.624845696249764,-2.179285833793518,-25.20681772392659,-16.9924133474477,-1.6595863441925438,-27.16623285399193,8.974582517360915,-12.794027294222849,-44.09628524396948,-2.082464230955086,-12.927182619675683,-43.830004809007775,13.139489453387768,5.813423405823389,-38.5357592229271,-8.913547489047033,2.7739051773174914,-40.14540265751376,51.94215837107674,53.64616047350115,-152.45407653078766,34.498598258581914,46.48747187757206,-149.06395783436665,6.165615212160887,-18.980271611945952,83.24237619042265,-16.263582576419992,-18.41742453952687,81.6523688190258,7.512045793935254,5.517025805680827,6.78738468566453,2.3208101974541586,-0.6294854705200237,3.1205958873542503,3.2792509661444926,1.5996815262144777,1.519559897815733,1.6772748218778413,3.038477410454824,0.6102952213370869,2.537486138456419,6.286618107006576,1.5729657144259055
133.33333333333331,0_1_11_p1,-3.5915695050786383,-4.417192025143457,31.686090059007583,10.511877349323584,0.8443736304470093,48.92916475325278,-19.796696734664955,0.7456194189311205,46.88395855446204,22.61781575601205,-2.238533595890299,-25.190024920398766,-17.006504492869468,-1.6775845939416278,-27.14148945264709,8.955962531468558,-12.85113458854036,-44.08119411598837,-2.11532177648467,-12.956975914931084,-43.838731591593216,13.14067732125249,5.721433441954403,-38.63176437497799,-8.956340385514878,2.6591284749388397,-40.20163383090633,51.97766454117109,53.75094480365297,-152.46970107603508,34.483655927181466,46.416978945693685,-148.976755173369,6.153970878632812,-18.982397780285616,83.20177502746577,-16.25738135183834,-18.384100229942387,81.6061742310412,7.383119644135609,5.434897726658154,6.7873846856657885,2.346974925449381,-0.7086059953892927,3.150863880690101,3.3198439968974243,1.5905100673553163,1.6631003251768088,1.6872632004448525,3.050664615058735,0.5582368684127356,2.537486138456836,6.114337702145135,1.5943287926565124
150.0,0_1_11_p1,-3.625995303940648,-4.3474114676956574,31.6927699824136,10.504689971266636,0.8185757913855554,48.90660701813615,-19.777140834869066,0.7013739507280263,46.88498830188024,22.61293203816889,-2.2668672169963315,-25.19757579599651,-17.02095586535553,-1.6750247514962808,-27.133011811187924,8.945805499772263,-12.903232749118882,-44.054119369751575,-2.150061374560263,-12.957578413794892,-43.85041728915883,13.141468663626156,5.628923552168359,-38.73698232715864,-8.999529807473763,2.543831846643158,-40.26707780442864,52.013170711265424,53.85572913380479,-152.48532562128253,34.459626030683225,46.34416555776158,-148.89891972642593,6.1476633786357056,-18.982323868764347,83.18428307179568,-16.246636344707788,-18.349615692331025,81.56466325008388,7.254193494335963,5.352769647635482,6.555554582131926,2.505567383204202,-0.8102222587444332,3.253946410473404,3.3604370276503555,1.6250563212389662,1.7999527853869552,1.7871890591069468,3.3160175229357227,0.6034265398773767,1.1156750047607236,5.942057297283695,1.6983026988315018
