trial_id,condition,env_mean,env_rms,env_p95,env_integral,rwrist_mean,rwrist_rms,rwrist_p95,rwrist_integral,lwrist_mean,lwrist_rms,lwrist_p95,lwrist_integral,arm_acc_mean,arm_acc_rms,arm_acc_p95,arm_acc_integral,arm_power_mean,arm_power_rms,arm_power_p95,arm_power_integral,f0_mean,f0_rms,f0_p95,f0_integral
10_1_11_p1,multimodal,0.08078939188772791,0.10527620959792204,0.2438874484893363,375.02435714283297,39.39898625090275,48.15139634997208,100.80101407535862,182890.0941766906,41.27123198020557,49.48518788180557,95.09000465807084,191581.05885211425,6.882875957033693,8.734963370997356,18.164558866334573,31950.3101925504,11.696300360936908,13.618128129424697,24.834944942649575,54294.226275469126,288.49973820513776,296.5116676839308,352.07658853040425,8366.492407948996
10_1_12_p1,multimodal,0.03998865088576314,0.04536393204691542,0.083356165330052,171.23140309283775,44.58460049965602,58.845217960767776,139.18604126170928,190911.25933952708,30.533112807044237,35.43105696296108,57.282306937613896,130744.92246146788,5.8345239812152165,6.779725547123637,13.266805062937317,24983.431687563556,18.751633348918375,23.25691090630741,51.40488631002622,80294.49400006849,271.5421940179214,275.9238192832646,332.4422669091366,83091.91136948396
10_1_13_p1,multimodal,0.04991095664435828,0.06924628054274574,0.1881173283166091,156.4708490800632,70.52259960486788,97.48042060614276,202.05777979929553,221088.3497612608,57.5206398494441,81.9421040733133,193.38201530213675,180327.20592800726,9.308330064892484,11.782149658428297,22.782982276842702,29181.614753437938,25.291529024056192,30.180107058670078,49.71592964217227,79288.94349041616,200.65473672309773,200.84300367363835,211.0447513284017,5618.332628246736
10_1_14_p1,multimodal,0.03397959526849354,0.03414366892366796,0.0380912118679608,130.88940097423713,30.86175997400538,39.74471878724787,75.35594849011459,118879.49941986872,31.989612461177373,40.68738700092747,87.89891251461407,123223.98720045525,5.283706014693754,6.665758638220073,13.81196158417652,20352.83556860034,8.21121448634574,9.923716732789773,21.275417974128935,31629.59820140379,,,,
10_1_15_p1,multimodal,0.04307062573583229,0.05688582847929263,0.10186201046429552,173.27312733525332,56.8647492674472,75.17267335751734,167.8502871623462,228790.4272463708,51.7820401729096,75.35801116087748,187.72036186467605,208319.14761561534,9.490917510734429,12.318389844087942,25.938200394943223,38181.9611456846,25.88747868465902,35.70210625393085,78.56292969178422,104145.32674838323,,,,
10_1_16_p1,multimodal,0.03521527538169469,0.03647649246044489,0.044793594316753026,96.27856289355327,18.501199961111574,23.847149995328177,51.310605166153536,50582.280693679044,31.271012360030152,43.84374989013821,107.2942715970065,85494.94779232243,4.986057631779971,6.738836129348318,15.240523415175744,13631.881565286441,8.506334756267645,9.859734396362082,20.353129527783484,23256.319223635743,275.51412187164607,278.1895764116637,348.31467303489063,38296.4629401588
10_1_17_p1,multimodal,0.03466152963044119,0.034750858907202684,0.04003935416120709,83.984886294559,48.51101191360517,60.57196639587863,126.34277955973324,117542.18186666531,49.5616849020818,59.37652222164828,125.44831328653335,120087.9625177442,7.576667824528229,9.355669668466755,17.987321169647604,18358.2661388319,13.32957615110905,14.388972103499228,25.67708145153752,32297.563014137228,,,,
10_1_20_p0,gesture,0.02285743439442651,0.024088725959860405,0.0274877731136303,172.36791276837033,25.761350905862844,34.856278116452295,79.76708841595523,194266.34718111172,27.225070459724233,38.31844414003745,86.66466509764356,205304.25633678044,4.550705097519063,6.6842726227413625,15.415085626501948,34316.86714039125,19.148461502196827,30.955055292849977,54.22164859405626,144398.54818806628,,,,
10_1_21_p0,gesture,0.023852980794209534,0.025390240889985094,0.03931458991431528,110.86865473148592,27.188800773237933,38.96203717152093,69.69080631560439,126374.65148278343,28.688930459015417,42.77813640973968,86.28632232538861,133346.14877350366,4.858737927029582,7.030589687906979,16.772786469706347,22583.413884833495,10.043745259755067,14.139032900819515,32.95626470176293,46683.32796734155,221.54899938649112,223.5418933800385,266.18139755907765,5317.175985275787
10_1_22_p0,gesture,0.022177959821826614,0.02248219447203915,0.024386339009266435,103.23840297060289,109.821395042423,126.19564085150076,214.7201049738292,511220.3616797193,95.14434040467175,108.3970087826431,186.84657301727066,442896.90458374703,14.851822015449738,17.05259125991149,29.893551693667963,69135.23148191853,46.02369881056059,53.97774268717073,130.57160098274758,214261.17242796492,284.53450708332883,284.5550054927148,290.4418827503297,1991.741549583302
