FILE,WATCHED,CUT,SOUND,HISS,MOVEMENT,NOISE,WEIRD
1_2_trial_17_p0_vangen_geluiden_c1_final.avi,1,1,0,0,0,0,0
1_2_trial_18_p0_vangen_geluiden_c2_final.avi,1,0,0,0,0,0,0
20_2_trial_21_p0_likken_geluiden_c0_final.avi,1,1,0,0,0,0,0
20_2_trial_55_p0_piepen_combinatie_c0_final.avi,1,1,0,0,0,0,0
20_2_trial_61_p0_staan_combinatie_c2_final.avi,1,0,0,0,0,0,0
21_1_trial_13_p1_walgen_geluiden_final.avi,1,1,0,0,0,0,0
21_1_trial_29_p1_blij_gebaren_final.avi,1,1,0,0,0,0,0
21_1_trial_34_p1_zuigen_gebaren_final.avi,1,1,0,0,0,0,0
22_1_trial_12_p1_misschien_geluiden_final.avi,1,1,0,0,0,0,0
22_1_trial_44_p0_likken_combinatie_final.avi,1,0,0,0,0,0,0
22_2_trial_92_p0_vangen_combinatie_c1_final.avi,1,0,0,0,0,0,0
23_1_trial_34_p1_kotsen_geluiden_final.avi,1,1,0,0,0,0,0
24_1_trial_8_p0_onweer_geluiden_final.avi,1,0,0,0,0,0,0
24_2_trial_79_p1_likken_gebaren_c0_final.avi,1,1,0,0,0,0,0
24_2_trial_97_p0_geven_combinatie_c0_final.avi,1,0,0,0,0,0,0
26_1_trial_16_p1_staan_combinatie_final.avi,1,0,0,0,0,0,0
26_2_trial_114_p1_grommen_gebaren_c0_final.avi,1,0,0,0,0,0,0
26_2_trial_29_p1_vlieg_geluiden_c2_final.avi,1,1,0,0,0,0,0
26_2_trial_45_p0_vrouw_combinatie_c1_final.avi,1,0,0,0,0,0,0
26_2_trial_70_p1_bang_combinatie_c1_final.avi,1,1,0,0,0,0,0
27_1_trial_11_p1_ik_combinatie_final.avi,1,0,0,0,0,0,0
27_2_trial_103_p1_slaan_geluiden_c2_final.avi,1,1,0,0,0,0,0
27_2_trial_32_p0_kind_combinatie_c1_final.avi,1,0,0,0,0,0,0
27_2_trial_33_p0_kind_combinatie_c2_final.avi,1,0,0,0,0,0,0
27_2_trial_79_p0_onweer_geluiden_c0_final.avi,1,0,0,0,0,0,0
27_2_trial_81_p0_onweer_geluiden_c2_final.avi,1,0,0,0,0,0,0
27_2_trial_92_p1_heet_geluiden_c1_final.avi,1,1,0,0,0,0,0
27_2_trial_94_p1_stil_geluiden_c0_final.avi,1,1,0,0,0,0,0
28_1_trial_3_p0_dood_geluiden_final.avi,1,1,0,0,0,0,0
28_1_trial_47_p1_hond_gebaren_final.avi,1,1,0,0,0,0,0
28_2_trial_31_p0_verdrietig_geluiden_c2_final.avi,1,1,0,0,0,0,0
28_2_trial_33_p0_bang_geluiden_c1_final.avi,1,0,0,0,0,0,0
28_2_trial_38_p0_staan_geluiden_c0_final.avi,1,0,0,0,0,0,0
28_2_trial_61_p1_onweer_geluiden_c1_final.avi,1,0,0,0,0,0,0
28_2_trial_62_p1_onweer_geluiden_c2_final.avi,1,0,0,0,0,0,0
28_2_trial_65_p1_vangen_geluiden_c2_final.avi,1,0,0,0,0,0,0
29_1_trial_21_p0_berg_combinatie_final.avi,1,0,0,0,0,0,0
29_2_trial_63_p1_blij_geluiden_c2_final.avi,1,1,0,0,0,0,0
29_2_trial_64_p1_stil_geluiden_c0_final.avi,1,1,0,0,0,0,0
29_2_trial_67_p1_bijten_geluiden_c2_final.avi,1,1,0,0,0,0,0
29_2_trial_68_p1_grommen_geluiden_c0_final.avi,1,1,0,0,0,0,0
2_1_trial_22_p0_vallen_geluiden_final.avi,1,1,0,0,0,0,0
2_1_trial_25_p0_gooien_geluiden_final.avi,1,1,0,0,0,0,0
2_2_trial_100_p1_ademen_gebaren_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_101_p1_kauwen_gebaren_c0_final.avi,1,1,0,0,0,0,0
2_2_trial_105_p1_wind_gebaren_c2_final.avi,1,1,0,0,0,0,0
2_2_trial_22_p1_blij_combinatie_c1_final.avi,1,1,0,0,0,0,0
