word,answer,exp,English,answer_en,cosine_similarity,euclidean_distance,mean_similarity
bloem,feest,1,flower,party,0.0900239422917366,1.349049687385559,2.1
dansen,juichen,1,dance,cheer,0.23117327690124512,1.2399964332580566,3.6
bitter,lekker,1,bitter,tasty,0.2822722792625427,1.1981114149093628,3.0
vechten,schieten,1,fight,shoot,0.0952124297618866,1.3451948165893555,5.1
ademen,ademen,1,breathe,breathe,1.0000001192092896,0.0,10.0
bijten,zombie,1,bite,zombie,0.08437825739383698,1.3532136678695679,4.8
zoemen,bij,1,buzz,bee,0.2874678373336792,1.1937681436538696,6.0
fluisteren,zee,1,whisper,sea,0.07044952362775803,1.3634974956512451,0.9
walgen,vies,1,disgusted,dirty,0.24061740934848785,1.2323975563049316,4.4
langzaam,lekker,1,slow,tasty,0.08032964915037155,1.3562395572662354,0.9
auto,auto,1,car,car,1.0000001192092896,0.0,10.0
eten,eten,1,eat,eat,1.0,0.0,10.0
ei,eten,1,egg,eat,0.12122183293104172,1.325706958770752,3.7
zwemmen,waaien,1,swim,blow,0.0020796703174710274,1.4127126932144165,1.5
snel,waterslang,1,fast,hose,0.006238759029656649,1.409826397895813,0.3
regen,waterslang,1,rain,hose,0.16558153927326202,1.291858196258545,3.5
boos,ergeren,1,angry,annoy,0.3699018359184265,1.1226009130477905,4.0
luidruchtig,lawaai maken,1,noisy,make noise,,,7.6
luidruchtig,lawaai maken,1,loud,make noise,,,6.3
snel,wegrennen,1,fast,run away,,,5.1
olifant,olifant,1,elephant,elephant,1.0,0.0,10.0
verdrietig,huilen,1,sad,cry,0.3533213436603546,1.137275218963623,6.6
koud,koud,1,cold,cold,1.0,0.0,10.0
staan,outfit,1,stand,outfit,0.026053927838802338,1.395663857460022,1.6
stil,stilte,1,silent,silence,0.7690059542655945,0.6797075867652893,8.9
lopen,skien,1,walk,ski,0.07250986993312836,1.3620049953460693,3.6
bang,fout,1,scared,wrong,0.12179523706436157,1.3253175020217896,1.8
gooien,basketballen,1,throw,play basketball,,,4.7
haasten,zoeken,1,hurry,search,0.05830458179116249,1.3723704814910889,2.1
gek,gestoord,1,crazy,disturbed,0.27390527725219727,1.2050431966781616,4.9
rennen,rennen,1,run,run,1.0,0.0,10.0
likken,likken,1,lick,lick,1.0,0.0,10.0
klein,liften,1,small,lift,0.050806403160095215,1.3778597116470337,0.9
onweer,bliksemen,1,thunder,lightning,0.6652426719665527,0.8182499408721924,6.3
man,nadenken,1,male,think,-0.021649029105901718,1.4294346570968628,0.8
springen,springen,1,jump,jump,1.0000001192092896,0.0,10.0
langzaam,vallen,1,slow,fall,0.12777124345302582,1.3207567930221558,1.2
snijden,schrijven,1,cut,write,0.0627201572060585,1.3691270351409912,0.8
comfortabel,dansen,1,comfortable,dance,-0.014240967109799385,1.424199104309082,1.7
kind,schouderhoogte,1,child,shoulder height,,,2.0
hoorn,hoorn,1,horn,horn,1.0000001192092896,0.0,10.0
kotsen,vies,1,vomit,dirty,0.20392248034477234,1.2617723941802979,3.4
dood,saai,1,dead,boring,0.1224544495344162,1.3248165845870972,2.3
drinken,drinken,1,drink,drink,1.0,0.0,10.0
sterk,sterk,1,strong,strong,1.0000001192092896,0.0,10.0
oud,bejaard,1,old,elderly,0.5426695942878723,0.956354558467865,8.0
koken,mixen,1,cook,mix,0.10908648371696472,1.3348480463027954,4.1
slang,vis,1,snake,fish,0.22763212025165558,1.2428666353225708,3.0
slang,vis,1,snake,fish,0.22763212025165558,1.2428666353225708,3.0
