"model","total_draws","neff_thr_bad","neff_thr_crit","max_rhat","n_rhat_bad","min_neff","mean_neff","n_neff_bad","n_neff_crit","min_bulk_ESS","mean_bulk_ESS","n_bulk_bad","n_bulk_crit","min_tail_ESS","mean_tail_ESS","n_tail_bad","n_tail_crit","converged","score"
"m0",8000,0.125,0.05,1.0012,0,0.5187,0.6877,0,0,6714.09970709977,7240,0,0,5525.35611834576,5843,0,0,TRUE,NA
"m1",12000,0.0833,0.0333,1.0047,0,0.0827,0.6621,1,0,1963.321117221,10027,0,0,3527.91147282534,7949,0,0,TRUE,NA
"m2",24000,0.0417,0.0167,1.0037,0,0.0857,0.7367,0,0,5045.24752875971,23372,0,0,10031.4285977883,17627,0,0,TRUE,NA
"m3",24000,0.0417,0.0167,1.0012,0,0.0744,0.6981,0,0,3165.70125944584,17650,0,0,6733.73837025045,16305,0,0,TRUE,NA
"m4",24000,0.0417,0.0167,1.0021,0,0.0553,0.6873,0,0,1982.07883231239,16500,0,0,4986.68967281564,16342,0,0,TRUE,NA
