"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","formula","arm_moment_sum_change_peak_mean ~ 1 + correction","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + BFI_extra + Familiarity | SessionID) + (1 + correction + modality | concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + BFI_extra + Familiarity || SessionID) + (1 + correction + modality || concept)","arm_moment_sum_change_peak_mean ~ 1 + correction * modality * expressibility_z * BFI_extra * Familiarity + TrialNumber_c + (1 + correction * modality * expressibility_z || pcn_ID) + (1 + Familiarity * BFI_extra || SessionID) + (1 + correction * modality || concept)"
"model_info","n_fixed","3","8","8","8","49"
"model_info","n_obs","2963","2963","2963","2963","2963"
"model_info","n_total_params","7","704","1172","1153","2287"
"model_summary","R2","0.001","0.147","0.17","0.172","0.189"
"model_summary","R2_lower","0","0.125","0.147","0.148","0.165"
"model_summary","R2_upper","0.003","0.168","0.194","0.196","0.214"
"model_summary","elpd_loo","-11210.57","-10936.538","-10918.489","-10916.871","-10943.652"
"model_summary","elpd_waic","-11210.566","-10935.413","-10915.921","-10914.229","-10937.782"
"model_summary","looic","22421.141","21873.076","21836.978","21833.743","21887.304"
"model_summary","max_rhat","1.001","1.005","1.003","1.002","1.002"
"model_summary","mean_bulk_ESS","3745","10284","22941","24517","27704"
"model_summary","mean_neff","0.681","0.703","0.725","0.727","0.744"
"model_summary","min_bulk_ESS","3378.442","4594.371","12270.246","13913.243","11932.737"
"model_summary","min_neff","0.541","0.064","0.076","0.093","0.076"
"model_summary","min_tail_ESS","2561.425","6112.054","16744.644","17150.863","15948.52"
"model_summary","n_neff_bad","0","1","1","1","1"
"model_summary","n_rhat_bad","0","0","0","0","0"
"model_summary","p_loo","4.506","192.497","265.721","269.597","334.013"
"model_summary","p_loo_vs_n_obs","0.002","0.065","0.09","0.091","0.113"
"model_summary","p_loo_vs_n_params","0.644","0.273","0.227","0.234","0.146"
"model_summary","p_waic","4.501","191.372","263.154","266.954","328.144"
"model_summary","se_elpd","61.312","61.789","61.688","61.603","61.728"
"model_summary","waic","22421.131","21870.826","21831.843","21828.458","21875.565"
"fixed","BFI_extra","—","-0.006 [-0.038, 0.027]","-0.006 [-0.041, 0.029]","-0.006 [-0.04, 0.029]","-0.005 [-0.042, 0.033]"
"fixed","BFI_extra:Familiarity","—","—","—","—","0.005 [-0.034, 0.046]"
"fixed","Familiarity","—","-0.027 [-0.063, 0.007]","-0.027 [-0.064, 0.008]","-0.028 [-0.065, 0.009]","-0.024 [-0.063, 0.014]"
"fixed","Intercept","3.234 [3.217, 3.251] *","3.234 [3.189, 3.279] *","3.234 [3.189, 3.279] *","3.234 [3.188, 3.279] *","3.239 [3.193, 3.285] *"
"fixed","TrialNumber_c","—","0 [-0.001, 0]","0 [-0.001, 0]","0 [-0.001, 0]","0 [-0.001, 0]"
"fixed","correction2M1","0.021 [-0.013, 0.057]","0.031 [-0.001, 0.065]","0.031 [-0.002, 0.065]","0.031 [-0.002, 0.064]","0.033 [0, 0.067]"
"fixed","correction2M1:BFI_extra","—","—","—","—","0.011 [-0.021, 0.044]"
"fixed","correction2M1:BFI_extra:Familiarity","—","—","—","—","-0.003 [-0.036, 0.029]"
"fixed","correction2M1:Familiarity","—","—","—","—","-0.004 [-0.036, 0.029]"
"fixed","correction2M1:expressibility_z","—","—","—","—","0.002 [-0.033, 0.037]"
"fixed","correction2M1:expressibility_z:BFI_extra","—","—","—","—","-0.022 [-0.056, 0.011]"
"fixed","correction2M1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.008 [-0.023, 0.04]"
"fixed","correction2M1:expressibility_z:Familiarity","—","—","—","—","0.007 [-0.025, 0.039]"
"fixed","correction2M1:modality1","—","—","—","—","-0.012 [-0.078, 0.054]"
