"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","formula","COPc_integral ~ 1 + correction","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + Familiarity + BFI_extra | SessionID) + (1 + correction + modality | concept)","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_fixed","3","9","9","9","9"
"model_info","n_obs","5160","5160","5160","5160","5160"
"model_info","n_total_params","7","705","1390","1362","1362"
"model_summary","R2","0.001","0.434","0.566","0.567","0.567"
"model_summary","R2_lower","0","0.398","0.521","0.521","0.521"
"model_summary","R2_upper","0.003","0.469","0.61","0.61","0.61"
"model_summary","elpd_loo","-47739.756","-45429.881","-45035.362","-45043.411","-45043.411"
"model_summary","elpd_waic","-47739.754","-45428.94","-45028.572","-45035.985","-45035.985"
"model_summary","looic","95479.513","90859.763","90070.724","90086.823","90086.823"
"model_summary","max_rhat","1.001","1.002","1.002","1.002","1.002"
"model_summary","mean_bulk_ESS","7005","14196","16563","12703","12703"
"model_summary","mean_neff","0.719","0.729","0.691","0.678","0.678"
"model_summary","min_bulk_ESS","6454.369","3531.276","4557.614","3469.053","3469.053"
"model_summary","min_neff","0.532","0.204","0.067","0.122","0.122"
"model_summary","min_tail_ESS","5692.388","5651.955","9943.915","8213.159","8213.159"
"model_summary","n_neff_bad","0","0","4","0","0"
"model_summary","n_rhat_bad","0","0","0","0","0"
"model_summary","p_loo","4.034","259.765","536.918","548.509","548.509"
"model_summary","p_loo_vs_n_obs","0.001","0.05","0.104","0.106","0.106"
"model_summary","p_loo_vs_n_params","0.576","0.368","0.386","0.403","0.403"
"model_summary","p_waic","4.032","258.823","530.128","541.082","541.082"
"model_summary","se_elpd","88.551","88.207","89.207","89.061","89.061"
"model_summary","waic","95479.509","90857.879","90057.145","90071.97","90071.97"
