"model","total_draws","neff_thr_bad","neff_thr_crit","max_rhat","n_rhat_bad","min_neff","mean_neff","n_neff_bad","n_neff_crit","min_bulk_ESS","mean_bulk_ESS","n_bulk_bad","n_bulk_crit","min_tail_ESS","mean_tail_ESS","n_tail_bad","n_tail_crit","converged","score"
"m0",8000,0.125,0.05,1.0014,0,0.5239,0.7319,0,0,6770.96369949667,7387,0,0,5847.60886445874,6072,0,0,TRUE,NA
"m1",12000,0.0833,0.0333,1.0017,0,0.2157,0.7335,0,0,3951.37721441307,12512,0,0,5523.20647885335,8809,0,0,TRUE,NA
"m2",24000,0.0417,0.0167,1.0027,0,0.057,0.6583,0,0,3481.67116106482,14674,0,0,8327.02073458207,15763,0,0,TRUE,NA
"m3",24000,0.0417,0.0167,1.0016,0,0.1124,0.684,0,0,3573.64443165193,14312,0,0,7269.14962632709,14807,0,0,TRUE,NA
"m4",24000,0.0417,0.0167,1.0012,0,0.1251,0.7217,0,0,4514.28268763037,19485,0,0,9054.96520995508,17189,0,0,TRUE,NA
