"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","formula","arm_moment_sum_change_integral ~ 1 + correction","arm_moment_sum_change_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","arm_moment_sum_change_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + Familiarity + BFI_extra | SessionID) + (1 + correction + modality | concept)","arm_moment_sum_change_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + expressibility_z + correction + modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","arm_moment_sum_change_integral ~ 1 + correction * modality * BFI_extra * Familiarity + expressibility_z + TrialNumber_c + (1 + expressibility_z * correction * modality || pcn_ID) + (1 + Familiarity * BFI_extra || SessionID) + (1 + correction * modality || concept)"
"model_info","n_fixed","3","8","8","8","26"
"model_info","n_obs","3106","3106","3106","3106","3106"
"model_info","n_total_params","7","704","1172","1153","2264"
"model_summary","R2","0.026","0.502","0.537","0.532","0.543"
"model_summary","R2_lower","0.017","0.47","0.505","0.5","0.512"
"model_summary","R2_upper","0.037","0.533","0.567","0.562","0.573"
"model_summary","elpd_loo","-38703.851","-37618.004","-37552.621","-37556.525","-37568.776"
"model_summary","elpd_waic","-38703.847","-37616.356","-37547.193","-37551.262","-37560.737"
"model_summary","looic","77407.702","75236.009","75105.241","75113.05","75137.552"
"model_summary","max_rhat","1.003","1.002","1.002","1.001","1.002"
"model_summary","mean_bulk_ESS","3573","8545","14805","23118","27296"
"model_summary","mean_neff","0.733","0.677","0.681","0.723","0.749"
"model_summary","min_bulk_ESS","3260.875","2114.525","4184.271","6131.302","4555.26"
"model_summary","min_neff","0.555","0.173","0.065","0.155","0.16"
"model_summary","min_tail_ESS","2918.027","4299.136","7908.261","10095.894","9363.409"
