"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","formula","envelope_norm_integral ~ 1 + correction","envelope_norm_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","envelope_norm_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + Familiarity + BFI_extra | SessionID) + (1 + correction + modality | concept)","envelope_norm_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","envelope_norm_integral ~ 1 + correction * modality * BFI_extra * Familiarity * expressibility_z + TrialNumber_c + (1 + correction * modality * expressibility_z || pcn_ID) + (1 + Familiarity * BFI_extra || SessionID) + (1 + correction * modality || concept)"
"model_info","n_fixed","3","8","8","8","49"
"model_info","n_obs","3607","3607","3607","3607","3607"
"model_info","n_total_params","7","704","1172","1153","2287"
"model_summary","R2","0.018","0.51","0.572","0.569","0.582"
"model_summary","R2_lower","0.012","0.478","0.541","0.538","0.551"
"model_summary","R2_upper","0.026","0.54","0.602","0.598","0.611"
"model_summary","elpd_loo","-23303.237","-21968.468","-21823.34","-21825.344","-21845.017"
"model_summary","elpd_waic","-23303.235","-21967.108","-21816.88","-21818.601","-21832.893"
"model_summary","looic","46606.474","43936.936","43646.681","43650.687","43690.035"
"model_summary","max_rhat","1.002","1.002","1.008","1.004","1.004"
"model_summary","mean_bulk_ESS","7308","10804","15052","19097","19035"
"model_summary","mean_neff","0.737","0.647","0.645","0.689","0.703"
"model_summary","min_bulk_ESS","6860.232","2668.619","4685.707","6222.786","4652.459"
"model_summary","min_neff","0.517","0.053","0.045","0.068","0.055"
"model_summary","min_tail_ESS","6095.241","4512.706","8426.803","10810.486","9288.055"
"model_summary","n_neff_bad","0","1","6","1","1"
"model_summary","n_rhat_bad","0","0","0","0","0"
