ID,trial_order,word,answer,exp,English
12,112,grommen,grommen,2,to growl
13,0,telefoon,ringtoon,2,telephone
13,1,telefoon,telefoon,2,telephone
13,2,zwaaien,wind,2,to wave
13,3,zwaaien,spugen,2,to wave
13,4,zwaaien,springen,2,to wave
13,5,bitter,koud,2,bitter
13,6,bitter,vies,2,bitter
13,7,bitter,vuil,2,bitter
13,8,snel,zwaaien,2,fast
13,9,snel,gooien,2,fast
13,10,snel,springen,2,fast
13,11,misschien,blij,2,maybe
13,12,misschien,denken,2,maybe
13,13,misschien,genieten,2,maybe
13,14,zout,vies,2,salt
13,15,zout,koud,2,salt
13,16,zout,storm,2,salt
13,17,zoet,blij,2,sweet
13,18,zoet,baby,2,sweet
13,19,zoet,voeden,2,sweet
13,20,drinken,drinken,2,to drink
13,21,lopen,hard,2,to walk
13,22,lopen,eten,2,to walk
13,23,lopen,pittig,2,to walk
13,24,fiets,muziek,2,bicycle
13,25,fiets,melodie,2,bicycle
13,26,fiets,bel,2,bicycle
13,27,juichen,juichen,2,to cheer
13,28,luidruchtig,langaam,2,noisy
13,28,luidruchtig,langaam,2,loud
13,29,luidruchtig,neurien,2,noisy
13,29,luidruchtig,neurien,2,loud
13,30,luidruchtig,hoog,2,noisy
13,30,luidruchtig,hoog,2,loud
13,31,man,eten,2,male
13,32,man,brommen,2,male
13,33,man,boos,2,male
13,34,verdrietig,huilen,2,sad
13,35,verdrietig,verdrietig,2,sad
13,36,scherp,pijn,2,sharp
13,37,scherp,verwonding,2,sharp
13,38,scherp,bezeren,2,sharp
13,39,sterk,boos,2,strong
13,40,sterk,brood,2,strong
13,41,sterk,hond,2,strong
13,42,bijten,hond,2,to bite
13,43,bijten,bal,2,to bite
13,44,bijten,brommen,2,to bite
13,45,zuigen,slurpen,2,to suck
13,46,zuigen,zuigen,2,to suck
13,47,bal,bal,2,ball
13,48,glimlach,blij,2,smile
13,49,glimlach,vrolijk,2,smile
13,50,glimlach,gelukkig,2,smile
13,51,kat,hond,2,cat
13,52,kat,kat,2,cat
13,53,dood,dood,2,dead
13,54,hond,hond,2,dog
13,55,ziek,ziek,2,sick
13,56,vangen,vangen,2,to catch
13,57,huilen,verdrietig,2,to cry
13,57,huilen,verdrietig,2,to weep
13,58,huilen,huilen,2,to cry
13,58,huilen,huilen,2,to weep
13,59,weten,denken,2,to know
13,60,weten,onthouden,2,to know
13,61,weten,nadenken,2,to know
13,62,zingen,zingen,2,to sing
13,63,vliegtuig,vliegen,2,airplane
13,64,vliegtuig,zweven,2,airplane
13,65,vliegtuig,vliegtuig,2,airplane
13,66,vis,vis,2,fish
13,67,zwaar,dik,2,heavy
13,68,zwaar,zwaar,2,heavy
13,69,berg,heuvel,2,mountain
13,70,berg,berg,2,mountain
13,71,piepen,kinderen,2,squeak
13,72,piepen,kip,2,squeak
13,73,piepen,kakelen,2,squeak
13,74,verbranden,verbranden,2,to burn
13,75,slapen,slapen,2,to sleep
13,76,water,water,2,water
13,77,sneeuw,waterval,2,snow
13,78,sneeuw,regen,2,snow
13,79,sneeuw,sneeuw,2,snow
13,80,geheim,stil,2,secret
13,81,geheim,geheim,2,secret
13,82,bang,bang,2,scared
13,83,staart,muts,2,tail
13,84,staart,dragen,2,tail
13,85,staart,helm,2,tail
13,86,dik,dik,2,thick
13,87,kauwen,eten,2,to chew
13,88,kauwen,smakken,2,to chew
13,89,kauwen,kauwen,2,to chew
13,90,vechten,vechten,2,to fight
13,91,vliegen,vliegen,2,to fly
13,92,geven,geven,2,to give
13,93,klok,klok,2,clock
13,94,eend,eend,2,duck
13,95,kind,moedergans,2,child
13,96,kind,kind,2,child
13,97,vrouw,irritant,2,female
13,98,vrouw,meisje,2,female
13,99,vrouw,vrouw,2,female
13,100,vlieg,vliegtuig,2,fly
13,101,vlieg,vlieg,2,fly
13,102,hoog,hoog,2,high
13,103,regen,regen,2,rain
13,104,zwemmen,zwemmen,2,to swim
13,105,wind,raken,2,wind
13,106,wind,fohnen,2,wind
13,107,wind,wind,2,wind
14,0,bal,basketballen,2,ball
14,1,bal,rugby,2,ball
14,2,bal,sporten,2,ball
14,3,fiets,fietsen,2,bicycle
14,4,fiets,fiets,2,bicycle
14,5,ei,kip,2,egg
14,6,ei,boerderij,2,egg
14,7,ei,ei,2,egg
14,8,zwaar,tillen,2,heavy
14,9,zwaar,uitgeput,2,heavy
14,10,zwaar,zwaar,2,heavy
14,11,hoog,hoog,2,high
14,12,man,sterk,2,male
14,13,man,stoer,2,male
14,14,man,man,2,male
14,15,langzaam,langzaam,2,slow
14,16,drinken,drinken,2,to drink
14,17,wind,vlieger,2,wind
14,18,wind,wind,2,wind
14,19,eend,eend,2,duck
14,20,klok,tandwiel,2,clock
14,21,klok,klok,2,clock
14,22,blij,goed,2,happy
14,23,blij,lach,2,happy
14,24,blij,blij,2,happy
14,25,oud,oud,2,old
14,26,ziek,griep,2,sick
14,27,ziek,ziek,2,sick
14,28,verbranden,kastje,2,to burn
14,29,verbranden,heet,2,to burn
14,30,verbranden,pijn,2,to burn
14,31,vangen,vangen,2,to catch
14,32,zwemmen,zwemmen,2,to swim
14,33,fluisteren,fluisteren,2,to whisper
14,34,sneeuw,sneeuw,2,snow
14,35,zwaaien,begroeten,2,to wave
14,36,zwaaien,zwaaien,2,to wave
14,37,boos,boos,2,angry
14,38,groot,groot,2,big
14,39,kat,kat,2,cat
14,40,berg,berg,2,mountain
14,41,sterk,sterk,2,strong
14,42,eten,eten,2,to eat
14,43,horen,horen,2,to hear
14,44,vliegtuig,vliegen,2,airplane
14,45,vliegtuig,vliegtuig,2,airplane
14,46,telefoon,bellen,2,telephone
14,47,telefoon,telefoon,2,telephone
14,48,bitter,vies,2,bitter
14,49,bitter,zuur,2,bitter
14,50,bitter,vies eten,2,bitter
14,51,koud,koud,2,cold
14,52,geur,bloem,2,odor
