time_ms,f0,ID
0.0,,0_1_47_p1
10.071999136442143,,0_1_47_p1
20.143998272884286,,0_1_47_p1
30.215997409326427,,0_1_47_p1
40.28799654576857,,0_1_47_p1
50.35999568221071,,0_1_47_p1
60.43199481865285,,0_1_47_p1
70.50399395509498,,0_1_47_p1
80.57599309153714,,0_1_47_p1
90.64799222797929,,0_1_47_p1
100.71999136442142,,0_1_47_p1
110.79199050086356,,0_1_47_p1
120.8639896373057,,0_1_47_p1
130.93598877374785,,0_1_47_p1
141.00798791018997,,0_1_47_p1
151.07998704663214,,0_1_47_p1
161.15198618307429,,0_1_47_p1
171.2239853195164,,0_1_47_p1
181.29598445595857,,0_1_47_p1
191.3679835924007,,0_1_47_p1
201.43998272884284,,0_1_47_p1
211.511981865285,,0_1_47_p1
221.58398100172712,,0_1_47_p1
231.65598013816927,,0_1_47_p1
241.7279792746114,,0_1_47_p1
251.79997841105356,,0_1_47_p1
261.8719775474957,,0_1_47_p1
271.9439766839378,,0_1_47_p1
282.01597582037994,,0_1_47_p1
292.08797495682217,,0_1_47_p1
302.1599740932643,,0_1_47_p1
312.2319732297064,,0_1_47_p1
322.30397236614857,,0_1_47_p1
332.3759715025907,,0_1_47_p1
342.4479706390328,,0_1_47_p1
352.519969775475,,0_1_47_p1
362.59196891191715,,0_1_47_p1
372.66396804835927,,0_1_47_p1
382.7359671848014,,0_1_47_p1
392.80796632124355,,0_1_47_p1
402.87996545768567,,0_1_47_p1
412.9519645941278,,0_1_47_p1
423.02396373057,,0_1_47_p1
433.09596286701213,,0_1_47_p1
443.16796200345425,,0_1_47_p1
453.2399611398964,,0_1_47_p1
463.31196027633854,,0_1_47_p1
473.38395941278065,,0_1_47_p1
483.4559585492228,,0_1_47_p1
493.527957685665,,0_1_47_p1
503.5999568221071,,0_1_47_p1
513.6719559585492,,0_1_47_p1
523.7439550949914,,0_1_47_p1
533.8159542314336,,0_1_47_p1
543.8879533678756,,0_1_47_p1
553.9599525043178,,0_1_47_p1
564.0319516407599,,0_1_47_p1
574.1039507772022,,0_1_47_p1
584.1759499136443,,0_1_47_p1
594.2479490500864,153.24960797688493,0_1_47_p1
604.3199481865286,155.77239816046966,0_1_47_p1
614.3919473229706,156.40123961637374,0_1_47_p1
624.4639464594128,,0_1_47_p1
634.5359455958549,,0_1_47_p1
644.6079447322971,,0_1_47_p1
654.6799438687393,,0_1_47_p1
664.7519430051814,,0_1_47_p1
674.8239421416235,,0_1_47_p1
684.8959412780656,,0_1_47_p1
694.9679404145078,,0_1_47_p1
705.03993955095,,0_1_47_p1
715.1119386873921,,0_1_47_p1
725.1839378238343,,0_1_47_p1
735.2559369602764,,0_1_47_p1
745.3279360967185,,0_1_47_p1
755.3999352331606,,0_1_47_p1
765.4719343696028,,0_1_47_p1
