Time,TrialID,Head_speed,LKnee_speed,RShoulder_speed,RHip_speed,RHeel_speed,LElbow_speed,RKnee_speed,RWrist_speed,RWrist_vert_vel,LWrist_speed,LWrist_vert_vel,LAnkle_speed,LHip_speed,RElbow_speed,LShoulder_speed,LHeel_speed,RAnkle_speed,Head_speed_movement,Head_speed_event,LKnee_speed_movement,LKnee_speed_event,RShoulder_speed_movement,RShoulder_speed_event,RHip_speed_movement,RHip_speed_event,RHeel_speed_movement,RHeel_speed_event,LElbow_speed_movement,LElbow_speed_event,RKnee_speed_movement,RKnee_speed_event,RWrist_speed_movement,RWrist_speed_event,LWrist_speed_movement,LWrist_speed_event,LAnkle_speed_movement,LAnkle_speed_event,LHip_speed_movement,LHip_speed_event,RElbow_speed_movement,RElbow_speed_event,LShoulder_speed_movement,LShoulder_speed_event,LHeel_speed_movement,LHeel_speed_event,RAnkle_speed_movement,RAnkle_speed_event,RWrist_vert_vel_movement,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement,LWrist_vert_vel_movement_event
0.0,0_1_53_p1,3.022420370448418,2.2460791264832105,4.764069551498559,1.0207537918684952,3.1304655192126845,0.8597804095719794,2.203694849221896,0.9310792118666754,1.308925085427858,3.314323156662045,2.111290516074748,3.2346382174318022,4.196944163934861,3.952993521237041,4.153016300736863,5.017585793733738,1.5759048817601404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6666666666666,0_1_53_p1,3.022420370448418,2.2460791264832105,4.764069551498559,1.0207537918684952,3.1304655192126845,0.8597804095719794,2.203694849221896,0.9310792118666754,1.308925085427858,3.314323156662045,2.111290516074748,3.2346382174318022,4.196944163934861,3.952993521237041,4.153016300736863,5.017585793733738,1.5759048817601404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.3333333333333,0_1_53_p1,3.1121279723431896,2.598795311798301,4.636522442428354,1.1213549909610494,3.332802862622727,0.8852202254043507,2.2614462931518102,1.0161941626624853,1.2463914645549157,3.2432676402319456,1.9776261683032408,3.245502513364606,4.164475897508138,3.875272954417318,4.060981417868786,4.851741328310165,1.6536605529623714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.0,0_1_53_p1,3.2018355742379607,2.951511497113392,4.508975333358149,1.2219561900536036,3.5351402060327697,0.9106600412367222,2.319197737081724,1.1013091134582953,1.183857843681973,3.1722121238018453,1.843961820531736,3.25636680929741,4.132007631081415,3.797552387597594,3.968946535000709,4.685896862886594,1.731416224164602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.6666666666666,0_1_53_p1,3.2915431761327323,3.3042276824284817,4.381428224287943,1.3225573891461575,3.737477549442812,0.9360998570690936,2.3769491810116383,1.186424064254105,1.1213242228090308,3.1011566073717454,1.7102974727602294,3.2672311052302137,4.099539364654693,3.719831820777871,3.8769116521326312,4.520052397463021,1.8091718953668328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83.3333333333333,0_1_53_p1,3.3812507780275034,3.656943867743572,4.253881115217737,1.423158588238712,3.939814892852856,0.9615396729014648,2.434700624941552,1.2715390150499148,1.0587906019360884,3.030101090941645,1.5766331249887235,3.278095401163017,4.06707109822797,3.6421112539581473,3.784876769264554,4.35420793203945,1.886927566569064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.9999999999999,0_1_53_p1,3.470958379922275,4.009660053058663,4.126334006147532,1.5237597873312665,4.142152236262897,0.9869794887338362,2.4924520688714664,1.3566539658457248,0.996256981063146,2.9590455745115456,1.4429687772172175,3.2889596970958213,4.034602831801248,3.564390687138424,3.6928418863964767,4.188363466615877,1.9646832377712944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.6666666666666,0_1_53_p1,3.5606659818170465,4.362376238373754,3.998786897077327,1.6243609864238204,4.34448957967294,1.0124193045662075,2.5502035128013807,1.4417689166415348,0.9337233601902036,2.8879900580814453,1.3093044294457117,3.299823993028625,4.002134565374525,3.4866701203187,3.6008070035283994,4.022519001192306,2.042438908973525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133.33333333333331,0_1_53_p1,3.650373583711817,4.715092423688845,3.871239788007122,1.724962185516375,4.546826923082982,1.037859120398579,2.607954956731295,1.5268838674373446,0.8711897393172612,2.8169345416513454,1.1756400816742056,3.3106882889614284,3.969666298947802,3.408949553498976,3.508772120660322,3.856674535768734,2.120194580175756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.0,0_1_53_p1,3.854779051125671,5.053869419806128,3.9927282404173794,1.885111595770744,4.708818226714936,1.1462591035691525,2.9190592957976342,1.6899828284058205,0.8971424596906579,2.919924981209105,1.2633579929835463,3.327310943594158,4.055992782951792,3.535436319416171,3.659649947774084,3.888439999249964,2.249607867697542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
