Time,TrialID,RHeel_speed,Head_speed,LHeel_speed,LShoulder_speed,LHip_speed,LElbow_speed,LKnee_speed,RWrist_speed,RWrist_vert_vel,RKnee_speed,RHip_speed,RElbow_speed,RShoulder_speed,LWrist_speed,LWrist_vert_vel,RHeel_speed_movement,RHeel_speed_event,Head_speed_movement,Head_speed_event,LHeel_speed_movement,LHeel_speed_event,LShoulder_speed_movement,LShoulder_speed_event,LHip_speed_movement,LHip_speed_event,LElbow_speed_movement,LElbow_speed_event,LKnee_speed_movement,LKnee_speed_event,RWrist_speed_movement,RWrist_speed_event,RKnee_speed_movement,RKnee_speed_event,RHip_speed_movement,RHip_speed_event,RElbow_speed_movement,RElbow_speed_event,RShoulder_speed_movement,RShoulder_speed_event,LWrist_speed_movement,LWrist_speed_event,RWrist_vert_vel_movement,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement,LWrist_vert_vel_movement_event
0.0,0_1_49_p1,0.0,1.3489883250020962,1.1398599908679437,1.0086501231914045,0.0,4.425222963911261,3.015942864813903,1.407916675691579,-0.012774331192901,3.808040806731837,1.3831975879405922,4.1199156537567765,2.426475370932485,1.0502501633395125,-1.0975729299332768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.6666666666666,0_1_49_p1,0.0,1.3489883250020962,1.1398599908679437,1.0086501231914045,0.0,4.425222963911261,3.015942864813903,1.407916675691579,-0.012774331192901,3.808040806731837,1.3831975879405922,4.1199156537567765,2.426475370932485,1.0502501633395125,-1.0975729299332768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.3333333333333,0_1_49_p1,4.512497954680881,1.602706092182853,1.1709340711629774,1.0094007038376878,2.191573610950888,4.412173141951396,3.027034449238485,1.493919761375492,-0.0481918405290166,3.7440359937905447,1.4369945760950378,4.414166176605452,2.37890154170831,1.229372661995142,-1.1331716819944595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.0,0_1_49_p1,4.512497954681165,1.8564238593636109,1.2020081514580112,1.010151284483971,2.1915736109509503,4.3991233199915305,3.038126033663068,1.579922847059405,-0.0836093498651323,3.680031180849252,1.4907915642494836,4.708416699454128,2.331327712484135,1.4084951606507718,-1.1687704340556426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.6666666666666,0_1_49_p1,4.512497954681408,2.110141626544368,1.233082231753045,1.0109018651302544,2.1915736109512274,4.386073498031665,3.0492176180876505,1.6659259327433178,-0.1190268592012479,3.61602636790796,1.5445885524039291,5.002667222302804,2.28375388325996,1.5876176593064018,-1.2043691861168258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83.3333333333333,0_1_49_p1,4.512497954680881,2.363859393725125,1.2641563120480788,1.0116524457765377,2.1915736109506985,4.373023676071799,3.0603092025122334,1.7519290184272305,-0.1544443685373636,3.552021554966667,1.598385540558375,5.296917745151479,2.236180054035785,1.7667401579620314,-1.2399679381780089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.9999999999999,0_1_49_p1,4.512497954681549,2.617577160905882,1.2952303923431128,1.0124030264228212,2.191573610951692,4.359973854111934,3.071400786936816,1.837932104111144,-0.1898618778734792,3.488016742025375,1.6521825287128205,5.591168268000155,2.1886062248116103,1.945862656617661,-1.2755666902391916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.6666666666666,0_1_49_p1,4.512497954681264,2.87129492808664,1.3263044726381463,1.0131536070691043,2.1915736109499093,4.346924032152069,3.0824923713613983,1.9239351897950565,-0.2252793872095948,3.4240119290840827,1.705979516867266,5.885418790848831,2.141032395587436,2.124985155273291,-1.3111654423003745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133.33333333333331,0_1_49_p1,4.512497954680252,3.1250126952673964,1.3573785529331803,1.0139041877153878,2.19157361095096,4.333874210192205,3.0935839557859808,2.0099382754789685,-0.2606968965457105,3.36000711614279,1.7597765050217118,6.179669313697506,2.093458566363261,2.304107653928921,-1.3467641943615574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.0,0_1_49_p1,8.792937915705028,3.454621658967765,1.388452633228214,1.0451147088438135,4.278181819308534,4.400914431729487,3.1046755402105632,2.1181461735213847,-0.2539862692840705,3.296002303201498,1.8135734931761576,6.476594343426974,2.152739547549003,2.419496846529948,-1.3370592976573932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166.6666666666666,0_1_49_p1,1.7260158658528022,3.542353411199662,1.419526713523248,0.9902914173848628,1.329020335637981,4.1523848845769455,3.1157671246351457,2.155877725695447,-0.2134414813973255,3.231997490260205,1.8673704813306031,6.250443397559791,2.088036546616125,2.3902646556049767,-1.2496398491287009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
