Time,TrialID,arms,lower_body,upper_body,head_mov,movement_in_trial
783.333333333334,0_2_1_p0,movement,movement,movement,movement,movement
800.0000000000008,0_2_1_p0,movement,movement,movement,movement,movement
816.6666666666675,0_2_1_p0,movement,movement,movement,movement,movement
833.3333333333343,0_2_1_p0,movement,movement,movement,movement,movement
850.000000000001,0_2_1_p0,movement,movement,movement,movement,movement
866.6666666666677,0_2_1_p0,movement,movement,movement,movement,movement
883.3333333333344,0_2_1_p0,movement,movement,movement,movement,movement
900.0000000000011,0_2_1_p0,movement,movement,movement,movement,movement
916.666666666668,0_2_1_p0,movement,movement,movement,movement,movement
933.3333333333346,0_2_1_p0,movement,movement,movement,movement,movement
950.0000000000013,0_2_1_p0,movement,movement,movement,movement,movement
966.666666666668,0_2_1_p0,movement,movement,movement,movement,movement
983.3333333333348,0_2_1_p0,movement,movement,movement,movement,movement
1000.0000000000014,0_2_1_p0,movement,movement,movement,movement,movement
1016.666666666668,0_2_1_p0,movement,movement,movement,movement,movement
1033.3333333333344,0_2_1_p0,movement,movement,movement,movement,movement
1050.0000000000011,0_2_1_p0,movement,movement,movement,movement,movement
1066.6666666666677,0_2_1_p0,movement,movement,movement,movement,movement
1083.3333333333344,0_2_1_p0,movement,movement,movement,movement,movement
1100.000000000001,0_2_1_p0,movement,movement,movement,movement,movement
1116.6666666666677,0_2_1_p0,movement,movement,movement,movement,movement
1133.3333333333342,0_2_1_p0,movement,movement,movement,movement,movement
1150.000000000001,0_2_1_p0,movement,movement,movement,movement,movement
1166.6666666666674,0_2_1_p0,movement,movement,movement,movement,movement
1183.333333333334,0_2_1_p0,movement,movement,movement,movement,movement
1200.000000000001,0_2_1_p0,movement,movement,movement,movement,movement
1216.6666666666672,0_2_1_p0,movement,movement,movement,movement,movement
1233.333333333334,0_2_1_p0,movement,movement,movement,movement,movement
1250.0000000000005,0_2_1_p0,movement,movement,movement,movement,movement
1266.666666666667,0_2_1_p0,movement,movement,movement,movement,movement
1283.3333333333337,0_2_1_p0,movement,movement,movement,movement,movement
1300.0000000000005,0_2_1_p0,movement,movement,movement,movement,movement
1316.666666666667,0_2_1_p0,movement,movement,movement,movement,movement
1333.3333333333337,0_2_1_p0,movement,movement,movement,movement,movement
1350.0,0_2_1_p0,movement,movement,movement,movement,movement
