Time,TrialID,Head_speed_event,LKnee_speed_event,RShoulder_speed_event,RHip_speed_event,RHeel_speed_event,LElbow_speed_event,RKnee_speed_event,RWrist_speed_event,LWrist_speed_event,LAnkle_speed_event,LHip_speed_event,RElbow_speed_event,LShoulder_speed_event,LHeel_speed_event,RAnkle_speed_event,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement_event
16.6666666666666,0_2_3_p0,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
33.3333333333333,0_2_3_p0,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
50.0,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
66.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
83.3333333333333,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
99.9999999999999,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
116.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
133.33333333333331,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
150.0,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
166.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
183.3333333333333,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
199.9999999999999,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
216.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
233.3333333333333,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
249.9999999999999,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
266.66666666666663,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
283.3333333333333,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
300.0,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
316.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
333.3333333333333,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
350.0,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
366.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
383.3333333333333,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
399.9999999999999,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
416.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
433.3333333333333,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
449.9999999999999,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
466.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
483.33333333333326,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,movement,movement
499.9999999999999,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,movement,movement
516.6666666666666,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,movement,movement
533.3333333333334,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,movement,movement
550.0,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,movement,movement
566.6666666666667,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,movement,movement
583.3333333333335,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,movement,movement
600.0000000000002,0_2_3_p0,movement,nomovement,movement,nomovement,nomovement,movement,movement,movement,movement,nomovement,movement,movement,nomovement,nomovement,nomovement,movement,movement
