Time,TrialID,LShoulder_speed,RElbow_speed,LWrist_speed,LWrist_vert_vel,RShoulder_speed,RHip_speed,LKnee_speed,Head_speed,RWrist_speed,RWrist_vert_vel,LElbow_speed,RHeel_speed,RKnee_speed,LHeel_speed,LHip_speed,LShoulder_speed_movement,LShoulder_speed_event,RElbow_speed_movement,LWrist_speed_movement,LWrist_speed_event,RShoulder_speed_movement,RShoulder_speed_event,RHip_speed_movement,RHip_speed_event,LKnee_speed_movement,LKnee_speed_event,Head_speed_movement,Head_speed_event,RWrist_speed_movement,RWrist_speed_event,LElbow_speed_movement,RHeel_speed_movement,RHeel_speed_event,RKnee_speed_movement,RKnee_speed_event,LHeel_speed_movement,LHeel_speed_event,LHip_speed_movement,LHip_speed_event,LWrist_vert_vel_movement,LWrist_vert_vel_movement_event,RWrist_vert_vel_movement,RWrist_vert_vel_movement_event
0.0,0_2_74_p0,0.8024384646820736,-0.3325703947255174,-0.357134276444883,-1.5616022726717806,-0.3957165918010451,0.6455166645388367,2.1348998881891066,4.004608745786969,0.7029785194108844,-0.6544579696785618,0.2011708567861282,0.0,-0.923619897527748,1.6935746223088788,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16.6666666666666,0_2_74_p0,0.8024384646820736,-0.3325703947255174,-0.357134276444883,-1.5616022726717806,-0.3957165918010451,0.6455166645388367,2.1348998881891066,4.004608745786969,0.7029785194108844,-0.6544579696785618,0.2011708567861282,0.0,-0.923619897527748,1.6935746223088788,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
33.3333333333333,0_2_74_p0,1.0035309875259744,-0.0626928657567362,0.3087825518698524,-1.350488495188686,-0.111935248577182,0.9175343988487308,2.279633110745363,3.912739593277504,0.9076548479316222,-0.5825650414861803,0.4438011538290572,5.402242151131291,-0.6585742947034932,1.6613082974886753,3.141577871290393,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
50.0,0_2_74_p0,1.204623510369875,0.2071846632120448,0.9746993801845878,-1.139374717705591,0.171846094646681,1.1895521331586243,2.424366333301619,3.820870440768039,1.11233117645236,-0.5106721132937987,0.6864314508719862,5.402242151132171,-0.3935286918792383,1.6290419726684715,3.1415778712917146,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
66.6666666666666,0_2_74_p0,1.405716033213776,0.477062192180826,1.6406162084993232,-0.9282609402224964,0.455627437870544,1.4615698674685187,2.569099555857876,3.729001288258574,1.317007504973098,-0.438779185101417,0.9290617479149152,5.402242151130613,-0.1284830890549835,1.596775647848268,3.1415778712898774,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
83.3333333333333,0_2_74_p0,1.6068085560576768,0.7469397211496072,2.3065330368140584,-0.7171471627394017,0.7394087810944071,1.7335876017784124,2.7138327784141323,3.637132135749109,1.5216838334938358,-0.3668862569090355,1.171692044957844,5.402242151132251,0.1365625137692714,1.5645093230280644,3.1415778712915934,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
99.9999999999999,0_2_74_p0,1.8079010789015773,1.0168172501183883,2.9724498651287936,-0.506033385256307,1.02319012431827,2.0056053360883066,2.858566000970389,3.545262983239644,1.7263601620145737,-0.2949933287166539,1.4143223420007731,5.402242151131771,0.4016081165935263,1.532242998207861,3.1415778712896056,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
116.6666666666666,0_2_74_p0,2.008993601745478,1.2866947790871694,3.6383666934435297,-0.2949196077732121,1.3069714675421331,2.2776230703982003,3.0032992235266454,3.453393830730179,1.931036490535312,-0.2231004005242722,1.6569526390437022,5.402242151131839,0.6666537194177811,1.4999766733876572,3.1415778712917146,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
133.33333333333331,0_2_74_p0,2.21008612458938,1.5565723080559506,4.304283521758265,-0.0838058302901176,1.5907528107659965,2.5496408047080945,3.148032446082901,3.361524678220713,2.1357128190560504,-0.1512074723318907,1.899582936086632,5.402242151131038,0.931699322242036,1.4677103485674536,3.1415778712886966,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
150.0,0_2_74_p0,2.5364222107380026,1.927731996072425,5.010312730413174,0.0258026687206723,1.850264195898164,2.821658539017988,3.292765668639158,3.5506379162717447,2.4756154826065675,-0.1201206641577815,2.205824106325561,7.428146272268296,1.196744925066291,1.43544402374725,3.9754123614519656,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
166.6666666666666,0_2_74_p0,2.636113615051627,2.1686884099835964,5.384739450649644,0.1903912160451289,2.026691138821348,3.093676273327882,3.4374988911954145,3.4319833921041747,2.6619975751891354,-0.0575554678004836,2.348743731247751,5.696304341909978,1.4617905278905456,1.4031776989270464,3.646205346648997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
