Time,TrialID,RWrist_speed_event,RHip_speed_event,RAnkle_speed_event,RBigToe_speed_event,LBigToe_speed_event,LHeel_speed_event,RKnee_speed_event,RElbow_speed_event,Head_speed_event,LKnee_speed_event,LElbow_speed_event,LWrist_speed_event,Neck_speed_event,LShoulder_speed_event,LHip_speed_event,RSmallToe_speed_event,RHeel_speed_event,LSmallToe_speed_event,LAnkle_speed_event,RShoulder_speed_event,Nose_speed_event,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement_event
483.33333333333326,0_2_34_p1,nomovement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement
499.9999999999999,0_2_34_p1,nomovement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement
516.6666666666666,0_2_34_p1,nomovement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement
533.3333333333334,0_2_34_p1,nomovement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
550.0,0_2_34_p1,nomovement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
566.6666666666667,0_2_34_p1,nomovement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
583.3333333333335,0_2_34_p1,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
600.0000000000002,0_2_34_p1,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
616.666666666667,0_2_34_p1,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
633.3333333333336,0_2_34_p1,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
650.0000000000003,0_2_34_p1,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
666.6666666666671,0_2_34_p1,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
683.3333333333338,0_2_34_p1,nomovement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
700.0000000000005,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
716.6666666666672,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
733.3333333333339,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
750.0000000000007,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
766.6666666666674,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
783.333333333334,0_2_34_p1,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,movement,movement,nomovement,nomovement,movement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,nomovement,movement,nomovement,nomovement
