Time,TrialID,lower_body,head_mov,arms,upper_body,movement_in_trial
1000.0000000000014,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1016.666666666668,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1033.3333333333344,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1050.0000000000011,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1066.6666666666677,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1083.3333333333344,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1100.000000000001,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1116.6666666666677,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1133.3333333333342,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1150.000000000001,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1166.6666666666674,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1183.333333333334,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1200.000000000001,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1216.6666666666672,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1233.333333333334,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1250.0000000000005,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1266.666666666667,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1283.3333333333337,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1300.0000000000005,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1316.666666666667,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1333.3333333333337,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1350.0,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1366.6666666666667,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1383.3333333333333,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1400.0,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1416.6666666666663,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1433.333333333333,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1449.9999999999995,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1466.6666666666663,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1483.333333333333,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1499.9999999999995,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1516.666666666666,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1533.3333333333328,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1549.999999999999,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1566.666666666666,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1583.3333333333326,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1599.999999999999,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1616.6666666666658,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1633.3333333333323,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1649.999999999999,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1666.6666666666656,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1683.3333333333323,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1699.9999999999989,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1716.6666666666656,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1733.333333333332,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1749.9999999999989,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1766.6666666666654,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1783.333333333332,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1799.9999999999984,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1816.6666666666647,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1833.333333333332,0_2_3_p0,nomovement,nomovement,movement,nomovement,movement
1849.9999999999984,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1866.666666666665,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1883.333333333332,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1899.999999999998,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1916.6666666666647,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1933.333333333332,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1949.999999999998,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1966.6666666666647,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
1983.3333333333312,0_2_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
