Time,RWrist_speed,RWrist_vert_vel,RHip_speed,RAnkle_speed,RBigToe_speed,LBigToe_speed,LHeel_speed,RKnee_speed,RElbow_speed,Head_speed,LKnee_speed,LElbow_speed,LWrist_speed,LWrist_vert_vel,Neck_speed,LShoulder_speed,LHip_speed,RSmallToe_speed,RHeel_speed,LSmallToe_speed,LAnkle_speed,RShoulder_speed,Nose_speed,TrialID,RWrist_speed_movement,RWrist_speed_event,RHip_speed_movement,RHip_speed_event,RAnkle_speed_movement,RAnkle_speed_event,RBigToe_speed_movement,RBigToe_speed_event,LBigToe_speed_movement,LBigToe_speed_event,LHeel_speed_movement,LHeel_speed_event,RKnee_speed_movement,RKnee_speed_event,RElbow_speed_movement,RElbow_speed_event,Head_speed_movement,Head_speed_event,LKnee_speed_movement,LKnee_speed_event,LElbow_speed_movement,LElbow_speed_event,LWrist_speed_movement,LWrist_speed_event,Neck_speed_movement,Neck_speed_event,LShoulder_speed_movement,LShoulder_speed_event,LHip_speed_movement,LHip_speed_event,RSmallToe_speed_movement,RSmallToe_speed_event,RHeel_speed_movement,RHeel_speed_event,LSmallToe_speed_movement,LSmallToe_speed_event,LAnkle_speed_movement,LAnkle_speed_event,RShoulder_speed_movement,RShoulder_speed_event,Nose_speed_movement,Nose_speed_event,RWrist_vert_vel_movement,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement,LWrist_vert_vel_movement_event
16.6666666666666,1.203201082725052,-1.2873483909303751,-0.1057110214985322,1.2898911753472604,0.1423785166393344,1.473857020632173,-0.1729585678415481,3.439144987253921,1.479238737519657,-0.4549007074000292,6.538654767017526,3.335148812278913,1.5357944455958372,1.1197088232944017,4.243047340422138,1.7151667255849348,0.1310221349678178,4.034053692951074,5.761286691956335,1.1761008042635293,1.5694990899490158,4.487034705338839,0.8149469505244742,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33.3333333333333,1.2630897610931686,-1.3127333603746691,-0.0355600217336788,1.4369347185828385,0.3134581046938289,1.647216311661147,0.2499319172247964,3.369353979181024,1.5117821193376724,-0.0046055182898072,6.485651649654448,3.1707887792435714,1.628896974779878,0.9340167299955696,4.087071235062601,1.714229615836215,0.1935801803893099,3.969949657162069,5.758597426335433,1.341912000094455,2.0609885692756644,4.467767884463667,0.9160340308881084,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50.0,1.3229784394612851,-1.338118329818963,0.0345909780311745,1.5839782618184166,0.4845376927483233,1.8205756026901203,0.6728224022911411,3.2995629711081267,1.5443255011556876,0.4456896708204148,6.43264853229137,3.00642874620823,1.7219995039639189,0.7483246366967375,3.931095129703064,1.713292506087495,0.2561382258108021,3.905845621373064,5.755908160714531,1.5077231959253814,2.552478048602313,4.448501063588495,1.0171211112517426,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66.6666666666666,1.3828671178294023,-1.3635032992632563,0.1047419777960279,1.7310218050539947,0.6556172808028178,1.9939348937190944,1.0957128873574855,3.2297719630352297,1.576868882973703,0.8959848599306368,6.379645414928292,2.842068713172888,1.8151020331479597,0.5626325433979057,3.7751190243435264,1.7123553963387752,0.3186962712322942,3.841741585584058,5.753218895093629,1.6735343917563077,3.0439675279289613,4.429234242713323,1.118208191615377,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
83.3333333333333,1.442755796197519,-1.3888882687075503,0.1748929775608813,1.8780653482895728,0.8266968688573122,2.167294184748068,1.5186033724238304,3.1599809549623323,1.6094122647917184,1.3462800490408589,6.326642297565213,2.6777086801375467,1.9082045623320003,0.3769404500990737,3.619142918983989,1.7114182865900551,0.3812543166537863,3.777637549795053,5.750529629472728,1.839345587587233,3.5354570072556104,4.409967421838151,1.219295271979011,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
99.9999999999999,1.5026444745656358,-1.414273238151844,0.2450439773257347,2.025108891525151,0.9977764569118066,2.340653475777042,1.941493857490175,3.0901899468894354,1.6419556466097338,1.796575238151081,6.273639180202135,2.5133486471022053,2.001307091516041,0.1912483568002417,3.463166813624452,1.7104811768413355,0.4438123620752784,3.713533514006048,5.747840363851825,2.00515678341816,4.026946486582259,4.390700600962979,1.3203823523426452,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
116.6666666666666,1.5625331529337525,-1.439658207596138,0.3151949770905881,2.172152434760729,1.168856044966301,2.5140127668060157,2.3643843425565194,3.0203989388165384,1.674499028427749,2.246870427261303,6.220636062839057,2.348988614066864,2.094409620700082,0.0055562635014099,3.3071907082649146,1.7095440670926156,0.5063704074967705,3.649429478217042,5.745151098230924,2.170967979249085,4.518435965908907,4.371433780087807,1.4214694327062796,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
133.33333333333331,1.6224218313018692,-1.4650431770404313,0.3853459768554413,2.3191959779963067,1.3399356330207957,2.6873720578349896,2.787274827622864,2.950607930743641,1.7070424102457646,2.697165616371525,6.167632945475979,2.1846285810315225,2.187512149884123,-0.1801358297974222,3.151214602905376,1.7086069573438956,0.5689284529182626,3.5853254424280365,5.742461832610021,2.336779175080012,5.009925445235556,4.352166959212635,1.5225565130699137,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
150.0,1.842211567850636,-1.5070906750835351,0.5109968787791582,2.504669719454972,1.4663397254471124,2.9324316985570764,3.3067705574525714,3.1920752295490824,1.8453446667079552,3.059629814796708,6.341460125499312,2.219163290184766,2.551309615325395,-0.2732486799896214,3.2249314952958983,1.8368543549684708,0.6413310530572864,3.924905121218368,6.346616577124505,2.6292854348105266,5.386892166624861,4.519365954535616,1.6672502558327815,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
166.6666666666666,1.9912928331350817,-1.4163685642008974,0.6623307799219389,2.5098451003613578,1.5497660866663567,2.995293364164209,3.6911599184578754,3.211422748467214,1.8383292258895296,3.3409817910503508,6.014163632427044,2.0537805225586143,2.753457885992124,-0.4036455767368361,3.030048785404928,1.7973049458499777,0.742357741998948,3.9972037280938872,6.386034668695594,2.8365039403843824,5.427964681114647,4.264705215567735,1.7274613579694778,0_1_29_p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
