Time,TrialID,lower_body,head_mov,arms,upper_body,movement_in_trial
0.0,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
16.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
33.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
50.0,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
66.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
83.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
99.9999999999999,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
116.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
133.33333333333331,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
150.0,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
166.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
183.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
199.9999999999999,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
216.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
233.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
249.9999999999999,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
266.66666666666663,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
283.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
300.0,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
316.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
333.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
350.0,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
366.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
383.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
399.9999999999999,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
416.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
433.3333333333333,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
449.9999999999999,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
466.6666666666666,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
483.33333333333326,0_2_104_p1,nomovement,nomovement,nomovement,nomovement,nomovement
499.9999999999999,0_2_104_p1,nomovement,nomovement,movement,nomovement,movement
516.6666666666666,0_2_104_p1,nomovement,nomovement,movement,nomovement,movement
533.3333333333334,0_2_104_p1,nomovement,nomovement,movement,nomovement,movement
550.0,0_2_104_p1,nomovement,nomovement,movement,nomovement,movement
566.6666666666667,0_2_104_p1,nomovement,nomovement,movement,nomovement,movement
