time_ms,confidence_movement,smoothed_confidence,anno_values
0,0.0,0.0,no movement
1,0.0,0.0004132998343141,no movement
2,0.0,0.0008211615129135,no movement
3,0.0,0.0012236916663025,no movement
4,0.0,0.0016209941553618,no movement
5,0.0,0.0020131701606912,no movement
6,0.0,0.0024003182685165,no movement
7,0.0,0.0027825345533121,no movement
8,0.0,0.0031599126572875,no movement
9,0.0,0.0035325438668733,no movement
10,0.0,0.0039005171863393,no movement
11,0.0,0.0042639194086691,no movement
12,0.0,0.0046228351838096,no movement
13,0.0,0.0049773470844085,no movement
14,0.0,0.0053275356691464,no movement
15,0.0,0.0056734795437663,no movement
16,0.0,0.0060152554198968,no movement
17,0.0,0.0063529381717623,no movement
18,0.0,0.0066866008908674,no movement
19,0.0,0.0070170350703776,no movement
20,0.0,0.0073435817889523,no movement
21,0.0,0.0076663092476607,no movement
22,0.0,0.0079852840615004,no movement
23,0.0,0.0083110489329516,no movement
24,0.0,0.0086330693805931,no movement
25,0.0,0.0089514095945472,no movement
26,0.0,0.0092661323060701,no movement
27,0.0,0.0095772988287621,no movement
28,0.0,0.0098849690983903,no movement
29,0.0,0.0101892017113745,no movement
30,0.0,0.0104900539619922,no movement
31,0.0,0.010787581878349,no movement
32,0.0,0.0110818402571634,no movement
33,0.0,0.0113728826974115,no movement
34,0.0,0.0116607616328743,no movement
35,0.0,0.0119455283636294,no movement
36,0.0,0.0122272330865269,no movement
37,0.0,0.0125059249246875,no movement
38,0.0,0.0127816519560592,no movement
39,0.0,0.0130544612410672,no movement
40,0.0,0.0133243988493909,no movement
41,0.0,0.0135915098858996,no movement
42,0.0,0.0138558385157781,no movement
43,0.0,0.0141095547560071,no movement
44,0.0,0.0143606553648934,no movement
45,0.0,0.0146091805829194,no movement
46,0.0,0.0148551698293329,no movement
47,0.0,0.0151032955495155,no movement
48,0.0,0.0153489149492922,no movement
49,0.0,0.0155920658123877,no movement
50,0.0,0.0158327851668523,no movement
51,0.0,0.0160711093038595,no movement
52,0.0,0.0163070737959459,no movement
53,0.0,0.0165407135147112,no movement
54,0.0,0.0167720626479984,no movement
55,0.0,0.0170011547165706,no movement
56,0.0,0.0172280225903024,no movement
57,0.0,0.0174526985039014,no movement
58,0.0,0.0176752140721774,no movement
59,0.0,0.0178956003048718,no movement
60,0.0,0.0181138876210643,no movement
61,0.0,0.0183301058631697,no movement
62,0.0,0.0185442843105382,no movement
63,0.0,0.0187564516926733,no movement
64,0.0,0.0189666362020781,no movement
65,0.0,0.0191748655067443,no movement
66,0.0,0.0193811667622932,no movement
67,0.0,0.0195749562775874,no movement
68,0.0,0.0197669679074202,no movement
69,0.0,0.019957226006387,no movement
70,0.0,0.0201457544862723,no movement
71,0.0,0.0203264590929394,no movement
72,0.0,0.0205055357301771,no movement
73,0.0,0.0206830062989193,no movement
74,0.0,0.0208588923090121,no movement
75,0.0,0.0210332148879041,no movement
76,0.0,0.0212059947891067,no movement
77,0.0,0.0213772524004309,no movement
78,0.0,0.0215470077520067,no movement
79,0.0,0.0217152805240927,no movement
80,0.0,0.0218820900546823,no movement
81,0.0,0.0220474553469119,no movement
82,0.0,0.0222113950762773,no movement
83,0.0,0.0223739275976654,no movement
84,0.0,0.0225350709522041,no movement
85,0.0,0.0226948428739381,no movement
86,0.0,0.0228532607963354,no movement
87,0.0,0.0230103418586281,no movement
88,0.0,0.023166102911994,no movement
89,0.0,0.0233205605255827,no movement
90,0.0,0.0234737309923915,no movement
91,0.0,0.02361778030268,no movement
92,0.0,0.0237606391228008,no movement
93,0.0,0.0239023221501634,no movement
94,0.0,0.0240428438412361,no movement
95,0.0,0.0241718604153836,no movement
96,0.0,0.0242998280742941,no movement
97,0.0,0.0244267595578289,no movement
98,0.0,0.0245526674003674,no movement
99,0.0,0.0246775639349337,no movement
100,0.0,0.0248014612972234,no movement
101,0.0,0.0249243714295348,no movement
102,0.0,0.0250463060846056,no movement
103,0.0,0.0251672768293596,no movement
104,0.0,0.0252872950485644,no movement
105,0.0,0.0254063719484028,no movement
106,0.0,0.0255245185599613,no movement
107,0.0,0.0256417457426361,no movement
108,0.0,0.0257580641874607,no movement
109,0.0,0.0258734844203561,no movement
110,0.0,0.0259880168053061,no movement
111,0.0,0.0261016715474597,no movement
112,0.0,0.0262144586961616,no movement
113,0.0,0.0263263881479153,no movement
114,0.0,0.0264374696492769,no movement
115,0.0,0.026542679603924,no movement
116,0.0,0.0266470985062805,no movement
117,0.0,0.0267507352445744,no movement
118,0.0,0.0268535985743735,no movement
119,0.0,0.0269476128472746,no movement
120,0.0,0.0270409307181542,no movement
121,0.0,0.0271335598962598,no movement
122,0.0,0.0272255079774675,no movement
123,0.0,0.0273167824463588,no movement
124,0.0,0.0274073906782507,no movement
125,0.0,0.0274973399411835,no movement
126,0.0,0.0275866373978632,no movement
127,0.0,0.0276752901075632,no movement
128,0.0,0.0277633050279848,no movement
129,0.0,0.0278506890170772,no movement
