FILE	f0min	f0max	f0sd	key	span
0_2_pr_97_Mic_nominal_srate48000_p1_sneeuw_geluiden_c2	371	953	128.418	477	1.363
0_2_trial_100_Mic_nominal_srate48000_p1_zwaar_geluiden_c2	199	339	37.773	288	0.767
0_2_trial_101_Mic_nominal_srate48000_p1_grommen_geluiden_c0	152	460	74.065	218	1.597
0_2_trial_102_Mic_nominal_srate48000_p1_zout_geluiden_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_103_Mic_nominal_srate48000_p1_zout_geluiden_c1	152	554	118.484	216	1.862
0_2_trial_104_Mic_nominal_srate48000_p1_zout_geluiden_c2	570	687	57.095	596	0.268
0_2_trial_105_Mic_nominal_srate48000_p1_zuigen_geluiden_c0	266	436	67.446	280	0.712
0_2_trial_106_Mic_nominal_srate48000_p1_zuigen_geluiden_c1	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_107_Mic_nominal_srate48000_p1_zuigen_geluiden_c2	44	147	33.406	119	1.741
0_2_trial_108_Mic_nominal_srate48000_p1_dik_geluiden_c0	213	1119	297.741	578	2.395
0_2_trial_109_Mic_nominal_srate48000_p1_dik_geluiden_c1	170	328	39.838	266	0.949
0_2_trial_10_Mic_nominal_srate48000_p0_vliegen_combinatie_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_110_Mic_nominal_srate48000_p1_dik_geluiden_c2	143	441	59.795	235	1.620
0_2_trial_111_Mic_nominal_srate48000_p1_ziek_geluiden_c0	172	548	114.374	419	1.673
0_2_trial_112_Mic_nominal_srate48000_p1_ziek_geluiden_c1	261	659	114.823	334	1.340
0_2_trial_113_Mic_nominal_srate48000_p1_huilen_geluiden_c0	266	502	60.743	380	0.914
0_2_trial_11_Mic_nominal_srate48000_p0_vliegen_combinatie_c1	45	100	8.037	50	1.157
0_2_trial_12_Mic_nominal_srate48000_p0_vliegen_combinatie_c2	122	156	10.399	149	0.352
0_2_trial_13_Mic_nominal_srate48000_p0_misschien_combinatie_c0	185	291	36.707	195	0.652
0_2_trial_14_Mic_nominal_srate48000_p0_misschien_combinatie_c1	179	261	26.856	233	0.545
0_2_trial_15_Mic_nominal_srate48000_p0_misschien_combinatie_c2	233	305	24.433	267	0.388
0_2_trial_16_Mic_nominal_srate48000_p0_bliksem_combinatie_c0	110	164	16.825	130	0.576
0_2_trial_17_Mic_nominal_srate48000_p0_bliksem_combinatie_c1	205	320	38.404	252	0.640
0_2_trial_18_Mic_nominal_srate48000_p0_bliksem_combinatie_c2	171	367	58.451	253	1.102
0_2_trial_23_Mic_nominal_srate48000_p1_groot_combinatie_c0	191	327	38.438	260	0.777
0_2_trial_24_Mic_nominal_srate48000_p1_groot_combinatie_c1	189	372	67.341	234	0.978
0_2_trial_25_Mic_nominal_srate48000_p1_groot_combinatie_c2	148	373	55.655	277	1.332
0_2_trial_26_Mic_nominal_srate48000_p1_hoog_combinatie_c0	228	483	84.619	374	1.079
0_2_trial_27_Mic_nominal_srate48000_p1_hoog_combinatie_c1	193	464	101.854	282	1.265
0_2_trial_28_Mic_nominal_srate48000_p1_hoog_combinatie_c2	163	387	73.667	264	1.248
0_2_trial_29_Mic_nominal_srate48000_p1_blij_combinatie_c0	227	382	59.898	300	0.752
0_2_trial_2_Mic_nominal_srate48000_p0_vrouw_combinatie_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_30_Mic_nominal_srate48000_p1_blij_combinatie_c1	192	426	87.226	252	1.146
0_2_trial_31_Mic_nominal_srate48000_p1_blij_combinatie_c2	162	375	61.561	217	1.207
0_2_trial_32_Mic_nominal_srate48000_p1_vis_combinatie_c0	174	273	17.759	221	0.648
0_2_trial_33_Mic_nominal_srate48000_p1_ruiken_combinatie_c0	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
0_2_trial_34_Mic_nominal_srate48000_p1_wind_combinatie_c0	357	971	201.903	413	1.443
0_2_trial_35_Mic_nominal_srate48000_p1_heet_combinatie_c0	242	361	37.244	321	0.573
0_2_trial_36_Mic_nominal_srate48000_p1_heet_combinatie_c1	561	1302	257.878	773	1.213
0_2_trial_37_Mic_nominal_srate48000_p1_heet_combinatie_c2	199	356	40.572	286	0.844
