FILE,NEWBEGIN,NEWEND,audio,video,bb,audio_begin_time,audio_end_time,video_begin_time,video_end_time,bb_begin_time,bb_end_time,sessionID,part,trial,pcn,concept,correction
18_2_rein_trial_39_p0_heet_geluiden_c0_final.avi,-1.0,0.0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_39_Mic_nominal_srate16000_p0_heet_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_39_MyWebcamFrameStream_nominal_srate500_p0_heet_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_39_BalanceBoard_stream_nominal_srate100_p0_heet_geluiden_c0.csv,20141.092080910985,20149.242371861583,20141.06617547125,20149.21645270523,20140.988305110408,20149.138459028767,18_2_rein,2,39,p0,heet,c0
18_2_rein_trial_42_p0_slang_geluiden_c0_final.avi,0.0,0.7,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_42_Mic_nominal_srate16000_p0_slang_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_42_MyWebcamFrameStream_nominal_srate500_p0_slang_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_42_BalanceBoard_stream_nominal_srate100_p0_slang_geluiden_c0.csv,20192.991083312147,20201.38132304789,20192.965161143344,20201.35541724212,20192.887574853543,20201.27736639912,18_2_rein,2,42,p0,slang,c0
18_2_rein_trial_43_p0_slang_geluiden_c1_final.avi,0.0,0.7,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_43_Mic_nominal_srate16000_p0_slang_geluiden_c1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_43_MyWebcamFrameStream_nominal_srate500_p0_slang_geluiden_c1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_43_BalanceBoard_stream_nominal_srate100_p0_slang_geluiden_c1.csv,20206.019944686865,20213.29593585913,20205.99404569795,20213.27003277479,20205.916895409053,20213.191789519584,18_2_rein,2,43,p0,slang,c1
18_2_rein_trial_44_p0_huilen_geluiden_c0_final.avi,-1.0,0.0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_44_Mic_nominal_srate16000_p0_huilen_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_44_MyWebcamFrameStream_nominal_srate500_p0_huilen_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_44_BalanceBoard_stream_nominal_srate100_p0_huilen_geluiden_c0.csv,20217.30790188115,20223.71209252196,20217.28202051157,20223.686173022725,20217.20389392929,20223.60853482004,18_2_rein,2,44,p0,huilen,c0
18_2_rein_trial_47_p0_lachen_geluiden_c0_final,-0.7,0.0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_47_Mic_nominal_srate16000_p0_lachen_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_47_MyWebcamFrameStream_nominal_srate500_p0_lachen_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_47_BalanceBoard_stream_nominal_srate100_p0_lachen_geluiden_c0.csv,20249.845108584886,20253.00500550339,20249.81921566995,20252.979118972307,20249.74227595154,20252.902751596925,18_2_rein,2,47,p0,lachen,c0
18_2_rein_trial_61_p1_ver_geluiden_c2_final,-2.0,2.0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_61_Mic_nominal_srate16000_p1_ver_geluiden_c2.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_61_MyWebcamFrameStream_nominal_srate500_p1_ver_geluiden_c2.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_61_BalanceBoard_stream_nominal_srate100_p1_ver_geluiden_c2.csv,20502.54912928328,20510.1161498607,20502.523252065304,20510.0902271294,20502.44552690509,20510.01257541728,18_2_rein,2,61,p1,ver,c2
18_2_rein_trial_64_p1_regen_geluiden_c2_final,-1.0,0.0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_64_Mic_nominal_srate16000_p1_regen_geluiden_c2.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_64_MyWebcamFrameStream_nominal_srate500_p1_regen_geluiden_c2.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_64_BalanceBoard_stream_nominal_srate100_p1_regen_geluiden_c2.csv,20572.588582924163,20589.8179879072,20572.56270360179,20589.79208423709,20572.48554198572,20589.71523750089,18_2_rein,2,64,p1,regen,c2
18_2_rein_trial_68_p1_horen_geluiden_c1_final,-2.0,2.0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_68_Mic_nominal_srate16000_p1_horen_geluiden_c1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_68_MyWebcamFrameStream_nominal_srate500_p1_horen_geluiden_c1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_68_BalanceBoard_stream_nominal_srate100_p1_horen_geluiden_c1.csv,20667.19028501864,20667.769080510297,20667.16441135243,20667.74294443892,20667.08744855509,20667.666008772136,18_2_rein,2,68,p1,horen,c1
18_2_rein_trial_73_p1_ruiken_geluiden_c0_final,0.0,-9.0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_73_Mic_nominal_srate16000_p1_ruiken_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_73_MyWebcamFrameStream_nominal_srate500_p1_ruiken_geluiden_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_73_BalanceBoard_stream_nominal_srate100_p1_ruiken_geluiden_c0.csv,20755.100175081883,20769.45028251552,20755.074256493263,20769.424370749493,20754.997933319235,20769.347431019058,18_2_rein,2,73,p1,ruiken,c0
18_2_rein_trial_84_p0_verdrietig_combinatie_c0_final,0.0,0.6,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_84_Mic_nominal_srate16000_p0_verdrietig_combinatie_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_84_MyWebcamFrameStream_nominal_srate500_p0_verdrietig_combinatie_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\18_2_rein_trial_84_BalanceBoard_stream_nominal_srate100_p0_verdrietig_combinatie_c0.csv,21105.94213173312,21112.07013967828,21105.91623613183,21112.044236204096,21105.83794939264,21111.967685940497,18_2_rein,2,84,p0,verdrietig,c0
