FILE,NEWBEGIN,NEWEND,audio,video,bb,audio_begin_time,audio_end_time,video_begin_time,video_end_time,bb_begin_time,bb_end_time,sessionID,part,trial,pcn,concept,correction
54_2_trial_16_p1_kind_gebaren_c0_final,0,-6,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\54_2_trial_16_Mic_nominal_srate16000_p1_kind_gebaren_c0_cut3.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\54_2_trial_16_MyWebcamFrameStream_nominal_srate500_p1_kind_gebaren_c0_cut3.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\54_2_trial_16_BalanceBoard_stream_nominal_srate100_p1_kind_gebaren_c0_cut3.csv,17323.689897186952,17358.558183729663,17323.66237326438,17358.523172257956,17323.565134454933,17358.42906549978,54_2,2,16,p1,kind,c0
1_1_trial_3_p0_walgen_gebaren_final,3.5,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\1_1_trial_3_Mic_nominal_srate16000_p0_walgen_gebaren_cut1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\1_1_trial_3_MyWebcamFrameStream_nominal_srate500_p0_walgen_gebaren_cut1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\1_1_trial_3_BalanceBoard_stream_nominal_srate100_p0_walgen_gebaren_cut1.csv,10442.791455534263,10449.236537629407,10442.762372677582,10449.206022423075,10442.68110081814,10449.123631864137,1_1,1,3,p0,walgen,
22_1_trial_13_p1_ziek_geluiden_final,-2,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\22_1_trial_13_Mic_nominal_srate16000_p1_ziek_geluiden.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\22_1_trial_13_MyWebcamFrameStream_nominal_srate500_p1_ziek_geluiden.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\22_1_trial_13_BalanceBoard_stream_nominal_srate100_p1_ziek_geluiden.csv,10975.6385197799,10981.547257762151,10975.61603179224,10981.52476890436,10975.555228876452,10981.463576299297,22_1,1,13,p1,ziek,
31_2_rein_trial_61_p1_vrouw_geluiden_c2_final,1,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\31_2_rein_trial_61_Mic_nominal_srate16000_p1_vrouw_geluiden_c2.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\31_2_rein_trial_61_MyWebcamFrameStream_nominal_srate500_p1_vrouw_geluiden_c2.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\31_2_rein_trial_61_BalanceBoard_stream_nominal_srate100_p1_vrouw_geluiden_c2.csv,105499.42143680336,105504.77481118558,105499.39627268237,105504.7496180694,105499.35361511228,105504.70589073094,31_2_rein,2,61,p1,vrouw,c2
24_1_trial_40_p0_scherp_combinatie_final,0,-1,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\24_1_trial_40_Mic_nominal_srate16000_p0_scherp_combinatie.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\24_1_trial_40_MyWebcamFrameStream_nominal_srate500_p0_scherp_combinatie.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\24_1_trial_40_BalanceBoard_stream_nominal_srate100_p0_scherp_combinatie.csv,16266.968961867433,16272.574774500565,16266.945468511258,16272.551319163234,16266.849175444384,16272.45582447691,24_1,1,40,p0,scherp,
30_2_trial_47_p0_hoorn_gebaren_c0_final,1,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_47_Mic_nominal_srate16000_p0_hoorn_gebaren_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_47_MyWebcamFrameStream_nominal_srate500_p0_hoorn_gebaren_c0.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_47_BalanceBoard_stream_nominal_srate100_p0_hoorn_gebaren_c0.csv,5299.793372857588,5307.902150167036,5299.766894901928,5307.87566071935,5299.709505510619,5307.819471403188,30_2,2,47,p0,hoorn,c0
30_2_trial_83_p0_vlieg_combinatie_c1_final,0.2,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_83_Mic_nominal_srate16000_p0_vlieg_combinatie_c1_cut15.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_83_MyWebcamFrameStream_nominal_srate500_p0_vlieg_combinatie_c1_cut15.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_83_BalanceBoard_stream_nominal_srate100_p0_vlieg_combinatie_c1_cut15.csv,6278.860206284968,6289.556447725627,6278.85020986668,6289.530004282424,6278.792014881044,6289.472529109284,30_2,2,83,p0,vlieg,c1
30_2_trial_98_p1_geur_combinatie_c2_final,4,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_98_Mic_nominal_srate16000_p1_geur_combinatie_c2_cut1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_98_MyWebcamFrameStream_nominal_srate500_p1_geur_combinatie_c2_cut1.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\30_2_trial_98_BalanceBoard_stream_nominal_srate100_p1_geur_combinatie_c2_cut1.csv,6540.028595913667,6560.761137053254,6540.00340867709,6560.734645655262,6539.945968505473,6560.678671766451,30_2,2,98,p1,geur,c2
37_1_trial_14_p1_oud_gebaren_final,3,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\37_1_trial_14_Mic_nominal_srate16000_p1_oud_gebaren.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\37_1_trial_14_MyWebcamFrameStream_nominal_srate500_p1_oud_gebaren.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\37_1_trial_14_BalanceBoard_stream_nominal_srate100_p1_oud_gebaren.csv,2483.9632654528086,2495.971229776753,2483.9332010898333,2495.9411784488548,2483.8789376119166,2495.88739858225,37_1,1,14,p1,oud,
39_2_trial_31_p1_kind_geluiden_c1_final,6,0,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\39_2_trial_31_Mic_nominal_srate16000_p1_kind_geluiden_c1_cut6.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\39_2_trial_31_MyWebcamFrameStream_nominal_srate500_p1_kind_geluiden_c1_cut6.csv,f:\flesh_data_processed\01_XDF_processing\data\Data_processed\Data_trials\39_2_trial_31_BalanceBoard_stream_nominal_srate100_p1_kind_geluiden_c1_cut6.csv,18619.389172936502,18634.33702509772,18619.36858794684,18634.311727788383,18619.335900019665,18634.278617231685,39_2,2,31,p1,kind,c1
