cut_id,cut_start,cut_end,trial_id
12_2_trial_29_,-0.769887276052278,0,12_2_29_
8_2_trial_62_,0.0,0.7400851876087321,8_2_62_
66_2_trial_16_,0.0,0.7408507389961111,66_2_16_
1_2_trial_47_,0.7860210751017954,7.930910550489671,1_2_47_
23_1_trial_14_,0.752435976087933,0,23_1_14_
1_2_rein_trial_121_,0.0,0.7511096086336693,1_2_rein_121_
54_2_rein_trial_73_,-2.1488666758414183,0,54_2_rein_73_
21_1_trial_2_,-0.7485741748742404,0.5997023011791119,21_1_2_
33_1_trial_16_,-0.7718106841930421,0.7275874283780771,33_1_16_
72_1_trial_15_,0.0,0.7359327748572847,72_1_15_
9_2_trial_18_,0.0,0.7343641769609045,9_2_18_
12_2_trial_104_,0.0,0.7289233741050793,12_2_104_
72_2_trial_96_,-1.3647208532303619,0.7351058636845664,72_2_96_
9_2_trial_5_,0.0,0.7328184675476734,9_2_5_
1_1_trial_17_,0.0,0.733923044053275,1_1_17_
28_2_trial_93_,-2.1712246508530675,0,28_2_93_
6_2_trial_113_,-2.157784493683721,0,6_2_113_
27_2_trial_103_,-1.5619526197697269,0.834125152246088,27_2_103_
55_2_trial_21_,0.0,0.7604577535048899,55_2_21_
8_2_trial_22_,-0.8081756369974755,0,8_2_22_
72_2_trial_49_,-0.7643048803503613,0.7344580135195429,72_2_49_
20_2_trial_108_,0.0,0.7434465744193707,20_2_108_
22_2_trial_75_,-0.7418184012130192,0,22_2_75_
32_2_trial_82_,-0.7503737085307876,0,32_2_82_
48_2_trial_70_,0.0,0.7260974782937714,48_2_70_
72_2_trial_57_,0.0,0.7358471830038221,72_2_57_
58_2_trial_56_,-2.1607716163674318,0,58_2_56_
6_2_trial_95_,0.0,0.7398794790336373,6_2_95_
65_2_trial_59_,0.0,0.7426804841167419,65_2_59_
34_2_trial_11_,-1.3707314197260037,0,34_2_11_
14_2_trial_82_,-0.7589950519390337,1.3359607868946266,14_2_82_
38_1_trial_34_,0.0,0.7572738433227642,38_1_34_
48_2_trial_28_,0.0,0.729007203844958,48_2_28_
39_2_trial_14_,0.0,0.745516022506005,39_2_14_
54_2_rein_trial_94_,-1.3997202875314088,11.942924942338626,54_2_rein_94_
72_2_trial_71_,-1.3617540217414899,0,72_2_71_
16_2_trial_27_,0.0,0.7474986937304493,16_2_27_
38_1_trial_33_,0.0,0.7589624136138203,38_1_33_
69_1_trial_25_,0.0,0.7544723462051479,69_1_25_
38_1_trial_31_,0.0,0.7587272919487683,38_1_31_
28_1_trial_21_,0.0,0.7522669347167721,28_1_21_
46_2_trial_35_,0.0,0.749354134513851,46_2_35_
56_2_trial_104_,-0.606929569855159,0.7427273994150406,56_2_104_
3_1_trial_23_,0.0,0.7368681768098592,3_1_23_
6_2_trial_11_,-0.7583578028470583,0,6_2_11_
67_2_trial_7_,0.0,0.7323122505525438,67_2_7_
20_2_trial_17_,0.0,0.7422098129852088,20_2_17_
31_2_rein_trial_107_,0.0,0.7428666937192551,31_2_rein_107_
8_2_trial_57_,0.0,0.7402308257636226,8_2_57_
51_1_trial_7_,0.0,0.7381933864617167,51_1_7_
3_2_trial_43_,0.0,0.7555312548702204,3_2_43_
59_2_trial_51_,0.0,0.7423631542573427,59_2_51_
20_1_trial_12_,0.0,0.7552278501316323,20_1_12_
54_2_rein_trial_51_,0.0,0.7487162847161623,54_2_rein_51_
35_2_trial_22_,-0.7476403999820226,0,35_2_22_
64_1_trial_24_,-1.3693893606037288,1.324456639512088,64_1_24_
34_1_trial_49_,0.0,0.7326316244410312,34_1_49_
7_2_trial_84_,0.0,0.7445628103699468,7_2_84_
19_2_trial_102_,0.0,0.7464947666787793,19_2_102_
70_1_trial_16_,-0.7579057869457605,0,70_1_16_
30_2_trial_31_,4.144367886721132,1.5887954660959924,30_2_31_
56_1_trial_34_,0.0,0.7568728854839719,56_1_34_
40_1_trial_48_,0.0,0.7344883265255552,40_1_48_
38_2_trial_70_,-0.7609141658370694,0,38_2_70_
50_2_trial_91_,-1.8634675564727938,0,50_2_91_
72_2_trial_76_,-0.76427763865892,0,72_2_76_
55_2_trial_11_,-0.7402012010886191,0.7591191677009211,55_2_11_
12_2_trial_91_,0.7305746998821027,0,12_2_91_
67_2_trial_46_,0.0,0.7360894891802067,67_2_46_
1_1_trial_2_,-3.154935879751681,1.1310022739605,1_1_2_
56_2_trial_85_,0.0,0.7392970966482911,56_2_85_
22_1_trial_21_,0.0,0.7364032363778582,22_1_21_
71_2_trial_74_,0.0,0.7383012473534715,71_2_74_
72_1_trial_23_,10.992985798847258,0.4780815290952584,72_1_23_
70_2_trial_70_,-0.7505565429346461,0.7494056913771298,70_2_70_
56_2_trial_7_,0.0,0.7414630369458072,56_2_7_
37_2_trial_49_,-0.769099136144708,0,37_2_49_
53_2_trial_103_,0.0,0.7498004623723015,53_2_103_
57_2_trial_60_,0.0,0.7286539381814995,57_2_60_
50_2_trial_7_,0.23829876732391617,0.780750311886853,50_2_7_
41_1_trial_34_,0.0,0.7540629033003748,41_1_34_
38_2_trial_15_,0.0,0.7357549299510234,38_2_15_
55_2_trial_115_,0.0,2.1592144223585215,55_2_115_
57_2_trial_20_,-2.167756174483088,0.7767392767997686,57_2_20_
26_1_trial_2_,0.0,0.7554718725962933,26_1_2_
57_2_trial_84_,-1.3701981189339374,0,57_2_84_
54_2_rein_trial_101_,-1.3509597535994544,0.797031156871526,54_2_rein_101_
15_2_trial_87_,-0.7419383118479649,0,15_2_87_
64_1_trial_41_,0.7319113087614824,0,64_1_41_
5_2_trial_3_,-0.7642862563589006,0,5_2_3_
41_1_trial_35_,0.0,0.7530384492832051,41_1_35_
16_1_trial_5_,0.9385449383892895,1.981860497306722,16_1_5_
18_2_rein_trial_89_,-2.612999094516757,0,18_2_rein_89_
53_2_trial_99_,0.0,0.7507938056926378,53_2_99_
69_2_trial_107_,0.0,0.7337516301856036,69_2_107_
28_2_trial_2_,0.0,0.7275522596235836,28_2_2_
29_2_trial_40_,0.7372436794776149,0,29_2_40_
23_1_trial_16_,-0.7460452771231871,0,23_1_16_
45_2_trial_86_,-0.7595306968407082,0,45_2_86_
70_2_trial_54_,-0.7512724465107112,0,70_2_54_
69_1_trial_2_,0.0,0.755970599130554,69_1_2_
71_2_trial_14_,0.0,0.7365683467984733,71_2_14_
30_2_trial_55_,0.0,4.936428411424534,30_2_55_
54_1_trial_23_,0.0,0.7601863521072877,54_1_23_
24_2_trial_98_,-2.946149694835185,1.4070217552606057,24_2_98_
23_1_trial_25_,0.0,0.7491571429982287,23_1_25_
13_1_trial_7_,0.0,0.7503477904531906,13_1_7_
24_2_trial_110_,-1.3415714542134083,0,24_2_110_
33_1_trial_8_,-0.7704460206938771,0.7266471001421451,33_1_8_
20_2_trial_105_,0.0,0.7429152509425876,20_2_105_
34_2_trial_69_,0.0,0.7292168043583539,34_2_69_
72_1_trial_43_,0.0,2.1325689965638808,72_1_43_
7_2_trial_90_,0.0,0.7456954627801528,7_2_90_
37_1_trial_47_,-0.7553958626709422,0,37_1_47_
66_2_trial_23_,0.0,0.7386616521107499,66_2_23_
50_2_trial_94_,-0.7659041616276833,0.5821726476569893,50_2_94_
8_2_trial_102_,-0.6098364354176434,0.7383178218154475,8_2_102_
34_2_trial_65_,0.0,0.7276910996910525,34_2_65_
72_2_trial_43_,0.0,0.737304865818866,72_2_43_
