FILE, NEWBEGIN, NEWEND,Unnamed: 3,audio,video,bb,audio_begin_time,audio_end_time,video_begin_time,video_end_time,bb_begin_time,bb_end_time,sessionID,part,trial,pcn,concept,correction
1_1_trial_2_p0_ik_gebaren_cut13_final.avi,0.7,0.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_1_trial_2_Mic_nominal_srate16000_p0_ik_gebaren_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_1_trial_2_MyWebcamFrameStream_nominal_srate500_p0_ik_gebaren_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_1_trial_2_BalanceBoard_stream_nominal_srate100_p0_ik_gebaren_cut13.csv,10431.297300518052,10435.728879855684,10431.274358871558,10435.693148118851,10431.199035350966,10435.61011645279,1_1,1,2,p0,ik,
63_2_trial_27_p0_geven_combinatie_c1_cut13_final.avi,0.5,0.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\63_2_trial_27_Mic_nominal_srate16000_p0_geven_combinatie_c1_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\63_2_trial_27_MyWebcamFrameStream_nominal_srate500_p0_geven_combinatie_c1_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\63_2_trial_27_BalanceBoard_stream_nominal_srate100_p0_geven_combinatie_c1_cut13.csv,9044.47964079256,9047.020214344955,9044.464810664396,9046.999008147872,9044.398758721438,9046.920724476367,63_2,2,27,p0,geven,c1
6_2_trial_9_p0_bliksem_geluiden_c2_cut13_final.avi,-2.0,-15.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\6_2_trial_9_Mic_nominal_srate16000_p0_bliksem_geluiden_c2_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\6_2_trial_9_MyWebcamFrameStream_nominal_srate500_p0_bliksem_geluiden_c2_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\6_2_trial_9_BalanceBoard_stream_nominal_srate100_p0_bliksem_geluiden_c2_cut13.csv,5078.031600757123,5103.1162607539445,5078.019088059453,5103.075868939454,5077.962605696465,5103.02332679949,6_2,2,9,p0,bliksem,c2
29_2_trial_78_p0_misschien_combinatie_c0_cut13_final.avi,-1.5,-7.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\29_2_trial_78_Mic_nominal_srate16000_p0_misschien_combinatie_c0_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\29_2_trial_78_MyWebcamFrameStream_nominal_srate500_p0_misschien_combinatie_c0_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\29_2_trial_78_BalanceBoard_stream_nominal_srate100_p0_misschien_combinatie_c0_cut13.csv,6449.549964549016,6466.093414461275,6449.529789930575,6466.057820121914,6449.467570687838,6465.987415601087,29_2,2,78,p0,misschien,c0
30_2_trial_104_p1_staart_combinatie_c1_cut13_final.avi,-3.0,-20.5,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\30_2_trial_104_Mic_nominal_srate16000_p1_staart_combinatie_c1_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\30_2_trial_104_MyWebcamFrameStream_nominal_srate500_p1_staart_combinatie_c1_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\30_2_trial_104_BalanceBoard_stream_nominal_srate100_p1_staart_combinatie_c1_cut13.csv,6666.2111494834535,6690.526092307176,6666.195541206282,6690.486490890529,6666.144137815237,6690.414428449513,30_2,2,104,p1,staart,c1
39_2_trial_7_p0_vrouw_geluiden_c2_cut13_final.avi,-3.0,-11.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\39_2_trial_7_Mic_nominal_srate16000_p0_vrouw_geluiden_c2_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\39_2_trial_7_MyWebcamFrameStream_nominal_srate500_p0_vrouw_geluiden_c2_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\39_2_trial_7_BalanceBoard_stream_nominal_srate100_p0_vrouw_geluiden_c2_cut13.csv,17866.728310758215,17887.703572239807,17866.720969284594,17887.667454706185,17866.686459277546,17887.63484182483,39_2,2,7,p0,vrouw,c2
66_1_trial_29_p1_bitter_geluiden_cut13_final.avi,-5.0,-3.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\66_1_trial_29_Mic_nominal_srate16000_p1_bitter_geluiden_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\66_1_trial_29_MyWebcamFrameStream_nominal_srate500_p1_bitter_geluiden_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\66_1_trial_29_BalanceBoard_stream_nominal_srate100_p1_bitter_geluiden_cut13.csv,9928.06126788599,9955.436270536577,9928.04768047358,9955.400007844744,9927.96803957627,9955.322955102878,66_1,1,29,p1,bitter,
1_2_rein_trial_5_p0_bitter_gebaren_c1_cut13_final.avi,7.0,0.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_2_rein_trial_5_Mic_nominal_srate16000_p0_bitter_gebaren_c1_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_2_rein_trial_5_MyWebcamFrameStream_nominal_srate500_p0_bitter_gebaren_c1_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_2_rein_trial_5_BalanceBoard_stream_nominal_srate100_p0_bitter_gebaren_c1_cut13.csv,14031.823705233806,14045.431942296244,14031.803100858164,14045.399342468469,14031.77443943224,14045.369241815251,1_2_rein,2,5,p0,bitter,c1
24_1_trial_8_p0_onweer_geluiden_cut13_final.avi,5.0,0.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\24_1_trial_8_Mic_nominal_srate16000_p0_onweer_geluiden_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\24_1_trial_8_MyWebcamFrameStream_nominal_srate500_p0_onweer_geluiden_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\24_1_trial_8_BalanceBoard_stream_nominal_srate100_p0_onweer_geluiden_cut13.csv,15170.413416287236,15181.980321315772,15170.400104935296,15181.956817990096,15170.307277986096,15181.866494923835,24_1,1,8,p0,onweer,
28_1_trial_7_p0_geven_geluiden_cut13_final.avi,5.0,0.0,,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\28_1_trial_7_Mic_nominal_srate16000_p0_geven_geluiden_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\28_1_trial_7_MyWebcamFrameStream_nominal_srate500_p0_geven_geluiden_cut13.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\28_1_trial_7_BalanceBoard_stream_nominal_srate100_p0_geven_geluiden_cut13.csv,2493.3212977073854,2504.80281516636,2493.3035363028093,2504.771936678079,2493.278827658124,2504.74795395113,28_1,1,7,p0,geven,
