time_ms,confidence_movement,smoothed_confidence
0,0.0,0.0
1,0.0,0.00015692253963711967
2,0.0,0.0003117803090158562
3,0.0,0.0004646137938275504
4,0.0,0.0006154624281871447
5,0.0,0.0007643646285550023
6,0.0,0.0009113578263540412
7,0.0,0.0010564784993403536
8,0.0,0.0011997622017825352
9,0.0,0.0013412435935021738
10,0.0,0.001480956467825317
11,0.0,0.0016189337784922719
12,0.0,0.001755207665570746
13,0.0,0.0018898094804151286
14,0.0,0.002022769809712628
15,0.0,0.002154118498655006
16,0.0,0.002283884673272778
17,0.0,0.0024120967619669833
18,0.0,0.002538782516271972
19,0.0,0.0026634369996976904
20,0.0,0.002786624959788989
21,0.0,0.0029083721250254178
22,0.0,0.0030287036255497958
23,0.0,0.003146695622821597
24,0.0,0.003263331390239699
25,0.0,0.0033786341774587367
26,0.0,0.003492626705732104
27,0.0,0.0036053311828385406
28,0.0,0.003716769317505579
29,0.0,0.0038269623333495218
30,0.0,0.003935930982350754
31,0.0,0.00404369555788236
32,0.0,0.004150275907309223
33,0.0,0.004255691444174043
34,0.0,0.004359961159985985
35,0.0,0.004463103635626987
36,0.0,0.004565137052390129
37,0.0,0.004666079202663825
38,0.0,0.004765947500275035
39,0.0,0.0048647589905041165
40,0.0,0.004962530359783418
41,0.0,0.0050592779450912085
42,0.0,0.005155017743052042
43,0.0,0.005249376374784196
44,0.0,0.00534276223711705
45,0.0,0.005435190295733669
46,0.0,0.005526675210895017
47,0.0,0.005616583310105211
48,0.0,0.005705583246697121
49,0.0,0.005793688711564489
50,0.0,0.005880913121783183
51,0.0,0.005967269627422587
52,0.0,0.00605277111815467
53,0.0,0.006137430229667719
54,0.0,0.006221259349891423
55,0.0,0.006304270625039773
56,0.0,0.006386475965477946
57,0.0,0.006467887051419131
58,0.0,0.006548515338457036
59,0.0,0.006628372062939554
60,0.0,0.006707468247188906
61,0.0,0.006785814704573336
62,0.0,0.00686342204443527
63,0.0,0.006940300676880659
64,0.0,0.007016460817434037
65,0.0,0.007091912491563661
66,0.0,0.007166665539080974
67,0.0,0.007240072913327634
68,0.0,0.007312806825425241
69,0.0,0.007384876500882688
70,0.0,0.007456290997472341
71,0.0,0.007526647009734705
72,0.0,0.007596369184048759
73,0.0,0.007665466047382418
74,0.0,0.0077339459744363145
75,0.0,0.007801817191027508
76,0.0,0.00786908777738338
77,0.0,0.007935765671348453
78,0.0,0.008001858671506816
79,0.0,0.008067374440222746
80,0.0,0.008132320506602016
81,0.0,0.00819670426937627
82,0.0,0.008260532999712815
83,0.0,0.008323813843952052
84,0.0,0.008386553826274713
85,0.0,0.00844875985130101
86,0.0,0.008510438706623697
87,0.0,0.008571597065276992
88,0.0,0.008632241488143287
89,0.0,0.008692378426299403
90,0.0,0.008752014223304216
91,0.0,0.008811006652475833
92,0.0,0.008869511540910497
93,0.0,0.008927534907629648
94,0.0,0.008985082672982248
95,0.0,0.009041943298835476
96,0.0,0.009098341643177703
97,0.0,0.009154283320764123
98,0.0,0.00920977385578936
99,0.0,0.009264818683705963
100,0.0,0.009319423152999232
101,0.0,0.009373592526919645
102,0.0,0.009427331985174025
103,0.0,0.009480646625576591
