TrialID,HNR,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,aqpq5Shimmer,apq11Shimmer,ddaShimmer
0_1_3_p0,10.440347843004814,0.03591691831878842,0.00016167808317017404,0.01593591188514001,0.013196364389464758,0.04780773565542003,0.07790777682560278,0.9041975830426531,0.021739268533286057,0.030643839839666856,0.06929119242795742,0.06521780559985817
0_1_4_p0,-3.431655260853603,,,,,,,,,,,
0_1_5_p0,2.5898707535450924,0.024914127647103528,0.0001359924350934516,0.01081655652595761,0.008150091167088364,0.03244966957787283,0.1401370636234963,1.659036324572348,0.05856812585560844,0.04821070335041714,0.1307212651999352,0.1757043775668253
0_1_6_p0,21.51037590580053,0.007794344480504458,4.171989654236664e-05,0.004053913387869546,0.004457292393551513,0.012161740163608638,0.023396264390860486,0.21938446445739257,0.009891649883902577,0.01325506396429736,0.022909040990523665,0.02967494965170773
0_1_7_p0,-3.4865037675249004,,,,,,,,,,,
0_1_11_p1,1.4358879006870007,,,,,,,,,,,
0_1_12_p1,7.716061586418785,0.054127808673747,0.0002731289575006322,0.02785070460738044,0.03126096468558497,0.08355211382214132,0.1024533203091106,1.240604123046335,0.033741748758387924,0.053726808861040885,0.08729616087120633,0.10122524627516377
0_1_13_p1,-1.5237845451321061,,,,,,,,,,,
0_1_14_p1,-0.7783154749020715,0.07361687139764937,0.00021515846378896696,0.054684833604125446,0.05554641462696769,0.16405450081237632,0.187713995109979,1.7867008635381245,0.09454902721106,0.17301096767582216,,0.28364708163318
0_1_15_p1,-0.07981570663232078,,,,,,,,,,,
0_1_16_p1,5.382501539259862,0.02083264069495936,0.00010853826779829235,0.007608677024423741,0.007481612712987501,0.022826031073271223,0.02711492212542109,0.4111055684335637,0.007014405824102401,0.00901064059345907,0.012604094828438547,0.021043217472307203
0_1_17_p1,14.72096355625607,0.00684910946393587,2.4812013357445154e-05,0.002217586792212972,0.0025489925193866686,0.006652760376638916,0.03859453047837127,0.3787072326205755,0.013386074025023616,0.01757019470215137,0.03481582166569778,0.040158222075070846
0_1_19_p0,21.289689991654605,0.011734354240557241,5.026283706764135e-05,0.004071759608365001,0.004715553096364129,0.012215278825095002,0.025890022422055695,0.3373487789822808,0.006652419413293854,0.009320229133009093,0.018196483077960367,0.01995725823988156
0_1_20_p0,15.974700801812448,0.015020489541383016,5.963604138607904e-05,0.008579411288096264,0.00807794827967314,0.025738233864288793,0.05797070320446306,0.6856149796226185,0.026080184056293143,0.03055307535902945,0.04230328012980623,0.07824055216887943
0_1_21_p0,14.26316460461509,0.019813952685276044,8.941091415199709e-05,0.008491483122189135,0.011505180154714694,0.025474449366567405,0.12554044185554475,1.0863451021882025,0.03917911482160777,0.07414210121309786,0.14582692143526457,0.1175373444648233
0_1_22_p0,12.183852676784504,0.10078340854324642,0.0002802084922618452,0.05503012124596749,0.07754654651679987,0.16509036373790248,0.12248131151344685,1.0912891400808407,0.06465695378964924,0.0801597241517493,0.09138779980426345,0.1939708613689477
0_1_23_p0,-0.4561858764279055,,,,,,,,,,,
0_1_24_p0,14.356399006102857,0.07442307485017285,0.0002005509839784128,0.03785891816677034,0.03813695807093114,0.11357675450031102,0.11667302815620437,1.1152508394999174,0.05559302639763995,0.07555309338262943,0.10732755704913612,0.16677907919291984
0_1_25_p0,19.544568780610543,0.009610091465074518,3.748494546659911e-05,0.004370897557659767,0.004564772842433347,0.0131126926729793,0.021348000825431403,0.26202076928231444,0.008641093355945173,0.009929408667571632,0.015489560545655146,0.025923280067835522
0_1_26_p0,6.783366985910862,,,,,,,,,,,
0_1_27_p1,0.5531495368678657,0.09991574494256071,0.0006826418929316569,0.05233506568808944,0.06769652043100267,0.15700519706426833,0.3483561210635176,2.2120699280789813,0.14566046636636873,,,0.43698139909910616
0_1_28_p1,6.98223947623347,0.06433664204673754,0.0004236402913589214,0.035978607617283526,0.02251272821197456,0.10793582285185058,0.1300230930641602,0.9499844396724972,0.03128180457638295,,,0.09384541372914885
0_1_29_p1,-0.2685613033065514,,,,,,,,,,,
0_1_30_p1,0.07112510112875003,,,,,,,,,,,
0_1_31_p1,15.469387143997551,0.02316605362164319,9.334194113730058e-05,0.010566722104514915,0.009410473291677445,0.03170016631354475,0.03680124506525149,0.5492403468794991,0.012865865023022938,0.014546824058073783,0.021655821730364705,0.03859759506906882
0_1_32_p1,-0.9991109549155187,,,,,,,,,,,
0_1_33_p1,13.132414339341302,0.028289397273807797,0.00013429230201646137,0.012035267443481603,0.01059470186735556,0.03610580233044481,0.057197805038499125,0.7395032342828487,0.011722867209065622,0.01956917063276119,0.04516587072768955,0.035168601627196865
0_1_34_p1,-6.165632538090118,,,,,,,,,,,
0_1_35_p1,14.089326140972172,0.03420027011100784,0.00013249210751790843,0.019288260785508698,0.01801898230831374,0.05786478235652609,0.0785891279871415,0.9050755469207692,0.040435682232857886,0.043105827888386655,0.048186250561124175,0.12130704669857366
0_1_36_p0,2.247099587050856,0.059691405381960744,0.0004474543304975814,0.03386510245580024,0.039577963280719754,0.10159530736740072,0.18305051170802084,1.5958064029318484,0.057994162903145706,0.11878907871243256,,0.1739824887094371
0_1_37_p0,4.935893558433419,0.09643488232817149,0.0007009534465781977,0.0489441670925785,0.06241253215395414,0.1468325012777355,0.24044744671272522,1.9532258379971232,0.1388169970290888,0.46176496643687037,,0.41645099108726646
