duration_mov,numofArt,duration_voc,COPc_peak_mean,COPc_peak_std,COPc_peak_n,COPc_Gmean,COPc_Gstd,COPc_integral,envelope_peak_mean,envelope_peak_std,envelope_peak_times,envelope_peak_n,envelope_Gmean,envelope_Gstd,envelope_change_integral,f0_peak_mean,f0_peak_std,f0_peak_n,f0_Gmean,f0_Gstd,TrialID,concept,modality,correction,arm_inter,arm_sampEn,lowerbody_inter,lowerbody_sampEn,leg_inter,leg_sampEn,head_inter,head_sampEn,arm_torque_sum_Gmean,arm_torque_sum_Gstd,arm_torque_sum_peak_mean,arm_torque_sum_peak_std,arm_torque_sum_peak_n,arm_torque_sum_peak_times,arm_torque_sum_change_Gmean,arm_torque_sum_change_Gstd,arm_torque_sum_change_peak_mean,arm_torque_sum_change_peak_std,arm_torque_sum_change_peak_n,arm_torque_sum_change_peak_times,arm_torque_sum_change_integral,arm_speedKin_sum_Gmean,arm_speedKin_sum_Gstd,arm_speedKin_sum_peak_mean,arm_speedKin_sum_peak_std,arm_speedKin_sum_peak_n,arm_speedKin_sum_peak_times,arm_accKin_sum_Gmean,arm_accKin_sum_Gstd,arm_accKin_sum_peak_mean,arm_accKin_sum_peak_std,arm_accKin_sum_peak_n,arm_accKin_sum_peak_times,arm_jerkKin_sum_Gmean,arm_jerkKin_sum_Gstd,arm_jerkKin_sum_peak_mean,arm_jerkKin_sum_peak_std,arm_jerkKin_sum_peak_n,arm_jerkKin_sum_peak_times,arm_angSpeed_sum_Gmean,arm_angSpeed_sum_Gstd,arm_angSpeed_sum_peak_mean,arm_angSpeed_sum_peak_std,arm_angSpeed_sum_peak_n,arm_angSpeed_sum_peak_times,arm_angAcc_sum_Gmean,arm_angAcc_sum_Gstd,arm_angAcc_sum_peak_mean,arm_angAcc_sum_peak_std,arm_angAcc_sum_peak_n,arm_angAcc_sum_peak_times,lowerbody_power_Gmean,lowerbody_power_Gstd,lowerbody_power_peak_mean,lowerbody_power_peak_std,lowerbody_power_peak_n,lowerbody_power_peak_times,leg_power_Gmean,leg_power_Gstd,leg_power_peak_mean,leg_power_peak_std,leg_power_peak_n,leg_power_peak_times,head_power_Gmean,head_power_Gstd,head_power_peak_mean,head_power_peak_std,head_power_peak_n,head_power_peak_times,arm_power_Gmean,arm_power_Gstd,arm_power_peak_mean,arm_power_peak_std,arm_power_peak_n,arm_power_peak_times,lowerbody_torque_sum_Gmean,lowerbody_torque_sum_Gstd,lowerbody_torque_sum_peak_mean,lowerbody_torque_sum_peak_std,lowerbody_torque_sum_peak_n,lowerbody_torque_sum_peak_times,lowerbody_torque_sum_change_Gmean,lowerbody_torque_sum_change_Gstd,lowerbody_torque_sum_change_peak_mean,lowerbody_torque_sum_change_peak_std,lowerbody_torque_sum_change_peak_n,lowerbody_torque_sum_change_peak_times,lowerbody_torque_sum_change_integral,lowerbody_speedKin_sum_Gmean,lowerbody_speedKin_sum_Gstd,lowerbody_speedKin_sum_peak_mean,lowerbody_speedKin_sum_peak_std,lowerbody_speedKin_sum_peak_n,lowerbody_speedKin_sum_peak_times,lowerbody_accKin_sum_Gmean,lowerbody_accKin_sum_Gstd,lowerbody_accKin_sum_peak_mean,lowerbody_accKin_sum_peak_std,lowerbody_accKin_sum_peak_n,lowerbody_accKin_sum_peak_times,lowerbody_jerkKin_sum_Gmean,lowerbody_jerkKin_sum_Gstd,lowerbody_jerkKin_sum_peak_mean,lowerbody_jerkKin_sum_peak_std,lowerbody_jerkKin_sum_peak_n,lowerbody_jerkKin_sum_peak_times,lowerbody_angSpeed_sum_Gmean,lowerbody_angSpeed_sum_Gstd,lowerbody_angSpeed_sum_peak_mean,lowerbody_angSpeed_sum_peak_std,lowerbody_angSpeed_sum_peak_n,lowerbody_angSpeed_sum_peak_times,lowerbody_angAcc_sum_Gmean,lowerbody_angAcc_sum_Gstd,lowerbody_angAcc_sum_peak_mean,lowerbody_angAcc_sum_peak_std,lowerbody_angAcc_sum_peak_n,lowerbody_angAcc_sum_peak_times,leg_torque_sum_Gmean,leg_torque_sum_Gstd,leg_torque_sum_peak_mean,leg_torque_sum_peak_std,leg_torque_sum_peak_n,leg_torque_sum_peak_times,leg_torque_sum_change_Gmean,leg_torque_sum_change_Gstd,leg_torque_sum_change_peak_mean,leg_torque_sum_change_peak_std,leg_torque_sum_change_peak_n,leg_torque_sum_change_peak_times,leg_torque_sum_change_integral,leg_speedKin_sum_Gmean,leg_speedKin_sum_Gstd,leg_speedKin_sum_peak_mean,leg_speedKin_sum_peak_std,leg_speedKin_sum_peak_n,leg_speedKin_sum_peak_times,leg_accKin_sum_Gmean,leg_accKin_sum_Gstd,leg_accKin_sum_peak_mean,leg_accKin_sum_peak_std,leg_accKin_sum_peak_n,leg_accKin_sum_peak_times,leg_jerkKin_sum_Gmean,leg_jerkKin_sum_Gstd,leg_jerkKin_sum_peak_mean,leg_jerkKin_sum_peak_std,leg_jerkKin_sum_peak_n,leg_jerkKin_sum_peak_times,leg_angSpeed_sum_Gmean,leg_angSpeed_sum_Gstd,leg_angSpeed_sum_peak_mean,leg_angSpeed_sum_peak_std,leg_angSpeed_sum_peak_n,leg_angSpeed_sum_peak_times,leg_angAcc_sum_Gmean,leg_angAcc_sum_Gstd,leg_angAcc_sum_peak_mean,leg_angAcc_sum_peak_std,leg_angAcc_sum_peak_n,leg_angAcc_sum_peak_times,head_torque_sum_Gmean,head_torque_sum_Gstd,head_torque_sum_peak_mean,head_torque_sum_peak_std,head_torque_sum_peak_n,head_torque_sum_peak_times,head_torque_sum_change_Gmean,head_torque_sum_change_Gstd,head_torque_sum_change_peak_mean,head_torque_sum_change_peak_std,head_torque_sum_change_peak_n,head_torque_sum_change_peak_times,head_torque_sum_change_integral,head_speedKin_sum_Gmean,head_speedKin_sum_Gstd,head_speedKin_sum_peak_mean,head_speedKin_sum_peak_std,head_speedKin_sum_peak_n,head_speedKin_sum_peak_times,head_accKin_sum_Gmean,head_accKin_sum_Gstd,head_accKin_sum_peak_mean,head_accKin_sum_peak_n,head_accKin_sum_peak_times,head_jerkKin_sum_Gmean,head_jerkKin_sum_Gstd,head_jerkKin_sum_peak_mean,head_jerkKin_sum_peak_std,head_jerkKin_sum_peak_n,head_jerkKin_sum_peak_times,head_angSpeed_sum_Gmean,head_angSpeed_sum_Gstd,head_angSpeed_sum_peak_mean,head_angSpeed_sum_peak_std,head_angSpeed_sum_peak_n,head_angSpeed_sum_peak_times,head_angAcc_sum_Gmean,head_angAcc_sum_Gstd,head_angAcc_sum_peak_mean,head_angAcc_sum_peak_std,head_angAcc_sum_peak_n,head_angAcc_sum_peak_times,arms_submovements,arms_duration,bbmv_wrist,Wrist_tempVar,head_accKin_sum_peak_std
5948.0,2,0.0,0.006498115576493799,0.004872634004415938,9,0.002451331013467593,0.0029371250219135687,8.230148626867772,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0_2_2_p0,vrouw,combinatie,c0,19.338500427481613,0.02598190088131089,15.071776202563022,0.030991502836919115,14.298535328937616,0.025261372983287334,15.959382724943433,0.02233375738355337,6.9638358150675215,2.1499290755254328,9.707940260763374,2.458293503611523,10.0,"[50.0, 866.0, 1618.0, 2550.0, 3168.0, 3800.0, 4366.0, 4798.0, 5350.0, 5932.0]",0.33328197911037377,0.28808186429612487,0.7123377253182965,0.35025342718706015,9.0,"[332.0, 1700.0, 2450.0, 2934.0, 3882.0, 4350.0, 4798.0, 5198.0, 5668.0]",991.1719654347469,140.56110974168152,54.18815765355177,212.42189145033535,43.939457922702736,6.0,"[468.0, 1932.0, 2366.0, 3816.0, 4218.0, 5034.0]",4.475322181202216,2.6787542352721054,9.025410557388932,2.617071279922391,6.0,"[300.0, 716.0, 1768.0, 3682.0, 4234.0, 5834.0]",0.44528032377006144,0.2349483468348438,0.8985447241100377,0.29955485089112127,5.0,"[500.0, 1932.0, 2384.0, 3816.0, 4350.0]",6.121622308935515,2.492870975980281,9.740254972343427,2.3169190468880028,6.0,"[182.0, 684.0, 1932.0, 2618.0, 4216.0, 5616.0]",0.629377395500432,0.25058607784171505,0.9306010544685036,0.30597683613979465,8.0,"[134.0, 550.0, 1934.0, 2432.0, 3682.0, 4334.0, 5000.0, 5750.0]",250.6065513143992,244.9511253635633,437.0259365121092,152.666344811383,2.0,"[38.0, 1806.0]",75.35714749670586,61.7270242498666,56.98941411703657,7.376643695106999,3.0,"[58.0, 1212.0, 1736.0]",71.20701269900836,43.96678223978857,129.88519478385354,51.31089838027834,3.0,"[166.0, 1254.0, 1774.0]",424.4627250248866,198.52572611024684,359.06448533637547,171.97616101407044,4.0,"[62.0, 964.0, 1574.0, 2006.0]",79.70345746569956,15.699045940893614,75.09658857882724,10.921624007807019,2.0,"[750.0, 1400.0]",4.23703845494764,2.1900620866125533,2.850041883949382,1.8060014377909672,3.0,"[714.0, 1166.0, 1600.0]",3739.1284136908343,34.287531929269115,16.307669872635326,6.504794818645168,3.1276786485480534,2.0,"[748.0, 1166.0]",1.2763408687134976,0.8202441293125793,0.47527669012990653,0.7077850564084093,3.0,"[314.0, 864.0, 1366.0]",0.1380101834376426,0.09361557136195982,0.01455645116663475,0.005911027860979688,2.0,"[750.0, 1214.0]",2.5594664454500458,1.0637495502557262,3.806458635523991,1.5399698811736966,2.0,"[1016.0, 1616.0]",0.23542112974194185,0.12824566040137633,0.15034991068214168,0.014538266177845108,3.0,"[916.0, 1334.0, 1748.0]",11.4909187883571,2.707248498668612,12.217027754080107,0.7152782280795138,3.0,"[250.0, 884.0, 1532.0]",0.5834096341810493,0.3587074646269181,0.48820939345360936,0.5486057643178494,3.0,"[516.0, 964.0, 1514.0]",514.8812538966038,52.072924577823066,17.597331242779276,10.991416968918276,1.3745391713749853,2.0,"[850.0, 1314.0]",1.4674523256816354,0.570840299156848,0.4947524306116142,0.31986316452031144,2.0,"[382.0, 1482.0]",0.12577145266877637,0.06566003771122114,0.03071604557692335,0.0023662552500143983,2.0,"[864.0, 1332.0]",1.2418628780895393,0.7488787956592898,0.6416466547475356,0.33397220707340036,2.0,"[382.0, 1282.0]",0.1344554757354851,0.07174714051171276,0.0360873242509407,0.0035676721372093017,2.0,"[1100.0, 1532.0]",19.32675754454444,8.592430980806954,11.071247329640354,2.8706939929637696,4.0,"[280.0, 914.0, 1450.0, 1930.0]",2.256149781398254,1.1665538436465819,2.1585007048970026,1.36290679437571,3.0,"[366.0, 880.0, 1916.0]",2327.9781247637857,22.044677263634885,9.749092820273697,18.42770367563051,3.227541342202586,2.0,"[1482.0, 1982.0]",0.8149864358651746,0.5174200194971853,0.3461754344657844,1.0,[1616.0],0.09768086928462624,0.06860070522867807,0.050959063794123155,0.046494902770065134,2.0,"[1498.0, 2016.0]",0.9238113162448178,0.5453230944578521,1.739986402097381,0.2685294489112133,3.0,"[132.0, 1232.0, 1800.0]",0.08585636968176331,0.03986569794536225,0.12083447305821443,0.04533148114423331,3.0,"[282.0, 1098.0, 1648.0]",16,5948.0,101815.68501234034,951.0118894173263,
1866.0,1,1198.0,0.0022734227682867504,0.000876567473024979,4,0.0008868086899431382,0.0005386217860840428,1.1270333267020258,0.03698988821612405,0.011137188078265275,"20      864.0
569    1962.0
Name: time, dtype: float64",2,0.1148860362763107,0.2107302843929143,0.027122884576083826,,,0,216.24333786229786,12.131091478413737,0_2_3_p0,vrouw,combinatie,c1,15.590023617798161,0.047255417878058,,0.0,,0.0,,0.0,6.799062049732396,2.78326891390681,11.747514314418531,3.56915348861896,2.0,"[1266.0, 1766.0]",0.3259200950417653,0.19235028018843298,0.7739466300487085,0.12945309421011764,3.0,"[16.0, 1168.0, 1668.0]",303.6882947047029,148.02427896976343,36.82478414740428,190.26040470946097,19.158596708062248,3.0,"[134.0, 1000.0, 1600.0]",4.838734528635896,1.7834984752046548,7.39130218962386,0.9219031676487313,3.0,"[284.0, 816.0, 1782.0]",0.5478643244809472,0.22135767913615206,0.862578379882296,0.14252626832288956,3.0,"[150.0, 682.0, 1632.0]",7.98978364791631,3.426742746282062,11.269241674449761,1.7906168300344527,3.0,"[150.0, 718.0, 1600.0]",0.7825467155253186,0.3523221881768306,1.1744223303159487,0.5213778007097236,2.0,"[400.0, 1700.0]",,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],7,1866.0,45481.05373434131,101.85575587824864,
5748.0,1,486.0,0.0025503504241920732,0.0016310806755355932,11,0.0009549216687699514,0.000899389942821186,4.769419064195052,0.0009549301808057,,"124    6836.0
Name: time, dtype: float64",1,0.37566942384410795,0.35367869850530004,0.020654718068870627,,,0,224.88421224187914,64.0288009327872,0_2_4_p0,vrouw,combinatie,c2,19.118564648681836,0.029751429627757488,15.146970117929232,0.03360152506729776,14.423637416660496,0.022699985126002863,15.129584014733846,0.013047346285203898,7.487289696541356,2.4507466307382115,9.548815484625981,2.018740463120478,6.0,"[32.0, 1534.0, 2448.0, 3066.0, 3916.0, 5482.0]",0.30682346520438397,0.19859137441616193,0.19760854178976395,0.15403258082714072,9.0,"[448.0, 1466.0, 1964.0, 2366.0, 2850.0, 3300.0, 3834.0, 5016.0, 5664.0]",881.954514509185,157.26333247418805,73.22593385295748,102.65554421346157,71.72295036255397,7.0,"[584.0, 1164.0, 1714.0, 2466.0, 3266.0, 3966.0, 5482.0]",5.302183606354689,3.0616108592283697,3.430631703096893,2.713454757602126,7.0,"[148.0, 750.0, 1316.0, 1900.0, 3114.0, 4148.0, 5668.0]",0.5364498645690866,0.3182412885296208,0.4277185487341734,0.3052278831082413,6.0,"[300.0, 900.0, 1450.0, 3284.0, 4000.0, 5516.0]",5.62566155455768,2.982335355971639,3.480535749952739,2.396756109452905,6.0,"[232.0, 682.0, 1150.0, 1784.0, 3216.0, 5550.0]",0.5020622152348423,0.30354008529508836,0.27044993353287056,0.11549510638173045,5.0,"[398.0, 866.0, 1282.0, 3084.0, 5398.0]",289.73900318875667,172.71138538353742,153.4272412125091,155.74318748077926,2.0,"[74.0, 856.0]",108.14917045584299,49.49932057375883,27.827859193410102,10.229997351578485,3.0,"[844.0, 1274.0, 1966.0]",73.36916114232159,60.613078167960076,17.693303271172333,,1.0,[940.0],336.02774264953155,120.00405350237598,172.064006026201,37.052459505397586,3.0,"[42.0, 644.0, 1824.0]",63.72549343148313,11.720740814331444,77.97433260683839,10.161652581666495,3.0,"[164.0, 616.0, 1766.0]",2.091778702309243,1.4117363431870131,2.5271486798398852,1.6602980155282574,3.0,"[66.0, 666.0, 1298.0]",1880.9994585535144,42.018273468664106,18.231014066462812,17.41184715854883,13.882136485933188,2.0,"[516.0, 1198.0]",1.5619354858536258,0.8890966716467026,0.6531680071685554,0.6704002128221662,2.0,"[750.0, 1414.0]",0.1594108179060475,0.10256324604915987,0.0586147446924399,0.06572598599653943,2.0,"[616.0, 1216.0]",3.3270050514954757,1.2389064516540762,2.0840766388369745,1.727388235322659,2.0,"[300.0, 1232.0]",0.22806518140599538,0.07596970105323919,0.33191025309796174,0.16386571861913765,3.0,"[464.0, 1032.0, 1514.0]",12.670937322217636,1.0499939911485803,12.208000545646932,0.7482349443917852,2.0,"[630.0, 1498.0]",0.27997752510865087,0.15584349947497705,0.42332455237755223,0.060579946780768903,2.0,"[630.0, 1498.0]",251.41743619098287,25.75268068505713,10.621759196862147,5.0427151009740045,,1.0,[1082.0],0.7026532029242646,0.38124933529350724,0.28985942454902747,0.012418118182513763,2.0,"[432.0, 1350.0]",0.0653509289864499,0.026822592424347147,0.029168947631746902,0.006895696450272234,2.0,"[614.0, 1198.0]",1.9995979072089196,0.8273330493816311,0.898388945881837,0.8361250925051424,2.0,"[450.0, 1214.0]",0.10911893368508899,0.06465624393162817,0.02851064877302955,0.030305644413961722,2.0,"[1014.0, 1516.0]",16.57337336977495,6.6871277684737755,17.21805184307431,9.303960138821832,3.0,"[100.0, 966.0, 1982.0]",1.2683825524351877,1.170060521076788,1.0248487044334649,0.97271057476776,2.0,"[932.0, 1916.0]",1267.3257458465814,76.13329574249285,54.53572383605708,9.253904777758775,5.116345748915184,2.0,"[1116.0, 1834.0]",2.390507343726829,2.15712110109262,0.4344823346046131,2.0,"[832.0, 1698.0]",0.2637467538048466,0.25028738161700115,0.0375995127646263,,1.0,[1864.0],1.1278364498473108,0.9020448473741869,0.2855535468424826,,1.0,[984.0],0.09051104833339205,0.05898000337196681,0.044358915561580795,0.00434709409316096,2.0,"[1132.0, 1898.0]",15,5748.0,96034.85507620568,695.913051288408,0.32512690687239204
2298.0,1,654.0,0.0115306747351117,0.006511911806523609,3,0.003545766833090822,0.003562140702271863,5.303104446239232,0.0194222222106912,,"76    1360.0
Name: time, dtype: float64",1,0.4350930222292264,0.2847987291197607,0.033871302387184526,,,1,343.0292741561998,46.32452270259239,0_2_5_p0,verbranden,combinatie,c0,16.01491218279609,0.03117653437622495,15.33772749369068,0.046113608744288416,15.455779395041224,0.01887834453191329,13.55424972229061,0.06386274759252211,9.5371126120767,1.350842667347028,9.502672784608665,1.3514919774288205,4.0,"[32.0, 684.0, 1148.0, 1868.0]",0.2650616554116724,0.18232013142919448,0.2112411347200427,0.15862478682950615,4.0,"[118.0, 768.0, 1248.0, 1766.0]",277.98259181331395,148.06099731525518,59.35929769281304,154.1704405167007,3.5350869712735373,2.0,"[584.0, 1466.0]",5.916961782740003,2.721482976256896,2.4005619462006957,0.7083493813121581,2.0,"[384.0, 1266.0]",0.5947542826174534,0.2785049990644089,0.3193712238616517,0.10443416566823892,2.0,"[566.0, 1100.0]",5.675787407226901,2.06813134815312,4.222010230515519,2.31670478164911,3.0,"[418.0, 832.0, 1316.0]",0.607452678254301,0.2056414576125415,0.5644513760199711,0.30025627566102203,3.0,"[316.0, 716.0, 1450.0]",171.78976349037987,64.37007030031624,216.50897663371367,71.3103183419136,2.0,"[374.0, 986.0]",84.80161656384884,58.5435603389317,140.57064434477047,,1.0,[438.0],61.03680866628292,35.740312222581174,52.55363584905185,3.406447654943542,2.0,"[8.0, 994.0]",535.3507097496473,161.99754650822197,457.56527990302084,178.82663136288173,2.0,"[374.0, 992.0]",76.82949656437229,11.130332833194396,64.20070781506685,4.263738835671634,3.0,"[232.0, 632.0, 1598.0]",2.9538442626658825,1.575753817609314,2.5173154933400523,1.6682771772397191,4.0,"[534.0, 982.0, 1500.0, 2084.0]",3096.3842806808398,23.052621025876267,5.308345624921467,24.11688105284583,5.507928490095305,3.0,"[652.0, 1052.0, 1534.0]",0.5278291068566371,0.2733427223870677,0.3412578978314653,0.2866382293512051,3.0,"[532.0, 1200.0, 1684.0]",0.06255331414633541,0.026888226491084046,0.03580361406580954,0.00812052750013365,5.0,"[118.0, 668.0, 1100.0, 1566.0, 2068.0]",2.3262582323226315,0.9376690808699475,1.7553667044887151,0.5651656330702269,4.0,"[168.0, 950.0, 1500.0, 2000.0]",0.228306925608042,0.09616350563736545,0.19112895268771424,0.06716037613122573,3.0,"[382.0, 784.0, 2084.0]",12.659335232365555,1.3181220624953844,13.105464691128894,0.5510907102629438,3.0,"[200.0, 716.0, 1866.0]",0.25393369614377176,0.25784262009963965,0.31761215625166117,0.3442381373393433,3.0,"[182.0, 782.0, 2084.0]",265.94136832239917,23.191792117247033,8.222681169834091,29.021841502037766,4.943949677432721,2.0,"[952.0, 1482.0]",0.7463693853735255,0.39409775495770016,0.7197001933526296,0.46923675879255844,2.0,"[818.0, 2034.0]",0.07297131900638582,0.04392073728123088,0.07108400877821114,0.03359547452409736,2.0,"[452.0, 968.0]",1.3355530599855991,0.7824659360150835,1.1392780150179933,0.866500475129071,3.0,"[568.0, 1082.0, 2016.0]",0.12328283146836985,0.07065009586902933,0.14032106518824916,0.04749086129482522,2.0,"[382.0, 918.0]",19.322131057129,9.575549355157523,11.142657097150336,,1.0,[566.0],3.2433150834755446,0.884703112797799,3.1203933966306643,0.9526054529944348,2.0,"[330.0, 914.0]",1726.9106229594,42.48843006460198,9.75565554003645,23.65614920792639,17.96269602194981,2.0,"[230.0, 796.0]",1.4563041058620119,0.5786374882338927,0.32512457275644174,2.0,"[66.0, 980.0]",0.15537850289366026,0.08066099898181675,0.0447643589005994,,1.0,[516.0],0.7564148644555946,0.3640368503415848,1.063697908058939,0.28457189027749397,2.0,"[280.0, 998.0]",0.07060618219001415,0.022299897974559613,0.1367660991017141,0.0569178848669818,2.0,"[116.0, 530.0]",5,2098.0,49576.84540518225,214.0,0.1523330476195166
3882.0,1,1992.0,0.002753975124439457,0.0020864641562970757,7,0.001001916468237815,0.001066597587176685,2.6469424991222845,0.0096769127881513,4.115083371166492e-06,"58     2544.0
883    4194.0
Name: time, dtype: float64",2,0.11130333538167943,0.20574093263101884,0.023304453274882737,,,0,267.82047622608894,39.80976464585905,0_2_6_p0,verbranden,combinatie,c1,18.38682224873094,0.033143076007261046,,0.0,,0.0,,0.0,8.252544354366128,0.9778865297022795,10.354488461815047,2.0420164076119436,4.0,"[282.0, 1184.0, 2116.0, 3850.0]",0.16257159236620292,0.11628269132889542,0.2451151854606065,0.14125421255096657,6.0,"[364.0, 1132.0, 2032.0, 2848.0, 3282.0, 3764.0]",315.54862667186603,99.23733321154971,48.53629506063173,75.46738976379638,28.32065636270503,5.0,"[234.0, 848.0, 1334.0, 1950.0, 3516.0]",4.10283032635047,2.434752226465105,3.942146750139353,1.8953268961668681,5.0,"[50.0, 732.0, 1216.0, 1834.0, 3366.0]",0.44959834737626897,0.2784312390330031,0.4579600741939112,0.36858986697043783,5.0,"[250.0, 864.0, 1364.0, 1982.0, 3532.0]",3.974782615107571,2.265727932936343,4.8211993240494815,3.613961043790894,5.0,"[382.0, 848.0, 1316.0, 2198.0, 3498.0]",0.3887611470927071,0.17688805795373705,0.38691307826011195,0.22712694481280654,5.0,"[282.0, 698.0, 1148.0, 2066.0, 3366.0]",,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],9,3882.0,27419.655416762067,1050.5115613250728,
5014.0,1,2966.0,0.0023661593817140888,0.0011240009640204984,9,0.0008992850201830748,0.0007640187039184355,3.540046132771496,0.01836850096013808,2.3191979161172755e-05,"41      3604.0
340     4202.0
760     5042.0
967     5456.0
1393    6308.0
Name: time, dtype: float64",5,0.11397586246339675,0.15800096333618807,0.02628540357680047,,,1,260.76469941986164,46.47755318597861,0_2_7_p0,verbranden,combinatie,c2,18.712366459915387,0.015690469873459408,,0.0,,0.0,,0.0,7.581691702367665,2.031384553571324,8.309987704269417,1.9454418549675685,5.0,"[332.0, 1100.0, 2198.0, 3650.0, 4734.0]",0.2837978034479326,0.2946251108979424,0.07278924734356187,0.06001626858669553,5.0,"[266.0, 1016.0, 3732.0, 4450.0, 4982.0]",711.0132551558538,108.02625118434878,75.24363784595548,37.004319259586254,10.886961886372609,5.0,"[314.0, 998.0, 1416.0, 3916.0, 4698.0]",4.588891201506396,3.6916571840658667,1.7566110268588897,0.91372801127248,5.0,"[132.0, 882.0, 1566.0, 3766.0, 4898.0]",0.4646826287569009,0.35223568473773603,0.14979217743000578,0.03755625971138124,5.0,"[332.0, 1014.0, 1464.0, 3948.0, 4714.0]",4.810825591705268,3.433498184890015,2.4441628540680234,1.0938652948263459,5.0,"[350.0, 1416.0, 3882.0, 4282.0, 4848.0]",0.4700755989445675,0.26632620275807983,0.1979622091770643,0.0865966078648092,5.0,"[516.0, 1248.0, 4016.0, 4434.0, 4982.0]",,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],8,5014.0,90235.86808852322,2383.454671898611,
2282.0,1,0.0,0.000580610422104343,0.00010367787741784123,7,0.0003130120049382012,0.0001483272666922192,0.4922925618138838,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0_2_8_p0,ik,combinatie,c0,16.32584908651655,0.016506436187899497,,0.0,,0.0,,0.0,9.033014508944762,1.262524372988334,11.217452981485414,2.5543465381952157,3.0,"[66.0, 584.0, 1998.0]",0.18574204929490504,0.25007055850875354,0.6246114411789525,0.4868105484604038,2.0,"[98.0, 1898.0]",211.59725080088938,89.64297170404936,64.3960330253872,194.060905692995,24.086706144606573,2.0,"[432.0, 1968.0]",4.61754861396901,3.304742907899781,8.999055447332927,1.5521280985763057,3.0,"[284.0, 1782.0, 2200.0]",0.46978372016957604,0.3191813212846253,1.076513935547665,0.30725287391474865,2.0,"[466.0, 1984.0]",2.865477942976197,1.9901572070241649,6.272521915587939,0.23717882679334462,2.0,"[468.0, 1950.0]",0.28777752132547446,0.1885122925423376,0.4203700419311738,0.049937922545827365,2.0,"[266.0, 1784.0]",,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],0.0,,,,,0.0,[],,,,0.0,[],,,,,0.0,[],,,,,0.0,[],,,,,0.0,[],3,2282.0,5028.599157289224,,
0.0,0,0.0,0.00090275048974022,0.00021656964256764092,5,0.0003731958284368783,0.00024274134842270764,0.7252702763225661,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0_2_9_p0,kauwen,combinatie,c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,
