TrialID,Body_nComp_80,Body_slope_80,Body_nComp_95,Body_slope_95,Arm_nComp_80,Arm_slope_80,Arm_nComp_95,Arm_slope_95
0_1_0_p0,2,0.22499914947774113,3,0.18870937988085856,2,0.2457333501243114,3,0.19342195583237182
0_1_10_p1,,,,,,,,
0_1_11_p1,,,,,,,,
0_1_12_p1,,,,,,,,
0_1_13_p1,,,,,,,,
0_1_14_p1,,,,,,,,
0_1_15_p1,,,,,,,,
0_1_16_p1,,,,,,,,
0_1_17_p1,,,,,,,,
0_1_18_p0,7,0.07986758180124083,15,0.04496888632567233,5,0.12932520492415944,10,0.07421343959871411
0_1_19_p0,6,0.10006590319706139,13,0.053141309933251224,5,0.09706231400355385,8,0.07020556344928512
0_1_20_p0,4,0.14637503364896576,9,0.06975879373060674,4,0.147459203223727,7,0.0925542399370833
0_1_21_p0,4,0.12948475226651654,9,0.06620002027407722,3,0.12336829263252086,6,0.0759254635940653
0_1_22_p0,3,0.18980852201902473,7,0.08937062967285618,3,0.19727794762670744,5,0.12211801350139274
0_1_23_p0,4,0.15090915745371827,8,0.08185601149433522,4,0.161091048621799,6,0.11344483265323313
0_1_24_p0,6,0.09498810853457074,12,0.05446340933583786,5,0.11087726767766481,9,0.07186061764957634
0_1_25_p0,5,0.10658643676890327,11,0.05569538017183469,3,0.19692200494814002,7,0.09200780624891158
0_1_26_p0,4,0.1280960528850846,8,0.07191210362239245,3,0.22274898370261575,6,0.11817194225379428
0_1_27_p1,5,0.12171597272879968,11,0.06257102014204433,3,0.2056235831677516,7,0.09016911939579449
0_1_28_p1,3,0.1463258268809557,8,0.061054101385087725,3,0.1672612182653634,6,0.08512395229499914
0_1_29_p1,4,0.142721948981285,10,0.06394954577920771,3,0.1809240430459046,7,0.08439067488653657
0_1_2_p0,,,,,,,,
0_1_30_p1,5,0.1058797069487685,9,0.06546082804811049,3,0.17013535613285757,7,0.08355534794550089
0_1_31_p1,5,0.12448466219158895,10,0.0703966165029743,4,0.15348809890160356,7,0.10041307737869715
0_1_32_p1,6,0.0936388543078005,11,0.059148822910764384,5,0.1325889865065708,8,0.09214007949002886
0_1_33_p1,6,0.11740660777543954,13,0.06109770542593021,5,0.09793061096072668,8,0.07242169621024244
0_1_35_p1,5,0.12462937456079043,11,0.06511999846456532,5,0.14228118736028222,8,0.09666606210191131
0_1_36_p0,6,0.10104808255774085,11,0.06224378160522979,5,0.10447096322953416,7,0.08354479389661174
0_1_37_p0,4,0.11190850504527244,9,0.05827922253811103,4,0.13395540163244204,8,0.07494072326119376
0_1_38_p0,5,0.10313187690264186,10,0.060164554776532424,5,0.10976064080228949,8,0.0777779769379758
0_1_39_p0,6,0.09350418658106233,12,0.053095269267012336,5,0.12631232365150463,9,0.07845656258715827
0_1_3_p0,,,,,,,,
0_1_40_p0,4,0.11655382297314121,8,0.06998608117708152,4,0.14616784209855452,7,0.09718161237543445
0_1_41_p0,,,,,,,,
0_1_42_p0,5,0.11504644083739439,8,0.07975807951133433,3,0.14673538748124387,6,0.08431598402075516
0_1_43_p0,4,0.1059959558115754,9,0.057335252969018084,3,0.16169671529965773,6,0.08417298548119907
0_1_44_p0,4,0.09843743515174379,9,0.05618300553463014,3,0.16229532929660773,5,0.10381420460268573
0_1_45_p1,5,0.11620639510100285,11,0.06073251275492279,4,0.133523770873695,8,0.07593012347423092
0_1_46_p1,5,0.08898238395943611,10,0.05161760476335642,5,0.11738544092590951,8,0.08522439965989016
0_1_47_p1,5,0.1066548042779264,10,0.06055806127654187,5,0.1351342024320259,8,0.09057098968456447
0_1_48_p1,6,0.11366404096530398,10,0.07527468627586205,4,0.14758878157473843,7,0.095395116726663
0_1_49_p1,4,0.10838691877094275,8,0.06193894537496974,3,0.11875556490006639,6,0.07577039968101576
0_1_4_p0,,,,,,,,
0_1_50_p1,5,0.11483119889177001,8,0.07945736717212978,3,0.18742847974334928,6,0.10606745433871176
0_1_51_p1,5,0.10560122615336624,9,0.06787731057011354,4,0.13601004360117266,7,0.08852384008856591
0_1_52_p1,5,0.12118754340706116,12,0.05781844117371746,4,0.14836985912896322,8,0.08409805526059766
0_1_53_p1,4,0.14665547388989944,10,0.06476227444861246,4,0.14116402792572794,8,0.0795395666311005
0_1_5_p0,,,,,,,,
0_1_6_p0,,,,,,,,
0_1_7_p0,,,,,,,,
0_1_8_p0,,,,,,,,
0_1_9_p1,,,,,,,,
0_2_0_p0,5,0.13218283706573045,9,0.08016953332576689,4,0.14766613287292873,7,0.09499048823041234
0_2_100_p1,3,0.2073164921333605,6,0.11518790612073068,,,,
0_2_101_p1,4,0.13160365310774502,9,0.06733312304291222,,,,
0_2_102_p1,,,,,,,,
0_2_103_p1,4,0.14538797751010285,8,0.08043659534620799,,,,
0_2_104_p1,3,0.15747776790352025,6,0.08462976910957383,,,,
0_2_105_p1,3,0.2059604945965029,5,0.12155261780368598,,,,
0_2_106_p1,2,0.24111299832347255,5,0.09876657094136879,,,,
0_2_107_p1,3,0.1372980887370071,5,0.09167751572778304,,,,
0_2_108_p1,3,0.15945348817101324,7,0.07691662209100138,,,,
0_2_109_p1,5,0.12086211969498854,10,0.07029948612852584,,,,
0_2_10_p0,6,0.09257329379693889,11,0.05877437286955067,5,0.12433306591360715,8,0.08716024662634088
0_2_110_p1,5,0.12965235170683714,10,0.07084011931170402,,,,
0_2_111_p1,4,0.1422948638821269,8,0.08199532633400199,3,0.1539807259329083,5,0.10330057367892106
0_2_112_p1,5,0.1262073697406512,10,0.07157348068295692,2,0.16036085993973803,3,0.10761231594775322
0_2_113_p1,3,0.1890621386205315,5,0.11619916782447656,,,,
0_2_11_p0,5,0.13075551046202705,11,0.06798883331875735,5,0.11824892789105501,8,0.08361121095599884
0_2_12_p0,6,0.11383139641813464,12,0.06249859871072187,5,0.1132794592463565,9,0.07571753302302789
0_2_13_p0,5,0.1275846471583867,10,0.07151711676543204,4,0.15858218583432115,7,0.1008620365332385
0_2_14_p0,5,0.1359733851173756,9,0.08035126859590384,4,0.16554623245242558,7,0.09546177934523505
0_2_15_p0,5,0.11491277261214533,8,0.08077345629891228,3,0.16009780420713698,6,0.09319478513546278
0_2_16_p0,5,0.09604999058620309,10,0.057715145262397294,5,0.11196320549878949,8,0.08012162856292018
0_2_17_p0,6,0.11362064958649687,11,0.06895804151670293,5,0.1293188690397059,8,0.08993769124345563
0_2_18_p0,6,0.0918346594996168,13,0.04978373906042057,7,0.09753328006745095,10,0.07668605950911572
0_2_19_p1,3,0.14401338423999882,7,0.0691839155798999,3,0.1611246016490389,5,0.1007102384612503
0_2_1_p0,5,0.11666505936872629,11,0.06018383604346148,5,0.12831178140472996,8,0.0923285315543061
0_2_20_p1,5,0.10626063745868039,11,0.05836400768709186,4,0.12449167757606035,7,0.08315263397751897
0_2_21_p1,4,0.11818950225938941,8,0.06560814674329947,3,0.15029426895147163,7,0.07812625553502345
0_2_22_p1,4,0.12963043291672102,10,0.056778439530368,3,0.13939920722992583,6,0.0746431211643727
0_2_23_p1,4,0.12179267557777951,9,0.06430811932600113,4,0.14225673734717315,7,0.09268326465434223
0_2_24_p1,4,0.15378038258509905,9,0.07466921442240199,4,0.16243443656050208,8,0.09224675692535299
0_2_25_p1,4,0.15356545317023343,8,0.0851642009621746,3,0.1832956842027789,6,0.10264450313376257
0_2_26_p1,4,0.16929188742669266,8,0.08883101486343634,3,0.19401260252692656,6,0.10623273413552119
0_2_27_p1,5,0.09920015764635243,10,0.060879354003705005,4,0.1396904151067713,8,0.08039178922108678
0_2_28_p1,5,0.12865020512036945,10,0.07165439820536057,4,0.13672646564546273,7,0.09066975805637685
0_2_29_p1,4,0.1444099879321306,8,0.08021603672734935,,,,
