time,pelvis_tilt_moment,pelvis_list_moment,pelvis_rotation_moment,pelvis_tx_force,pelvis_ty_force,pelvis_tz_force,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_r_moment,knee_angle_r_beta_force,knee_angle_l_moment,knee_angle_l_beta_force,L5_S1_Flex_Ext_moment,L5_S1_Lat_Bending_moment,L5_S1_axial_rotation_moment,Abs_r3_moment,Abs_r2_moment,Abs_r1_moment,Abs_t1_force,Abs_t2_force,ankle_angle_r_moment,ankle_angle_l_moment,L4_L5_Flex_Ext_moment,L4_L5_Lat_Bending_moment,L4_L5_axial_rotation_moment,subtalar_angle_r_moment,subtalar_angle_l_moment,L3_L4_Flex_Ext_moment,L3_L4_Lat_Bending_moment,L3_L4_axial_rotation_moment,mtp_angle_r_moment,mtp_angle_l_moment,L2_L3_Flex_Ext_moment,L2_L3_Lat_Bending_moment,L2_L3_axial_rotation_moment,L1_L2_Flex_Ext_moment,L1_L2_Lat_Bending_moment,L1_L2_axial_rotation_moment,L1_T12_Flex_Ext_moment,L1_T12_Lat_Bending_moment,L1_T12_axial_rotation_moment,neck_flexion_moment,neck_bending_moment,neck_rotation_moment,arm_flex_r_moment,arm_add_r_moment,arm_rot_r_moment,arm_flex_l_moment,arm_add_l_moment,arm_rot_l_moment,elbow_flex_r_moment,elbow_flex_l_moment,pro_sup_r_moment,pro_sup_l_moment,wrist_flex_r_moment,wrist_dev_r_moment,wrist_flex_l_moment,wrist_dev_l_moment,lowerbody_moment_sum,leg_moment_sum,head_moment_sum,arm_moment_sum,pelvis_moment_sum,spine_moment_sum,pelvis_tilt_moment_change,pelvis_list_moment_change,pelvis_rotation_moment_change,hip_flexion_r_moment_change,hip_adduction_r_moment_change,hip_rotation_r_moment_change,hip_flexion_l_moment_change,hip_adduction_l_moment_change,hip_rotation_l_moment_change,knee_angle_r_moment_change,knee_angle_l_moment_change,L5_S1_Flex_Ext_moment_change,L5_S1_Lat_Bending_moment_change,L5_S1_axial_rotation_moment_change,Abs_r3_moment_change,Abs_r2_moment_change,Abs_r1_moment_change,ankle_angle_r_moment_change,ankle_angle_l_moment_change,L4_L5_Flex_Ext_moment_change,L4_L5_Lat_Bending_moment_change,L4_L5_axial_rotation_moment_change,subtalar_angle_r_moment_change,subtalar_angle_l_moment_change,L3_L4_Flex_Ext_moment_change,L3_L4_Lat_Bending_moment_change,L3_L4_axial_rotation_moment_change,mtp_angle_r_moment_change,mtp_angle_l_moment_change,L2_L3_Flex_Ext_moment_change,L2_L3_Lat_Bending_moment_change,L2_L3_axial_rotation_moment_change,L1_L2_Flex_Ext_moment_change,L1_L2_Lat_Bending_moment_change,L1_L2_axial_rotation_moment_change,L1_T12_Flex_Ext_moment_change,L1_T12_Lat_Bending_moment_change,L1_T12_axial_rotation_moment_change,neck_flexion_moment_change,neck_bending_moment_change,neck_rotation_moment_change,arm_flex_r_moment_change,arm_add_r_moment_change,arm_rot_r_moment_change,arm_flex_l_moment_change,arm_add_l_moment_change,arm_rot_l_moment_change,elbow_flex_r_moment_change,elbow_flex_l_moment_change,pro_sup_r_moment_change,pro_sup_l_moment_change,wrist_flex_r_moment_change,wrist_dev_r_moment_change,wrist_flex_l_moment_change,wrist_dev_l_moment_change,lowerbody_moment_sum_change,leg_moment_sum_change,head_moment_sum_change,arm_moment_sum_change,pelvis_moment_sum_change,spine_moment_sum_change,TrialID
0.0,-0.3393498631601317,41.37423509919606,2.9428341845457493,5.978444524388901,605.733557957595,2.3496731139771305,-35.848750436045734,9.23380374723857,0.6218731796764685,-40.516074500437924,-5.448706849990194,1.447291429954249,8.477928900692813,0.004741233297385618,9.545377209140522,0.0055143100816993475,33.084799790143805,-3.572212938101304,-0.630862100571896,0.0007112267843137253,-8.726013398692808e-05,-1.5214960784313754e-05,-0.007171262166666664,0.0008244469738562088,0.20044700765686274,0.17301669231372552,26.073125218702618,-2.1898279106503247,-0.517505024264706,0.01093799361437946,-0.11235604261437908,18.488323275450984,-1.0711428876143778,-0.11596451479085021,-0.020268574771241842,-0.017468718326797385,11.779552879656865,-0.36431562249346233,0.1796949092908493,6.0453776836209165,-0.038550276604573865,0.3045569943529404,0.17919858411764644,0.04347628248039319,0.3033793038725485,-15.221439668274522,-0.2012660373431362,-0.05198783863725486,-6.556259790748367,-0.32876264041176445,1.8911464595196077,-6.708563745398692,0.06849926284967316,1.7324132071666665,0.17618863181045763,-0.17542878658823516,0.050905514013071904,-0.013113493967320256,0.11024774280392162,0.200602574627451,0.18692054522549012,0.07296094525490193,69.02695762436802,12.769978927496155,15.222859006378373,9.738432985857965,41.48014900420327,48.0760058046974,0.009221773110663654,0.8556791399376906,-0.06078945313263671,0.010501680047377645,0.0464575342023857,0.1194374849921287,0.021572014681424345,0.09888872577767341,0.011238784097797614,-0.0229447911467934,0.027609781557622195,0.36884567416355285,0.041609555178565454,0.03273192191620664,6.509854253589452e-06,1.0572329257131057e-06,7.194594246333237e-07,0.002796485649507985,0.00032876939482468534,0.2828878517014888,0.0491280065462725,0.03496190480890002,-0.006318817962860638,0.001996644924806559,0.18875584037424353,0.05679721848031239,0.03414798616849263,-3.526465410868777e-06,1.0866247057146173e-05,0.10377988632675784,0.06227578637416777,0.032408502464801495,0.024791355303805666,0.06535382428972734,0.030796362530883116,0.04839727336779137,0.06741535300159762,0.02857105639832816,0.5521833737342741,0.05293948849885527,0.0007659804210867977,0.015680560645486077,0.009712867226309534,0.001026057920975996,0.009433245001714198,0.0029611957849526136,0.002432981940224107,0.0008794154092135089,0.0022817610912169613,0.00021265864592827393,0.0005121676608300714,-3.8164738581941106e-05,0.00019891805067264256,0.0009077336275018914,0.0002005431528224625,0.7847998806339606,-0.027173774358309474,0.551640495255204,0.01753280752169601,0.858760312025319,0.5026477556404936,0_2_97_p1
16.537,-0.2634360761783387,39.200517436212884,2.9380361668846864,5.354558659080774,615.0212345724971,2.627891389761441,-35.53082630147292,8.412621001937449,0.29298064999159595,-40.45288237405837,-5.220850422889355,1.4279584702203556,8.550450657716624,0.004628395895424836,9.475475881150329,0.005488465662931843,34.04188818933148,-3.467848789333799,-0.751510343380019,0.0007278549565826331,-8.394240989729226e-05,-1.7465086834733905e-05,-0.00733262582212885,0.0008396565256769373,0.20913229454761909,0.1724399035112045,26.810370282112984,-2.0649424695088694,-0.6451259209033613,0.0086318478230628,-0.1089267476003735,18.982590757194686,-0.9257172590499527,-0.24123296101634,-0.020667113643790862,-0.01749562888702148,12.05397705291317,-0.2045105927175527,0.059989607133986975,6.126619274286183,0.12910744055228812,0.1903060031764703,0.05971512063025189,0.2159058211988798,0.19695400641456579,-16.610687344577038,-0.05090875154481744,-0.0502196706330532,-6.598102615237163,-0.3011136630588234,1.8928392123767506,-6.736220670930907,0.06259251302474322,1.7377360070406163,0.17860442391830073,-0.1861086140672268,0.05135794885901028,-0.011464706327264242,0.10990999429551827,0.2014413338501401,0.18423998001540615,0.07192971937254902,67.41225190349446,12.766372272748182,16.610841272361675,9.786207801339092,39.31134724670454,49.38817701376542,0.06701060012508006,1.2766088835076594,0.0601300055425062,0.11324509172232194,0.7133146106443726,0.18348234199326138,0.032546453906386795,0.1361348067136851,0.007984113514226692,0.08118429562960902,0.03939818436084326,0.5421829811236096,0.05940904866959938,0.07355278908405602,9.426304996053957e-06,2.083646298770091e-06,1.294286692981258e-06,0.005443681589481933,0.0002629791729896256,0.4175662168086181,0.06929809420073817,0.07766194187437593,0.007478319635005488,0.0016925413383403656,0.27925273075718493,0.07956690015198838,0.07654689250975386,0.00016598730873574645,1.652675975783156e-05,0.15397358164552688,0.08683975788238142,0.07346753361752992,0.046864038156255276,0.09100451930554876,0.07031848627977258,0.06964207571636155,0.09385058367411028,0.06565916459325868,0.7845394811014941,0.08716112538617879,0.0009124335568483445,0.024115471183013614,0.017635071250311735,0.0004285869477032127,0.016898289830908228,0.0017394306340487438,0.0028650159814417346,0.000533998914828981,0.007369433330288204,0.0001409236601333487,0.00100259772659715,0.000378033521821966,0.0005418444308957238,0.0015828826596479511,0.0007265777306184125,0.7990185503374253,0.024791245483423482,0.7843639658728726,0.028084516181063397,1.268348573099236,0.7446728564345033,0_2_97_p1
33.203,-0.1731918377965242,37.319398596098154,3.014808527247756,4.389036927780944,623.0315227768582,2.715049561018172,-35.511143658216085,7.382519241433786,0.026833212709761134,-40.406069222309284,-5.0163026560777855,1.4138128639910947,8.686763180759073,0.004632021786396611,9.417259270236197,0.005471963837355459,34.83551671513896,-3.381252004106478,-0.8574015647315595,0.0007416665435251025,-8.097606643683118e-05,-1.934757713854773e-05,-0.007467893903900021,0.000850504006823242,0.21700390421633273,0.1719931647393881,27.42164648103294,-1.9639039376719816,-0.7570304833823527,-0.0029204739050131545,-0.10610844446796672,19.39169163878163,-0.8096275510904618,-0.35192909213894263,-0.020733630096064076,-0.01751973450488401,12.279990523738965,-0.07761306218964975,-0.04663505243991922,6.19181170760605,0.26224369661132657,0.08798304338493862,-0.042311364739818946,0.35328916364393426,0.10117408536252986,-17.76324307356217,0.0743435610553761,-0.0488129889394527,-6.6333032255463635,-0.2755712351273432,1.8937820972135315,-6.760481281782018,0.059334549434999675,1.7421176380635643,0.17868440049177625,-0.19782413160762763,0.05159995859936797,-0.010020066609531001,0.10916972880909294,0.20225290736662363,0.18196044524165053,0.07090530138935576,66.16050786442628,12.81532545805055,17.763465713745557,9.827026525223468,37.441375207690996,50.48002815920193,0.09298279636025295,1.4424440028613086,0.13042247987977965,0.2296001967084231,1.0889995890974395,0.20893197707302386,0.0364388005953115,0.14994389628673138,0.006231472438166825,0.1563009662234384,0.04421479854291832,0.607703321052312,0.06474645216846847,0.0938157809055751,1.0493803747941618e-05,2.5147223062268245e-06,1.570163709355655e-06,0.006652243114098188,0.00021802196051624116,0.46910132886782724,0.07577803271992795,0.09883987841286151,0.01652714079677496,0.0015110749301828542,0.31452555710593394,0.08722173590620114,0.09788757385733635,0.00030038427627464693,1.8192829239870158e-05,0.17434120366628753,0.09532542772556224,0.09445085790307096,0.055637453570986026,0.09997348929866512,0.09073797973886695,0.07626900006307799,0.10307763436212197,0.08502578308768811,0.8669762750657963,0.1005518579362274,0.0009874564456428773,0.027433082331047406,0.020931342522961204,0.0002748297448793164,0.019943711086123174,0.0015216619451523007,0.0029698887740124275,0.0010558722030221785,0.010823059163178612,0.00012973460730055097,0.0012310783129612347,0.0007561153455035358,0.0007406462383119328,0.0018696774970290257,0.0009903418579940528,0.7720214436305275,0.06885703939992775,0.8670674783230212,0.03226433565043411,1.427276370849047,0.8385226926304092,0_2_97_p1
49.869,-0.07596374094706626,35.737179805394106,3.1536214682908152,3.184089626158087,629.7699507035192,2.6508751081671322,-35.73965068201933,6.215352378595855,-0.18214331772333447,-40.37354176864592,-4.838791977353373,1.4048355842101568,8.873385005383255,0.004730437922286866,9.370032393037139,0.005463312284708761,35.47367212627036,-3.3122703013924446,-0.9493663488824249,0.0007527804290023704,-7.839364634058757e-05,-2.0905037276449038e-05,-0.007577941019823314,0.0008575235525389644,0.22397503275651806,0.17168113332105156,27.913350774381538,-1.885314632272643,-0.8540751518713636,-0.02166788699468501,-0.10390709653666601,19.72039306883927,-0.720485753559937,-0.44869338404603876,-0.020528012624793517,-0.017540369711556425,12.460919013906496,0.01934129004172963,-0.1406264928873801,6.242988740238386,0.3640003676949648,-0.002754076480930623,-0.12616245594052977,0.4586781708864464,0.015737937903469557,-18.688196050192204,0.17574641985412615,-0.04770663059642319,-6.6620605752870805,-0.25274213813316104,1.893999425990735,-6.781183883628245,0.05869228323931629,1.7455763336442582,0.17670497199217128,-0.21025416479767292,0.051650878123536616,-0.008776577669826919,0.10809126355806946,0.20302869206227112,0.18006661283107092,0.06991504783624222,65.25713660062557,12.908345126669019,18.68908329311831,9.860907294950225,35.87613579105575,51.36083912499678,0.09734896202905324,1.4298449869364525,0.1634396832867874,0.34579870097815363,1.2459998462273996,0.20614960668303073,0.035051245860963386,0.1482151192111609,0.005849397919704378,0.20617598637597115,0.04392701862208434,0.5964675556325229,0.06176903810367714,0.0986408621206793,1.0258152620216614e-05,2.5271696966605937e-06,1.6221317244117177e-06,0.006822724900343784,0.0001982009206632049,0.4612357103095811,0.07274930980821676,0.10383848584914598,0.02178190190871046,0.0014316114907640181,0.3100668265433928,0.08410255932486536,0.10332950241445049,0.0004012881919966543,1.736957329136344e-05,0.17287992638433014,0.09219850865422466,0.100219461377934,0.05497696415396913,0.09684679169323941,0.09664737210326091,0.07330889755850836,0.09985783896476777,0.09092269602318204,0.844602803508279,0.0991277582544931,0.0010094801002360734,0.027097007182389898,0.021025113112879933,0.0004536078920053491,0.019885449402087634,0.002126600896145389,0.0028569827753216932,0.00214893748985044,0.012905275107704879,0.00016434555660047804,0.0012661577705429215,0.0010846516544265265,0.0008261303106069018,0.0018762042114581342,0.0010615192182792848,0.7207942735968302,0.10426643977364791,0.8448804622232661,0.03193693396415046,1.4110708581105036,0.8261992235221228,0_2_97_p1
66.535,0.020901621437656948,34.460162290642984,3.3349451926697213,1.8419270498808817,635.2420464853205,2.4750955116281315,-36.16629554862675,4.9829743262919335,-0.3395231268619896,-40.35320673652353,-4.692046814514007,1.401007603821232,9.09683466715227,0.004901971255081523,9.333100266192172,0.005461018684730308,35.96434118142981,-3.2607514001648,-1.0282352800885226,0.0007613154968756737,-7.622769234360416e-05,-2.2180072829131646e-05,-0.007663641777741868,0.0008612492980679451,0.22995887626168937,0.17150846657897012,28.29188012107784,-1.8277768704438349,-0.9371163665400772,-0.045559306870789365,-0.10232866712597866,19.973462195995058,-0.6559038562824109,-0.5321663126250088,-0.020110149726711206,-0.017556869038210163,12.60008824518801,0.08931678492806866,-0.22243213766490644,6.282184128841058,0.4375193299256262,-0.08224754788041344,-0.19111973691984452,0.5351247039973059,-0.05965603877558667,-19.39463546942944,0.2545553442481143,-0.0468394326439345,-6.684573618070425,-0.23323315359211388,1.8935155106691446,-6.798166782145806,0.060632625596566896,1.7481303271914466,0.1729425488807729,-0.22307753922559798,0.05153004232090788,-0.0077312423638583785,0.10673891575587166,0.20376008482245214,0.17854315471051505,0.06898631524412846,64.68331116872639,13.03664084746289,19.396362477222013,9.88786967307241,34.62116522321775,52.04071281057705,0.08891521738483602,1.3051630498751456,0.17087661589230882,0.4505009614866647,1.2482401567132708,0.18426818249269633,0.030040856120679523,0.13768598663548717,0.006686816191336601,0.23443876905996838,0.040180306685480685,0.5355921900188881,0.0540625781713728,0.09257019158114407,9.194226247352247e-06,2.2750688814391804e-06,1.5171499041816954e-06,0.006305811200831322,0.00020606068823516888,0.4147172266510215,0.06385755395263566,0.09739719560914939,0.0241029506155021,0.0014344908505464155,0.27944214592445205,0.07401882641020599,0.09745356796833979,0.0004706639948768397,1.5336644418053577e-05,0.1566290293138431,0.08139299163153235,0.09509340166733572,0.048254707473957784,0.08566977661760891,0.09213083771965352,0.06507197642000925,0.08838912719540779,0.0871319602620319,0.7565917431094442,0.08814522279444609,0.0009945508725243343,0.024390342791581948,0.019154681992962767,0.0008657528585069331,0.017870645497651307,0.0033855996947840064,0.002620338703891877,0.0035547958190911685,0.013860202389708191,0.0002313680491857615,0.0011682458297824327,0.0013547665120127405,0.0008260473400567161,0.0016970614650321399,0.0010014502979206557,0.6596007011140758,0.1305771021639802,0.7569934307009215,0.02873152374128636,1.2850938959629943,0.744429960142617,0_2_97_p1
83.201,0.11005765642526744,33.494647278387006,3.5392499030403317,0.46475949461800603,639.453338255103,2.2274382518209777,-36.74102643378243,3.7572389973902958,-0.4508804002605029,-40.342970849397375,-4.5797955953575755,1.402309895768011,9.343630701629216,0.005124948736766505,9.305767906340309,0.005463590717158664,36.31551063932143,-3.2265430193966465,-1.0948389426057603,0.000767390631006249,-7.451074718092372e-05,-2.321528937728937e-05,-0.007725870785498817,0.0008622153786540257,0.23486863082536102,0.17147982183591906,28.563631480040886,-1.7898929693185388,-1.0070105675581766,-0.07254364895816283,-0.10137911955541197,20.155666168876444,-0.6134938490819153,-0.6029883537632333,-0.01953992989854917,-0.017568567016016674,12.700823939355754,0.13527774342085036,-0.292499410229009,6.311431630071935,0.4859424594257339,-0.15083956227278583,-0.23646479162572692,0.585680624047403,-0.12530944748760992,-19.89165052623616,0.3120258536340226,-0.046150232121956486,-6.7010413075075075,-0.2176510630200389,1.8923546632095456,-6.8112682830109215,0.0651224876656253,1.749797852113877,0.16767354161886813,-0.23597308047963808,0.05125678608087341,-0.006881063547331767,0.10517700261592337,0.2044384825325362,0.1773747428068305,0.06814646014393454,64.41389025659426,13.190938553606792,19.894151166490424,9.907935062322503,33.68129746413381,52.53035056432306,0.07508320272144031,1.1244401310236851,0.16277156454629907,0.534795986171786,1.1510826932472786,0.1511903913892348,0.022919573096369175,0.12393239614238862,0.008573042667971618,0.24457737447967556,0.034398192389149033,0.4482493728378361,0.044651343335345865,0.07956812225060508,7.70597178733096e-06,1.8898719347208546e-06,1.3140953300748824e-06,0.00540231584379897,0.0002423873695827643,0.3472990864959674,0.05221253442287195,0.08365209911992272,0.024256725820267395,0.0015010268800251683,0.23429022183598988,0.06024861558475843,0.08426207789028095,0.0005108178080745233,1.3148229843323429e-05,0.13166989748791255,0.06631114583329836,0.08285180796520034,0.03834959606248724,0.06994708690428518,0.08076419608634833,0.055147801931726095,0.07230602458162716,0.07696590538725515,0.6361793993491984,0.07210097235753489,0.0009563304535347856,0.02041567017490281,0.016373215040377392,0.001424106003734271,0.014877640175785056,0.00514265157869805,0.0023386555393821594,0.0050527470622418365,0.013913446943054221,0.0003187710981910673,0.0009896136009396156,0.0015601371231420249,0.000765091873527914,0.0014133605101317522,0.0008631323864813577,0.5999823348541857,0.14766150530727218,0.6366579803930015,0.024041862185647286,1.1045420537295403,0.6246679652639262,0_2_97_p1
99.867,0.18415777108338705,32.84693599516841,3.7470058020585033,-0.8452027439618632,642.4093541457071,1.9476308091654804,-37.413791513230464,2.6100003047592164,-0.5217893234731728,-40.340740830722694,-4.5057667476819665,1.4087234329941833,9.600291644377187,0.005377697319327734,9.287340330120564,0.005469536061732391,36.535167258649345,-3.2094928780610865,-1.1500079206900455,0.0007711247152553334,-7.327535358758894e-05,-2.405329250161603e-05,-0.007765502650937301,0.0008609559295410472,0.2386174925410473,0.17159985641467365,28.735001810189743,-1.770265246029736,-1.0646141950953456,-0.10056982868164198,-0.10106441714447323,20.271772136110876,-0.5908677217824827,-0.6617999833480931,-0.018877241637039438,-0.01757479817614739,12.766451818181977,0.16018848647155798,-0.3512757340361986,6.332765000588886,0.5124116323177114,-0.2088723111173238,-0.26147920400614066,0.6133977921076272,-0.1815238910455716,-20.18833041557467,0.3494134674085324,-0.04557786607045897,-6.71166259720944,-0.20660264793277322,1.8905411955727216,-6.82032669189981,0.07212878060536529,1.7505971418202984,0.16117436066774413,-0.24861961414802852,0.05085044429282486,-0.006223044075953471,0.10346984135164844,0.20505528207789278,0.17654604904686497,0.06742283906658052,64.4168699828479,13.361399746654701,20.19140540134587,9.921127757857466,33.06047747441045,52.840895737021086,0.06185007837318928,0.933408894932608,0.14750610281988882,0.5922014339540261,1.0013270265348528,0.11358865547766,0.01505421381451378,0.11136863174870866,0.011317781946928437,0.23993851007082292,0.027782272958033493,0.35366689618757796,0.03599810382702968,0.06302120120455812,6.126408921644318e-06,1.4804025934543792e-06,1.063762998877622e-06,0.004363182233110467,0.0003062085426026014,0.27373984153491465,0.04038816127126916,0.06613594780964786,0.022915757684551286,0.001613507489727964,0.18432286059687247,0.045538627691368246,0.06717875713558381,0.0005243969389332747,1.1633051508196556e-05,0.10312602145852263,0.04982351864798502,0.06673288103415918,0.027647317413874665,0.052642658089954136,0.06561491185325319,0.04640529644459324,0.05467965246523625,0.06326713370259505,0.5106657065068516,0.054732052093186406,0.0009060958734252764,0.01609505431037016,0.013548745036564329,0.0020535185769621467,0.011715974323580867,0.007254390815391313,0.0020752905225885606,0.006459789918519974,0.013272099409633127,0.00041588118873309556,0.0007743935740939449,0.001696993834152271,0.0006649023124774868,0.0010927251894215235,0.0006912195766412281,0.5507587312832611,0.15570695111682314,0.5111867914462176,0.019026251085770284,0.9144466089768003,0.49309185339714656,0_2_97_p1
116.533,0.23585537247963956,32.523329667529595,3.9386830923801126,-1.9857493701900584,644.1156222899765,1.675400664081457,-38.13453896271515,1.6131121612669754,-0.557824082054302,-40.34442340395498,-4.473688699285092,1.4202291884434468,9.85333603095933,0.005638543954751162,9.277122554171996,0.005477362398190076,36.631297798117856,-3.209448695131239,-1.1945727985972918,0.0007726366334841672,-7.255405429864293e-05,-2.473668778280557e-05,-0.007783411981900496,0.0008580050859728554,0.2411186575022638,0.17187322763801,28.8123880704436,-1.767496017710417,-1.1107836893212732,-0.12758676146606407,-0.10139052321267022,20.326547246325905,-0.5856374642081479,-0.7092416772669724,-0.01818197343891413,-0.017574897049773854,12.800297603438986,0.16701333503167526,-0.3992085325429887,6.348217997049809,0.5200687247239849,-0.25668798587330466,-0.2654445580090514,0.6213280692488724,-0.22860097226244477,-20.293764332407356,0.367973704968328,-0.04506117152941202,-6.716636440787368,-0.20069468984615493,1.8880994197194676,-6.825180314488725,0.08161841557466107,1.7505464297194668,0.15372141648868864,-0.260695965819006,0.05033035184615413,-0.005754186805429894,0.10168174917647116,0.20560188034389254,0.17604174535746703,0.0668428085429868,64.65443238243867,13.53763165614286,20.29715019247817,9.92747663973995,32.76180435998206,52.98382328309076,0.05380852471489036,0.7674927313566928,0.13180509100538454,0.6186636147365722,0.8372101252946312,0.0769051320807857,0.007666470606166898,0.10324736390545539,0.01471112780793695,0.22372753050062508,0.02131221318598055,0.2671281956381084,0.030004129145500633,0.04573816963035896,4.717629855293018e-06,1.1328562573790094e-06,8.088658227533011e-07,0.0033894833482551226,0.00039479325673726974,0.20580338654503608,0.030422485332826956,0.04777815310763762,0.02065866762832614,0.0017551946302150543,0.13732496825795423,0.03210418599319149,0.049048748243591365,0.0005143898789809129,1.1394366071337192e-05,0.07516299729655535,0.03426893567670395,0.04943389320555132,0.01804033398521932,0.0361797184154761,0.04924209482188057,0.04099273937633388,0.03801772800227039,0.04840852023252075,0.40141422766111773,0.03901583149880565,0.0008527395014843801,0.012170044137740072,0.011364171667236965,0.0026908517173899254,0.009026388912251807,0.009590092702241478,0.0018782591554439387,0.007630621914863188,0.012124735139359577,0.0005133822779105808,0.0005585796191445204,0.0017641201328394153,0.000544060912952877,0.0007892919358498536,0.0005220227641967506,0.5180273946615823,0.1552155646828839,0.40195362751698094,0.014607536814923952,0.7496735475150661,0.3706057907924367,0_2_97_p1
133.199,0.2524166306425356,32.510128010525065,4.067375563031698,-2.68561002188237,644.8608761143203,1.4985540889411841,-38.78365839710429,0.9384119504796409,-0.5831075517737592,-40.34938449162918,-4.490717199049799,1.4369565702443519,10.075109099348474,0.005854515610859761,9.270851719574711,0.005483741475113152,36.64732310148437,-3.22152247910409,-1.2336268240995545,0.000772613085972855,-7.228633484162935e-05,-2.5441475113122316e-05,-0.007786266823529455,0.0008542629773755704,0.24238368085068007,0.17231288762896022,28.82977271165627,-1.773455393076933,-1.1510205880362057,-0.14844776056108683,-0.10240030497737612,20.343737567638122,-0.5869878466787362,-0.7504473229049815,-0.01761893485067883,-0.017568117891402814,12.816905955819076,0.16815973661538564,-0.4409664260452514,6.364242758108633,0.5218557162352971,-0.2986302137285085,-0.25025626581900606,0.6222675590678769,-0.27058482366515996,-20.263132953330427,0.3764498563438936,-0.04430784567420839,-6.717685570561123,-0.20054619717647165,1.8849811817194673,-6.826447628045287,0.09346707625339416,1.7497194844434485,0.14564047656108678,-0.27214340281448113,0.04973813233484191,-0.005414439891402743,0.09988652389140326,0.20610011888687896,0.1757366276561096,0.06642555204524925,65.0323971990565,13.6958927825161,20.26667794099159,9.92858703520263,32.76454915586203,53.02085883689217,0.0541467421618347,0.6518057552549599,0.12073667611626851,0.6125574894052896,0.6884063562584563,0.04535171373922553,0.0018329111069542957,0.10165964949780201,0.018523563213137924,0.19900843766778128,0.015745745435738975,0.19997235023120297,0.028009188057478145,0.029949962827223654,3.6707993167869107e-06,9.107999890244891e-07,5.840346292423546e-07,0.002632421744347817,0.000503652032975338,0.15225895939018153,0.0238176982252013,0.030904786444335502,0.017970168329991758,0.0019103242920792541,0.09915455060207701,0.021629236173694395,0.0321386113376797,0.00048412630392950573,1.2809964909050332e-05,0.050988526591790664,0.021454500733215996,0.03311118837942291,0.010927883196402425,0.022440788825885447,0.033696499945347104,0.04033776721145996,0.024264564162989943,0.034293212722227434,0.3238521546901145,0.027170004419776017,0.0008027690461313939,0.009201672558506999,0.010317261522381528,0.003284976454141548,0.007280824997132139,0.012031673566500135,0.0017802352010179872,0.00845763940592914,0.010641414190172695,0.0006033157948042917,0.00037002698581006734,0.0017628526484574376,0.0004180937855919835,0.0005437097726489835,0.00038350964806105017,0.5051637770436093,0.14700429427265665,0.32439333577140117,0.011473110331108503,0.6349235633982676,0.27283949543901564,0_2_97_p1
149.865,0.21856674331221868,33.071260624280725,4.13416318614482,-2.907302768217213,643.4631429093067,1.3860995484615453,-39.414669492597504,0.6605739306968341,-0.5518219259095055,-40.364579988850906,-4.584648006054324,1.4609679586787412,10.256744699981956,0.006040439221719492,9.27889113288693,0.005491972796380121,36.461883336887084,-3.2615140691764886,-1.2523309964977445,0.0007689568506787373,-7.294490497737597e-05,-2.5865963800905123e-05,-0.007753125248868822,0.0008484629773755703,0.24129162908597418,0.1729818019457023,28.693831705004683,-1.8059437803710505,-1.1695502065520427,-0.16358739662443533,-0.10446190128506845,20.261086676624547,-0.6147977666877862,-0.7697790892669727,-0.017124780099547605,-0.017550982805429962,12.782139593701428,0.1423031792941185,-0.4614727149230795,6.371355238796415,0.4956782159185549,-0.3202238125248887,-0.19978595780090624,0.5936513227058857,-0.29394700436199267,-19.9203786504526,0.35346551485068084,-0.04364242938461563,-6.709413937113159,-0.2096129614751142,1.8811147166153952,-6.820407335348454,0.10839178885972908,1.7475710559728606,0.13705050087782883,-0.28117564322172106,0.04902655215384643,-0.005431413683257948,0.09820569429864309,0.20641115860633602,0.1759953891312227,0.06631750656108634,65.70812076835429,13.835622500480468,19.92356213404719,9.918183964038956,33.329376771101764,52.78408491390074,0.06464845116979781,0.6011528067906691,0.117712291887198,0.574686669828723,0.5760274841713775,0.02191002821139243,-0.0015150217429260836,0.10753493184508658,0.022505960307083014,0.16870388070247536,0.011618669638959963,0.15959408248042212,0.03079154859732451,0.01730971020622838,3.1061545581449304e-06,8.551725137110547e-07,4.1581816126226334e-07,0.002193329552128988,0.0006265368638513538,0.11888114102087832,0.021540132348704225,0.017238579251316215,0.015241063726375332,0.0020641065059459453,0.07374271314407091,0.015266346336653622,0.01813632412525818,0.00043727707367537084,1.6032174115281544e-05,0.03285241645290626,0.012655595843931416,0.019380182024527674,0.007215977430087121,0.012767682970391221,0.020520527328374033,0.04514737350127267,0.014801069731880591,0.022354631637635985,0.287470308271364,0.0206525890494592,0.000760307554916339,0.0075704564359038475,0.010720648096257064,0.003796773706265541,0.006782423717677217,0.014473690765292754,0.0017985506835172362,0.008870937574095567,0.008973681328036134,0.0006790806404770307,0.00022845230362893826,0.0016970811517183625,0.00029947089562315456,0.000383140313335001,0.00029530473026390293,0.5128212782779805,0.13220491133029538,0.2880018468852863,0.010074907177055724,0.5847320589239651,0.21014823706516544,0_2_97_p1
