time_ms,confidence_movement,smoothed_confidence,anno_values
0,0.0,0.0,no movement
1,0.0,0.000512492817023,no movement
2,0.0,0.0010182423075063,no movement
3,0.0,0.0015173806935389,no movement
4,0.0,0.0020100367628697,no movement
5,0.0,0.002496335979693,no movement
6,0.0,0.0029764005911724,no movement
7,0.0,0.0034503497298942,no movement
8,0.0,0.0039182995124295,no movement
9,0.0,0.0043803631341783,no movement
10,0.0,0.0048366509606552,no movement
11,0.0,0.0052872706153747,no movement
12,0.0,0.0057323270644803,no movement
13,0.0,0.0061719226982595,no movement
14,0.0,0.0066061574096755,no movement
15,0.0,0.007035128670044,no movement
16,0.0,0.0074589316019744,no movement
17,0.0,0.00787765904969,no movement
18,0.0,0.0082914016468376,no movement
19,0.0,0.0087101848960661,no movement
20,0.0,0.0091240412835389,no movement
21,0.0,0.0095330572454273,no movement
22,0.0,0.0099373172077589,no movement
23,0.0,0.0103508819929639,no movement
24,0.0,0.0107596931599482,no movement
25,0.0,0.0111638321993098,no movement
26,0.0,0.0115633787495878,no movement
27,0.0,0.0119584106495801,no movement
28,0.0,0.0123490039888984,no movement
29,0.0,0.0127352331568276,no movement
30,0.0,0.0131171708895576,no movement
31,0.0,0.0134948883158487,no movement
32,0.0,0.0138684550011914,no movement
33,0.0,0.0142379389905195,no movement
34,0.0,0.0146034068495288,no movement
35,0.0,0.0149649237046569,no movement
36,0.0,0.0153225532817729,no movement
37,0.0,0.0156763579436256,no movement
38,0.0,0.0160263987260969,no movement
39,0.0,0.016372735373304,no movement
40,0.0,0.0167154263715931,no movement
41,0.0,0.0170545289824655,no movement
42,0.0,0.0173900992744747,no movement
43,0.0,0.0177230016511882,no movement
44,0.0,0.0180524720446365,no movement
45,0.0,0.0183785632545624,no movement
46,0.0,0.0187013270031624,no movement
47,0.0,0.0190281821078056,no movement
48,0.0,0.0193517356457353,no movement
49,0.0,0.0196720373893138,no movement
50,0.0,0.0199891361154567,no movement
51,0.0,0.0203030796303941,no movement
52,0.0,0.0206139147936984,no movement
53,0.0,0.0209216875416008,no movement
54,0.0,0.0212264429096217,no movement
55,0.0,0.02152822505454,no movement
56,0.0,0.0218270772757213,no movement
57,0.0,0.0221230420358283,no movement
58,0.0,0.0224161609809343,no movement
59,0.0,0.0227064749600584,no movement
60,0.0,0.0229940240441433,no movement
61,0.0,0.0232788475444927,no movement
62,0.0,0.0235609840306879,no movement
63,0.0,0.0238404713479987,no movement
64,0.0,0.0241173466343065,no movement
65,0.0,0.0243916463365557,no movement
66,0.0,0.0246634062267469,no movement
67,0.0,0.0249289206839315,no movement
68,0.0,0.0251919992286649,no movement
69,0.0,0.0254526752296107,no movement
70,0.0,0.0257109814487298,no movement
71,0.0,0.0259682092638547,no movement
72,0.0,0.0262231197112758,no movement
73,0.0,0.0264757439663433,no movement
74,0.0,0.0267261126477049,no movement
75,0.0,0.0269742558296766,no movement
76,0.0,0.0272202030542857,no movement
77,0.0,0.0274639833429952,no movement
78,0.0,0.0277056252081195,no movement
79,0.0,0.0279451566639414,no movement
80,0.0,0.0281826052375388,no movement
81,0.0,0.0284179979793301,no movement
82,0.0,0.0286513614733474,no movement
83,0.0,0.0288827218472443,no movement
84,0.0,0.0291121047820482,no movement
85,0.0,0.0293395355216622,no movement
86,0.0,0.0295650388821269,no movement
87,0.0,0.0297886392606468,no movement
88,0.0,0.0300103606443892,no movement
89,0.0,0.0302302266190626,no movement
90,0.0,0.0304482603772804,no movement
91,0.0,0.0306618752840583,no movement
92,0.0,0.0308737247783834,no movement
93,0.0,0.0310838306554713,no movement
94,0.0,0.0312922143532388,no movement
95,0.0,0.0314976496201176,no movement
96,0.0,0.0317014146815746,no movement
97,0.0,0.0319035298235056,no movement
98,0.0,0.0321040150046146,no movement
99,0.0,0.0323028898629837,no movement
100,0.0,0.0325001737224859,no movement
101,0.0,0.0326958855990439,no movement
102,0.0,0.0328900442067403,no movement
103,0.0,0.0330826679637829,no movement
104,0.0,0.0332737749983292,no movement
105,0.0,0.0334633831541731,no movement
106,0.0,0.0336515099962995,no movement
107,0.0,0.0338381728163082,no movement
108,0.0,0.0340233886377122,no movement
109,0.0,0.0342071742211131,no movement
110,0.0,0.034389546069257,no movement
111,0.0,0.0345705204319745,no movement
112,0.0,0.0347501133110072,no movement
113,0.0,0.034928340464724,no movement
114,0.0,0.0351052174127309,no movement
115,0.0,0.035277873701576,no movement
116,0.0,0.0354492318228358,no movement
117,0.0,0.035619306362663,no movement
118,0.0,0.0357881116895064,no movement
119,0.0,0.03595108569571,no movement
120,0.0,0.0361128524870528,no movement
121,0.0,0.036273425427537,no movement
122,0.0,0.0364328176846353,no movement
123,0.0,0.0365910422328904,no movement
124,0.0,0.0367481118574356,no movement
125,0.0,0.0369040391574387,no movement
126,0.0,0.0370588365494707,no movement
127,0.0,0.0372125162708022,no movement
128,0.0,0.0373650903826276,no movement
129,0.0,0.0375165707732213,no movement
130,0.0,0.0376669691610251,no movement
131,0.0,0.0378162970976701,no movement
132,0.0,0.0379645659709347,no movement
133,0.0,0.0381117870076391,no movement
134,0.0,0.0382579712764794,no movement
135,0.0,0.0384031296908014,no movement
136,0.0,0.0385472730113171,no movement
137,0.0,0.038690411848763,no movement
138,0.0,0.0388325566665043,no movement
139,0.0,0.0389711566507676,no movement
140,0.0,0.0391088007730704,no movement
141,0.0,0.0392454988876598,no movement
142,0.0,0.0393812607137931,no movement
143,0.0,0.0395132142360029,no movement
144,0.0,0.0396442701152044,no movement
145,0.0,0.0397744374799707,no movement
146,0.0,0.0399037253355155,no movement
147,0.0,0.0400321425657705,no movement
148,0.0,0.0401596979354198,no movement
149,0.0,0.0402864000918942,no movement
150,0.0773864153704845,0.0404122575673253,no movement
151,0.0773864153704845,0.0406724030430628,no movement
152,0.0773864153704845,0.0409325485188004,no movement
153,0.0773864153704845,0.0411926939945379,no movement
154,0.0773864153704845,0.0414528394702754,no movement
155,0.0773864153704845,0.0417129849460129,no movement
156,0.0773864153704845,0.0419731304217504,no movement
157,0.0773864153704845,0.0422332758974879,no movement
158,0.0773864153704845,0.0424934213732254,no movement
159,0.0773864153704845,0.0427535668489629,no movement
160,0.0773864153704845,0.0430137123247004,no movement
161,0.0773864153704845,0.0432738578004379,no movement
162,0.0773864153704845,0.0435340032761754,no movement
163,0.0773864153704845,0.0437941836487267,no movement
164,0.0773864153704845,0.044054364021278,no movement
165,0.0773864153704845,0.0443145443938293,no movement
166,0.0773864153704845,0.0445747247663806,no movement
167,0.0773864153704845,0.0448340893264801,no movement
168,0.0790657707664536,0.0450934538865797,no movement
169,0.0790657707664536,0.0453528184466792,no movement
170,0.0790657707664536,0.0456121830067787,no movement
171,0.0790657707664536,0.0458715475668783,no movement
172,0.081484025048231,0.0461309121269778,no movement
173,0.081484025048231,0.0463902766870773,no movement
174,0.081484025048231,0.0466496412471768,no movement
175,0.081484025048231,0.0469090058072764,no movement
176,0.081484025048231,0.0471683703673759,no movement
177,0.081484025048231,0.0474277349274754,no movement
178,0.081484025048231,0.047687099487575,no movement
179,0.081484025048231,0.0479464640476745,no movement
180,0.081484025048231,0.048205828607774,no movement
181,0.081484025048231,0.0484651931678736,no movement
182,0.081484025048231,0.0487245577279731,no movement
183,0.081484025048231,0.0489839222880726,no movement
184,0.081484025048231,0.0492432868481722,no movement
185,0.081484025048231,0.0495026514082717,no movement
186,0.081484025048231,0.0497620159683712,no movement
187,0.081484025048231,0.0500270914222741,no movement
188,0.081484025048231,0.0502921668761769,no movement
189,0.081484025048231,0.0505572423300798,no movement
190,0.081484025048231,0.0508223177839826,no movement
191,0.081484025048231,0.0510874838095375,no movement
192,0.0816402579801698,0.0513526498350925,no movement
193,0.0816402579801698,0.0516178158606474,no movement
