"Feature","Cumulative","PC"
"lowerbody_duration",0.0162953291759245,"PC 1"
"head_angAcc_sum_integral",0.0025211159181596,"PC 1"
"lowerbody_moment_sum_change_integral",0.00148031010454756,"PC 1"
"VSA_f1f2f3",0.183086374149544,"PC 2"
"head_bbmv_rate",0.0409851203860186,"PC 2"
"arm_moment_sum_change_peak_std",0.0225427258802664,"PC 2"
"head_moment_sum_change_rate",0.0433111761680347,"PC 3"
"spine_moment_sum_change_rate",0.0122852119121902,"PC 3"
"leg_power_Gmean",0.0060535476095683,"PC 3"
"leg_speedKin_sum_peak_mean",0.326634637217212,"PC 4"
"leg_jerkKin_sum_sampen",0.0974205711117555,"PC 4"
"lowerbody_speedKin_sum_peak_mean",0.0929775694386015,"PC 4"
"VSA_f1f2f3",0.183086374149544,"PC 5"
"lowerbody_angSpeed_sum_sampen",0.0185255883580779,"PC 5"
"leg_moment_sum_change_sampen",0.0153062593675394,"PC 5"
