"Feature","Cumulative","PC"
"lowerbody_moment_sum_change_integral",0.00285463422747892,"PC 1"
"lowerbody_jerkKin_sum_Gmean",0.00137854234781823,"PC 1"
"lowerbody_duration",0.000779272301781515,"PC 1"
"head_moment_sum_Gstd",0.0257921962111585,"PC 2"
"head_speedKin_sum_Gmean",0.0234735850476883,"PC 2"
"head_angSpeed_sum_Gmean",0.0155869257061346,"PC 2"
"lowerbody_bbmv_rate",0.131205479530708,"PC 3"
"leg_bbmv_rate",0.0350376765888296,"PC 3"
"lowerbody_bbmv",0.0221432908807199,"PC 3"
"COPc_rate",0.142235519917623,"PC 4"
"arm_angJerk_sum_Gstd",0.0684836679337166,"PC 4"
"leg_power_rate",0.0261734853345666,"PC 4"
"arm_moment_sum_peak_mean",0.227047867647685,"PC 5"
"arm_accKin_sum_peak_std",0.0221533435078725,"PC 5"
"lowerbody_power_peak_std",0.0148450249477877,"PC 5"
