Time,RWrist_speed,RWrist_vert_vel,RHip_speed,RAnkle_speed,RBigToe_speed,LBigToe_speed,LHeel_speed,RKnee_speed,RElbow_speed,Head_speed,LKnee_speed,LElbow_speed,LWrist_speed,LWrist_vert_vel,Neck_speed,LShoulder_speed,LHip_speed,RSmallToe_speed,RHeel_speed,LSmallToe_speed,LAnkle_speed,RShoulder_speed,Nose_speed,TrialID,RWrist_speed_movement,RWrist_speed_event,RHip_speed_movement,RHip_speed_event,RAnkle_speed_movement,RAnkle_speed_event,RBigToe_speed_movement,RBigToe_speed_event,LBigToe_speed_movement,LBigToe_speed_event,LHeel_speed_movement,LHeel_speed_event,RKnee_speed_movement,RKnee_speed_event,RElbow_speed_movement,RElbow_speed_event,Head_speed_movement,Head_speed_event,LKnee_speed_movement,LKnee_speed_event,LElbow_speed_movement,LElbow_speed_event,LWrist_speed_movement,LWrist_speed_event,Neck_speed_movement,Neck_speed_event,LShoulder_speed_movement,LShoulder_speed_event,LHip_speed_movement,LHip_speed_event,RSmallToe_speed_movement,RSmallToe_speed_event,RHeel_speed_movement,RHeel_speed_event,LSmallToe_speed_movement,LSmallToe_speed_event,LAnkle_speed_movement,LAnkle_speed_event,RShoulder_speed_movement,RShoulder_speed_event,Nose_speed_movement,Nose_speed_event,RWrist_vert_vel_movement,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement,LWrist_vert_vel_movement_event
16.6666666666666,14.71394480522564,5.6034240766663945,2.6148991333697604,14.230208792233368,14.889493511615672,8.169648879223306,3.4000009630713244,12.731156533550983,2.13148960618425,1.838440000484198,11.19849527682049,4.043136257082692,24.638115826000707,7.680125322828302,0.5895446681441423,2.273580082589479,17.46511504938237,6.571097431861869,10.17313563067987,2.8054728784905416,2.978849116361948,1.9665531992544372,-0.0869378667078858,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33.3333333333333,14.356670960474991,5.1748605472011615,2.61086376070971,14.073503677083073,14.494048722137286,8.092850677995807,3.28946526146769,12.830275879672596,2.1620206300109195,1.935185028718096,10.843240495969727,4.014086228340043,23.61167960567801,7.50256910823468,0.990419702452678,2.368634349026966,17.486543458389693,6.504646637497166,9.682379365123222,2.997645065058972,3.0261795485786727,2.04551265659182,0.1867905882025709,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
50.0,13.99939711572435,4.7462970177359285,2.60682838804966,13.916798561932776,14.0986039326589,8.016052476768307,3.178929559864056,12.929395225794204,2.192551653837589,2.0319300569519934,10.487985715118963,3.985036199597394,22.585243385355305,7.325012893641058,1.3912947367612138,2.463688615464453,17.507971867397018,6.438195843132464,9.191623099566574,3.189817251627402,3.0735099807953974,2.124472113929203,0.4605190431130277,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
66.6666666666666,13.642123270973704,4.317733488270696,2.6027930153896097,13.76009344678248,13.703159143180514,7.939254275540808,3.0683938582604218,13.028514571915814,2.2230826776642583,2.128675085185891,10.1327309342682,3.9559861708547457,21.558807165032604,7.147456679047437,1.7921697710697495,2.5587428819019404,17.52940027640434,6.371745048767761,8.700866834009927,3.381989438195832,3.1208404130121217,2.2034315712665857,0.7342474980234844,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
83.3333333333333,13.28484942622306,3.8891699588054633,2.59875764272956,13.603388331632186,13.307714353702128,7.862456074313309,2.9578581566567874,13.127633918037422,2.253613701490927,2.225420113419789,9.77747615341744,3.926936142112097,20.532370944709903,6.969900464453815,2.1930448053782854,2.653797148339428,17.550828685411663,6.305294254403059,8.21011056845328,3.5741616247642622,3.1681708452288464,2.282391028603968,1.0079759529339412,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
99.9999999999999,12.927575581472414,3.46060642934023,2.594722270069509,13.446683216481889,12.912269564223742,7.7856578730858095,2.847322455053153,13.226753264159033,2.2841447253175966,2.3221651416536866,9.422221372566677,3.8978861133694487,19.505934724387203,6.792344249860193,2.593919839686821,2.7488514147769143,17.572257094418987,6.238843460038356,7.719354302896631,3.766333811332693,3.215501277445571,2.361350485941351,1.281704407844398,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
116.6666666666666,12.57030173672177,3.032042899874997,2.5906868974094586,13.289978101331592,12.516824774745356,7.708859671858311,2.7367867534495187,13.32587261028064,2.314675749144266,2.4189101698875843,9.066966591715913,3.8688360846268,18.4794985040645,6.614788035266571,2.994794873995357,2.8439056812144017,17.59368550342631,6.172392665673653,7.228598037339984,3.9585059979011215,3.262831709662296,2.440309943278734,1.5554328627548546,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
133.33333333333331,12.213027891971125,2.6034793704097643,2.586651524749409,13.133272986181296,12.121379985266966,7.632061470630812,2.626251051845885,13.424991956402248,2.3452067729709354,2.515655198121482,8.71171181086515,3.8397860558841503,17.453062283741797,6.437231820672949,3.3956699083038933,2.938959947651888,17.61511391243364,6.105941871308951,6.737841771783338,4.150678184469553,3.31016214187902,2.5192694006161167,1.829161317665312,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
150.0,12.605556833006062,2.356704687935411,2.9012415296446195,13.682385189295392,12.337253498613006,8.027249059689865,2.845465897156665,13.97074236752444,2.4391203724552595,2.905429767998272,9.117515424211629,3.90836147109863,17.740300168731824,6.567999475427982,3.7578900988402566,3.148387862708398,18.71637137506144,6.213408818050656,6.769289609084031,4.271229247683251,3.640801261804264,2.692588416642505,2.027975023879207,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
166.6666666666666,11.85734507905406,1.7341944220794727,3.079833210457278,12.878579898915405,11.472075712602368,7.79193383363303,2.8308576222838027,13.300571316178846,2.3326792904414417,3.1128570004606706,8.590688435056922,3.6421175593100426,16.431962067514824,6.137596367054683,3.992302127389922,3.1583191512261406,18.372179939951558,5.828864932838613,6.1929457612846,4.06756273915704,3.700458168912573,2.667453478445282,2.068698041764416,0_2_36_p1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
