PC1,PC1_Loading,PC2,PC2_Loading,PC3,PC3_Loading
f3_clean_vel_pospeak_n,-0.227089529714295,f3_clean_vel_pospeak_mean,-0.24950875262048489,CoG_integral,-0.29456031230626323
f3_clean_pospeak_n,-0.22509964796880685,f0_Gstd,0.24529131591197792,CoG_pospeak_std,0.27925566188268075
f2_clean_vel_pospeak_n,-0.22355261683275926,f0_pospeak_n,0.24476764742026416,CoG_pospeak_n,0.2748550664886396
f2_clean_vel_range,-0.20933776702759746,f0_range,0.24053999493574277,envelope_change_Gmean,0.2548437283550617
f2_clean_Gstd,-0.20758143766301557,f3_clean_vel_pospeak_std,0.20599790711165053,CoG_Gmean,-0.2502940785759696
f1_clean_vel_range,-0.2044052609777999,f3_clean_pospeak_mean,0.20209426399937377,CoG_range,0.24838448123555038
f1_clean_range,-0.20386674194793789,envelope_integral,-0.172313016342238,f1_clean_pospeak_mean,-0.22610855259171017
f2_clean_range,-0.2012177741327559,f2_clean_vel_pospeak_mean,-0.16985048476379,envelope_change_integral,0.21912883308825273
f2_clean_pospeak_n,-0.1992124987055676,f1_clean_vel_integral,-0.16513812125372743,CoG_Gstd,0.21861455994781187
VSA_f1f2,-0.198116222919741,f2_clean_integral,0.16513812125372737,f2_clean_vel_pospeak_std,0.21281042502745476
f3_clean_range,-0.17388913786817312,f3_clean_vel_integral,-0.16513812125372737,envelope_change_Gstd,0.20397194253464843
f1_clean_vel_pospeak_n,-0.17145125994474475,f2_clean_vel_integral,-0.16513812125372737,envelope_Gstd,0.17081446661644467
f2_clean_vel_Gstd,-0.17059614954425467,f1_clean_integral,0.16513812125372734,f2_clean_pospeak_mean,-0.1474266389140323
f3_clean_vel_range,-0.16474132638071218,f3_clean_integral,0.16513812125372734,f2_clean_pospeak_std,0.14262505104532433
f1_clean_pospeak_n,-0.1634614685898058,f0_Gmean,-0.16461998824188678,envelope_Gmean,0.1403445269487267
f1_clean_Gstd,-0.16093087610604126,envelope_change_integral,0.16341861655512907,envelope_change_pospeak_n,0.13146984662954186
f1_clean_vel_Gstd,-0.14325807132643176,f1_clean_vel_pospeak_n,0.16337284559561022,f1_clean_pospeak_n,-0.1287448269774643
envelope_change_range,-0.14103702325603468,f3_clean_Gmean,0.14998290220999796,f1_clean_Gstd,-0.12711091204500255
f3_clean_Gstd,-0.13858371465686287,envelope_Gstd,-0.14806488092549475,f3_clean_pospeak_mean,-0.12623294378698216
f3_clean_vel_pospeak_std,-0.13505562975421598,envelope_Gmean,-0.14800731350947485,envelope_change_range,0.12472908845851985
duration_voc,-0.13463541430787423,f3_clean_vel_Gmean,-0.14362904524177036,envelope_integral,0.11466982979482035
envelope_pospeak_n,-0.13077788548296135,envelope_range,-0.14099568584819427,f2_clean_vel_pospeak_mean,0.10637621459567276
envelope_integral,-0.13016489763936573,f3_clean_pospeak_std,-0.13924047310692395,f1_clean_Gmean,-0.10469279779941304
envelope_change_pospeak_n,-0.12143833340014641,f3_clean_vel_range,0.13849519825023188,f1_clean_vel_pospeak_n,-0.0836961259128172
f3_clean_pospeak_std,-0.11993202719524211,envelope_change_pospeak_n,0.1361585070099388,duration_voc,-0.07930855540313954
f3_clean_vel_Gstd,-0.11838293617101721,envelope_pospeak_mean,-0.12826674922971754,f1_clean_vel_Gstd,-0.07909652102632536
f2_clean_pospeak_std,-0.11455826893173865,envelope_change_Gmean,0.12093758658751903,envelope_range,0.06834336573595136
f0_pospeak_n,-0.11310777051938879,f1_clean_Gmean,0.11723538641451282,f1_clean_vel_integral,-0.06829996666629846
f0_Gstd,-0.11302700137704495,envelope_change_Gstd,0.1163127832072136,f1_clean_integral,0.06829996666629845
f0_range,-0.1119561362074414,envelope_change_range,0.11467350304346488,f3_clean_integral,0.06829996666629845
f2_clean_pospeak_mean,0.11004636001465373,envelope_pospeak_std,-0.11009692069960934,f2_clean_integral,0.06829996666629844
envelope_change_pospeak_std,-0.10775439938591862,f2_clean_vel_pospeak_std,-0.10774779083247538,f2_clean_vel_integral,-0.06829996666629844
f2_clean_vel_pospeak_std,-0.10437755333550647,f2_clean_pospeak_std,-0.10630863611431139,f3_clean_vel_integral,-0.06829996666629844
envelope_change_Gstd,-0.10224407014726332,f2_clean_vel_Gstd,-0.09867602174939037,f3_clean_Gmean,-0.06755301422942993
f1_clean_vel_Gmean,-0.10152823371008601,f1_clean_Gstd,-0.09502264508416801,f2_clean_Gmean,-0.06520659812589422
f1_clean_vel_integral,-0.08473150257484376,envelope_change_pospeak_mean,0.08987288650959514,envelope_change_pospeak_std,0.06488681204031913
f1_clean_integral,0.08473150257484373,f1_clean_vel_pospeak_mean,-0.08852724953087775,f3_clean_Gstd,-0.06397481072965476
f3_clean_integral,0.08473150257484373,envelope_change_pospeak_std,0.08708134988248944,f2_clean_vel_Gstd,-0.062291707918907195
f2_clean_integral,0.08473150257484371,f3_clean_range,0.08420885215420677,f2_clean_pospeak_n,-0.06172135609701504
f2_clean_vel_integral,-0.08473150257484371,f2_clean_vel_Gmean,-0.08027857617273731,f2_clean_vel_range,-0.060888511039701526
f3_clean_vel_integral,-0.08473150257484371,f2_clean_Gmean,0.0777541913667674,envelope_pospeak_n,0.060151837604857324
f2_clean_vel_Gmean,-0.0824699432496331,duration_voc,0.06617672542486694,f3_clean_vel_Gmean,-0.059213655625714255
f0_Gmean,0.08034603192145966,f1_clean_range,-0.06135027923926081,f1_clean_range,-0.05675350314512664
CoG_Gstd,0.07851018367586193,f1_clean_vel_Gmean,-0.057359926820749196,f3_clean_vel_pospeak_std,0.05569419556761237
f1_clean_pospeak_mean,0.07256718643346272,f1_clean_pospeak_std,-0.05725027402603547,f1_clean_vel_pospeak_std,-0.055512980112127165
envelope_change_integral,-0.07091978477651206,f2_clean_pospeak_n,-0.057203007136075616,f1_clean_vel_pospeak_mean,0.05244083940149471
f3_clean_vel_pospeak_mean,0.07023327537157388,f2_clean_range,-0.055391976769684874,CoG_pospeak_mean,-0.050986112479420344
CoG_range,0.06875213220550594,f3_clean_vel_Gstd,0.053563894852394996,f2_clean_vel_pospeak_n,0.048156796196647436
f1_clean_Gmean,0.06440022710676566,f1_clean_vel_pospeak_std,0.04913159781695589,f3_clean_vel_pospeak_mean,0.047593659185047765
CoG_pospeak_n,0.06244223148670048,f2_clean_vel_range,-0.048129638870589506,f3_clean_pospeak_n,0.047387329532224035
envelope_Gstd,-0.05143160773841051,envelope_pospeak_n,0.043145202745264226,f2_clean_Gstd,-0.04715546982703533
envelope_Gmean,-0.05118122879025063,f3_clean_vel_pospeak_n,0.04212028207912173,f3_clean_vel_Gstd,-0.04671493020939081
envelope_range,-0.05096110180365021,f2_clean_pospeak_mean,-0.03931260389426107,f2_clean_range,-0.045248869956135696
f3_clean_pospeak_mean,0.04630956199350742,CoG_pospeak_std,-0.0358652700415098,envelope_pospeak_mean,-0.04454976595369117
f3_clean_vel_Gmean,-0.041925990996551685,f2_clean_Gstd,-0.03503500538436207,f2_clean_vel_Gmean,-0.04235055893849905
CoG_pospeak_std,-0.03999915637626954,CoG_integral,0.03189287841687917,envelope_pospeak_std,-0.03781102500065321
f1_clean_pospeak_std,-0.035098145370643645,f1_clean_vel_range,-0.030597107721608126,f3_clean_range,-0.03420265999318491
envelope_change_Gmean,-0.034033988891399976,f1_clean_pospeak_mean,0.025568210279993817,f3_clean_vel_pospeak_n,0.03223438316247001
envelope_change_pospeak_mean,-0.03184612397104013,CoG_Gmean,0.0237113670525739,f1_clean_vel_range,0.029848155700411008
envelope_pospeak_mean,-0.028456851027253156,f1_clean_pospeak_n,0.021779925156427887,VSA_f1f2,-0.02948372493591779
f3_clean_Gmean,0.0268804095761148,CoG_Gstd,0.02027993007724793,envelope_change_pospeak_mean,-0.02709141133304156
envelope_pospeak_std,-0.021716657255433085,f3_clean_Gstd,0.015132706146144316,f1_clean_pospeak_std,-0.0230070703900789
CoG_integral,0.01762297258719286,f3_clean_pospeak_n,-0.014429024413135458,f0_Gstd,-0.02211542902050322
CoG_pospeak_mean,0.010058007796068226,f1_clean_vel_Gstd,-0.013233193831812746,f3_clean_pospeak_std,0.02133896826511907
CoG_Gmean,0.008579154633247231,CoG_range,0.013226120904264557,f3_clean_vel_range,-0.020957229090793634
f1_clean_vel_pospeak_mean,-0.007367214184013177,f2_clean_vel_pospeak_n,0.012492274431596812,f0_Gmean,-0.020517093317146434
f1_clean_vel_pospeak_std,-0.0033930456991475926,VSA_f1f2,-0.011660165372969208,f0_pospeak_n,-0.019532633446898824
f2_clean_Gmean,0.0025480599310752938,CoG_pospeak_mean,0.007834725083512909,f0_range,-0.012881476599624483
f2_clean_vel_pospeak_mean,-0.0006050095781029402,CoG_pospeak_n,0.0027767007025804235,f1_clean_vel_Gmean,-0.004904265323972827
f0_integral,3.005621697772939e-17,f0_integral,-6.277715090896267e-17,f0_integral,3.613304252609294e-18
