PC1,PC1_Loading,PC2,PC2_Loading,PC3,PC3_Loading
lowerbody_speedKin_sum_range,0.08494744074944671,pelvis_moment_sum_change_pospeak_n,-0.10859750302296627,pelvis_moment_sum_Gmean,-0.1310775573315743
lowerbody_speedKin_sum_Gstd,0.08412763619991148,lowerbody_moment_sum_change_pospeak_n,-0.10221021263826748,leg_moment_sum_change_pospeak_std,0.12645296408465512
lowerbody_accKin_sum_range,0.08302538683068882,envelope_change_range,-0.09583500406926516,pelvis_moment_sum_change_Gmean,0.12553691102199097
leg_angAcc_sum_range,0.08257799994356033,leg_moment_sum_pospeak_n,-0.09558684103979807,pelvis_moment_sum_integral,-0.12537798940932876
bbmv_total,0.08221512073088752,leg_angAcc_sum_pospeak_mean,0.09528690127521207,leg_moment_sum_change_pospeak_mean,0.12338382957250074
leg_angJerk_sum_range,0.08200410924650642,leg_angSpeed_sum_pospeak_mean,0.09528690127521207,lowerbody_jerkKin_sum_pospeak_mean,0.12010976181463802
lowerbody_accKin_sum_Gstd,0.08185951390301871,lowerbody_moment_sum_change_pospeak_std,-0.09084707910253646,leg_moment_sum_change_pospeak_n,0.11478050900429379
leg_angSpeed_sum_range,0.08126768519180155,leg_moment_sum_pospeak_std,-0.0907274441896581,lowerbody_moment_sum_change_Gmean,0.11469463184179249
head_angJerk_sum_range,0.08114843087210358,envelope_change_pospeak_n,-0.09065487965037881,leg_moment_sum_change_Gmean,0.11431016729892707
head_angJerk_sum_Gstd,0.08057174374832761,f0_range,-0.09030771600333715,pelvis_moment_sum_pospeak_mean,-0.11330039684331045
pelvis_moment_sum_range,0.08007605236753446,f1_clean_vel_pospeak_n,-0.09029764780362272,pelvis_moment_sum_change_integral,0.11175245745102276
lowerbody_speedKin_sum_integral,0.07981522943255046,f3_clean_vel_pospeak_n,-0.08964880619360374,f1_clean_vel_pospeak_std,0.1073218236262415
leg_angAcc_sum_Gstd,0.07955926928897583,leg_moment_sum_Gstd,-0.08947251040734014,lowerbody_moment_sum_integral,-0.1055025359457524
head_angJerk_sum_Gmean,0.07951330959124969,head_jerkKin_sum_pospeak_mean,0.0886059745773265,lowerbody_moment_sum_change_integral,0.10525961581885906
arm_angJerk_sum_integral,0.079454533556003,f0_Gstd,-0.08847510521712862,lowerbody_angAcc_sum_Gstd,0.10475664889839077
leg_power_integral,0.07920774461690427,spine_moment_sum_change_pospeak_n,-0.08793056003351395,lowerbody_moment_sum_Gmean,-0.10374439543739694
leg_angJerk_sum_Gstd,0.07908227801820368,lowerbody_moment_sum_change_Gstd,-0.08735823213726707,lowerbody_jerkKin_sum_pospeak_std,0.10241639953446845
