envelope_Gmean,envelope_Gstd,envelope_pospeak_mean,envelope_pospeak_std,envelope_pospeak_n,envelope_integral,envelope_range,envelope_change_Gmean,envelope_change_Gstd,envelope_change_pospeak_mean,envelope_change_pospeak_std,envelope_change_pospeak_n,envelope_change_integral,envelope_change_range,f0_Gmean,f0_Gstd,f0_pospeak_n,f0_integral,f0_range,f1_clean_Gmean,f1_clean_Gstd,f1_clean_pospeak_n,f1_clean_integral,f1_clean_range,f1_clean_vel_Gmean,f1_clean_vel_Gstd,f1_clean_vel_pospeak_mean,f1_clean_vel_pospeak_n,f1_clean_vel_range,f2_clean_Gmean,f2_clean_Gstd,f2_clean_pospeak_mean,f2_clean_pospeak_n,f2_clean_integral,f2_clean_range,f2_clean_vel_Gmean,f2_clean_vel_Gstd,f2_clean_vel_pospeak_mean,f2_clean_vel_pospeak_std,f2_clean_vel_pospeak_n,f2_clean_vel_range,f3_clean_Gmean,f3_clean_Gstd,f3_clean_pospeak_mean,f3_clean_pospeak_std,f3_clean_pospeak_n,f3_clean_integral,f3_clean_range,f3_clean_vel_Gmean,f3_clean_vel_Gstd,f3_clean_vel_pospeak_mean,f3_clean_vel_pospeak_std,f3_clean_vel_pospeak_n,f3_clean_vel_range,CoG_pospeak_n,duration_voc,VSA_f1f2,f1_clean_vel_integral,f2_clean_vel_integral,f3_clean_vel_integral,f1_clean_pospeak_mean,f2_clean_pospeak_std,f1_clean_pospeak_std,f1_clean_vel_pospeak_std,CoG_Gmean,CoG_Gstd,CoG_pospeak_mean,CoG_pospeak_std,CoG_integral,CoG_range,correction_info
0.994,1.856,-0.492,0.0,8.0,1208.357,7.887,0.481,1.182,-0.572,0.0,8.0,584.376,4.598,0.0,0.0,0.0,0.0,0.0,-2.015,1.226,2.0,0.0,4.908,0.106,1.701,0.155,3.0,18.107,-1.815,1.46,-0.196,5.0,0.0,5.19,0.157,1.57,0.369,0.0,3.0,10.605,-0.653,0.49,-0.562,0.041,4.0,0.0,1.835,0.086,0.622,0.145,0.0,4.0,4.488,0.0,2430.0,2.75,0.0,0.0,0.0,0.0,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c1
1.233,2.069,-0.435,0.0,6.0,1144.241,7.884,0.564,1.231,-0.572,0.0,9.0,522.06,5.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.561,1.464,-0.27,0.232,-518.31,5.346,c2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c0_only
2.322,2.804,0.395,1.654,6.0,2303.726,7.888,0.751,1.304,-0.238,0.942,8.0,744.595,4.725,0.0,0.0,0.0,0.0,0.0,-2.706,0.307,1.0,0.0,3.585,0.066,0.782,0.053,2.0,20.246,-1.349,0.525,-1.27,4.0,0.0,2.174,0.039,0.577,0.45,1.022,10.0,6.72,-1.348,0.246,-1.367,0.174,7.0,0.0,1.602,0.063,0.328,0.265,0.995,9.0,4.504,5.0,1982.0,1.496,0.0,0.0,0.0,-2.748,1.347,0.0,0.005,-3.272,0.375,-0.528,2.491,-3242.007,2.236,c0
3.156,2.213,2.712,3.7,4.0,3206.97,7.889,-0.137,0.681,-0.466,0.211,4.0,-139.336,4.152,0.0,0.0,0.0,0.0,0.0,-1.822,1.516,4.0,-1849.772,4.616,0.048,0.565,0.0,3.0,13.885,-0.503,1.025,-0.067,8.0,-510.54,4.183,0.049,0.984,0.045,0.318,10.0,13.463,-0.78,0.378,-0.713,0.479,8.0,-791.682,1.784,0.063,0.271,0.126,0.208,9.0,3.874,0.0,2030.0,2.337,48.164,49.343,63.994,0.0,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c1
1.426,2.446,0.556,2.558,5.0,1074.064,7.888,0.457,0.92,-0.192,0.479,7.0,344.064,3.854,0.0,0.0,0.0,0.0,0.0,-2.611,0.167,1.0,0.0,1.694,0.067,0.218,0.329,3.0,3.081,-0.993,0.56,-0.793,5.0,0.0,3.871,0.048,0.892,0.243,0.205,6.0,13.123,-1.12,0.172,0.0,0.0,1.0,0.0,1.051,0.05,0.19,0.039,0.093,5.0,1.93,0.0,1504.0,1.102,0.0,0.0,0.0,0.409,0.6,0.0,0.356,0.0,0.0,0.0,0.0,0.0,0.0,c2
1.619,2.531,-0.485,0.0,2.0,981.552,7.889,0.313,1.085,-0.572,0.0,4.0,189.989,4.312,0.0,0.0,0.0,0.0,0.0,-1.484,0.764,2.0,0.0,2.748,0.103,0.392,0.0,4.0,3.566,-1.936,0.543,0.0,0.0,0.0,2.271,0.056,0.216,0.0,0.0,3.0,1.888,-1.193,0.122,0.0,0.0,1.0,0.0,1.306,0.07,0.182,0.0,0.0,1.0,2.377,5.0,1210.0,1.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.615,0.555,0.757,0.044,-1582.595,2.441,c0
1.867,2.443,1.085,2.268,2.0,1770.651,7.889,-0.152,0.561,-0.322,0.302,4.0,-143.917,2.858,0.0,0.0,0.0,0.0,0.0,-2.236,0.785,2.0,0.0,6.285,0.114,0.798,0.059,4.0,14.435,-1.504,0.849,-1.285,2.0,0.0,6.584,0.081,0.87,0.1,0.088,5.0,13.084,-1.337,0.482,-0.495,0.0,4.0,0.0,2.652,0.084,0.364,0.213,0.168,8.0,3.448,0.0,1894.0,2.762,0.0,0.0,0.0,-1.276,0.0,1.247,0.033,0.0,0.0,0.0,0.0,0.0,0.0,c1
3.366,2.489,-0.648,0.0,2.0,1414.103,7.818,0.559,0.665,-0.572,0.0,5.0,234.713,2.551,0.0,0.0,0.0,0.0,0.0,0.38,1.077,2.0,0.0,3.004,-0.022,1.067,0.605,4.0,9.753,0.253,1.1,0.0,2.0,0.0,3.516,-0.027,1.152,0.563,0.0,5.0,11.138,0.284,1.128,0.0,0.0,2.0,0.0,4.395,-0.014,1.29,0.12,0.0,5.0,13.323,1.0,838.0,1.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.953,0.428,1.338,0.0,-1237.758,1.909,c2
0.593,1.336,-0.29,0.301,5.0,806.959,4.891,0.595,1.452,-0.056,1.269,9.0,806.901,6.794,-0.427,0.903,1.0,0.0,4.084,-1.105,0.537,1.0,0.0,4.597,0.075,0.755,-0.26,7.0,15.662,-0.735,0.944,-1.631,3.0,0.0,3.627,0.046,0.4,0.077,0.0,9.0,9.392,-0.248,0.343,-0.224,0.0,7.0,0.0,3.18,0.034,0.467,-1.209,1.552,11.0,10.922,0.0,2718.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.383,0.0,0.0,0.0,0.0,0.0,0.0,c0
0.426,1.252,-0.244,0.365,6.0,678.573,4.908,0.432,1.234,-0.347,0.278,9.0,687.207,6.054,-0.018,0.998,1.0,0.0,3.176,-0.285,0.791,6.0,0.0,3.176,0.023,0.802,-0.233,12.0,11.677,-0.289,0.801,0.0,6.0,0.0,3.372,0.025,0.533,-1.636,0.0,10.0,10.219,-0.225,0.684,1.583,0.0,6.0,0.0,4.184,0.016,0.763,-1.529,2.473,11.0,13.95,0.0,3182.0,2.023,0.0,0.0,0.0,-0.484,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,c1
