arm_duration,arm_inter_Kin,arm_inter_IK,arm_bbmv,lowerbody_duration,lowerbody_inter_Kin,lowerbody_inter_IK,lowerbody_bbmv,leg_duration,leg_inter_Kin,leg_inter_IK,leg_bbmv,head_duration,head_inter_Kin,head_inter_IK,head_bbmv,arm_moment_sum_Gmean,arm_moment_sum_Gstd,arm_moment_sum_pospeak_n,arm_moment_sum_pospeak_times,arm_moment_sum_integral,arm_moment_sum_range,arm_moment_sum_change_Gmean,arm_moment_sum_change_Gstd,arm_moment_sum_change_pospeak_mean,arm_moment_sum_change_pospeak_std,arm_moment_sum_change_pospeak_n,arm_moment_sum_change_pospeak_times,arm_moment_sum_change_integral,arm_moment_sum_change_range,arm_speedKin_sum_Gmean,arm_speedKin_sum_Gstd,arm_speedKin_sum_pospeak_mean,arm_speedKin_sum_pospeak_std,arm_speedKin_sum_pospeak_n,arm_speedKin_sum_pospeak_times,arm_speedKin_sum_integral,arm_speedKin_sum_range,arm_accKin_sum_Gmean,arm_accKin_sum_Gstd,arm_accKin_sum_pospeak_mean,arm_accKin_sum_pospeak_std,arm_accKin_sum_pospeak_n,arm_accKin_sum_pospeak_times,arm_accKin_sum_negpeak_n,arm_accKin_sum_negpeak_times,arm_accKin_sum_integral,arm_accKin_sum_range,arm_jerkKin_sum_Gmean,arm_jerkKin_sum_Gstd,arm_jerkKin_sum_pospeak_mean,arm_jerkKin_sum_pospeak_std,arm_jerkKin_sum_pospeak_n,arm_jerkKin_sum_pospeak_times,arm_jerkKin_sum_integral,arm_jerkKin_sum_range,arm_angSpeed_sum_Gmean,arm_angSpeed_sum_Gstd,arm_angSpeed_sum_pospeak_mean,arm_angSpeed_sum_pospeak_std,arm_angSpeed_sum_pospeak_n,arm_angSpeed_sum_pospeak_times,arm_angSpeed_sum_integral,arm_angSpeed_sum_range,arm_angAcc_sum_Gmean,arm_angAcc_sum_Gstd,arm_angAcc_sum_pospeak_mean,arm_angAcc_sum_pospeak_std,arm_angAcc_sum_pospeak_n,arm_angAcc_sum_pospeak_times,arm_angAcc_sum_negpeak_n,arm_angAcc_sum_negpeak_times,arm_angAcc_sum_integral,arm_angAcc_sum_range,arm_angJerk_sum_Gmean,arm_angJerk_sum_Gstd,arm_angJerk_sum_pospeak_mean,arm_angJerk_sum_pospeak_std,arm_angJerk_sum_pospeak_n,arm_angJerk_sum_pospeak_times,arm_angJerk_sum_integral,arm_angJerk_sum_range,lowerbody_power_Gmean,lowerbody_power_Gstd,lowerbody_power_pospeak_mean,lowerbody_power_pospeak_n,lowerbody_power_pospeak_times,lowerbody_power_integral,lowerbody_power_range,leg_power_Gmean,leg_power_Gstd,leg_power_pospeak_mean,leg_power_pospeak_std,leg_power_pospeak_n,leg_power_pospeak_times,leg_power_integral,leg_power_range,head_power_Gmean,head_power_Gstd,head_power_pospeak_mean,head_power_pospeak_std,head_power_pospeak_n,head_power_pospeak_times,head_power_integral,head_power_range,arm_power_Gmean,arm_power_Gstd,arm_power_pospeak_mean,arm_power_pospeak_n,arm_power_pospeak_times,arm_power_integral,arm_power_range,lowerbody_moment_sum_Gmean,lowerbody_moment_sum_Gstd,lowerbody_moment_sum_pospeak_mean,lowerbody_moment_sum_pospeak_n,lowerbody_moment_sum_pospeak_times,lowerbody_moment_sum_integral,lowerbody_moment_sum_range,lowerbody_moment_sum_change_Gmean,lowerbody_moment_sum_change_Gstd,lowerbody_moment_sum_change_pospeak_mean,lowerbody_moment_sum_change_pospeak_std,lowerbody_moment_sum_change_pospeak_n,lowerbody_moment_sum_change_pospeak_times,lowerbody_moment_sum_change_integral,lowerbody_moment_sum_change_range,lowerbody_speedKin_sum_Gmean,lowerbody_speedKin_sum_Gstd,lowerbody_speedKin_sum_pospeak_mean,lowerbody_speedKin_sum_pospeak_std,lowerbody_speedKin_sum_pospeak_n,lowerbody_speedKin_sum_pospeak_times,lowerbody_speedKin_sum_integral,lowerbody_speedKin_sum_range,lowerbody_accKin_sum_Gmean,lowerbody_accKin_sum_Gstd,lowerbody_accKin_sum_pospeak_mean,lowerbody_accKin_sum_pospeak_std,lowerbody_accKin_sum_pospeak_n,lowerbody_accKin_sum_pospeak_times,lowerbody_accKin_sum_negpeak_n,lowerbody_accKin_sum_negpeak_times,lowerbody_accKin_sum_integral,lowerbody_accKin_sum_range,lowerbody_jerkKin_sum_Gmean,lowerbody_jerkKin_sum_Gstd,lowerbody_jerkKin_sum_pospeak_mean,lowerbody_jerkKin_sum_pospeak_std,lowerbody_jerkKin_sum_pospeak_n,lowerbody_jerkKin_sum_pospeak_times,lowerbody_jerkKin_sum_integral,lowerbody_jerkKin_sum_range,lowerbody_angSpeed_sum_Gmean,lowerbody_angSpeed_sum_Gstd,lowerbody_angSpeed_sum_pospeak_mean,lowerbody_angSpeed_sum_pospeak_std,lowerbody_angSpeed_sum_pospeak_n,lowerbody_angSpeed_sum_pospeak_times,lowerbody_angSpeed_sum_integral,lowerbody_angSpeed_sum_range,lowerbody_angAcc_sum_Gmean,lowerbody_angAcc_sum_Gstd,lowerbody_angAcc_sum_pospeak_mean,lowerbody_angAcc_sum_pospeak_std,lowerbody_angAcc_sum_pospeak_n,lowerbody_angAcc_sum_pospeak_times,lowerbody_angAcc_sum_negpeak_n,lowerbody_angAcc_sum_negpeak_times,lowerbody_angAcc_sum_integral,lowerbody_angAcc_sum_range,lowerbody_angJerk_sum_Gmean,lowerbody_angJerk_sum_Gstd,lowerbody_angJerk_sum_pospeak_mean,lowerbody_angJerk_sum_pospeak_std,lowerbody_angJerk_sum_pospeak_n,lowerbody_angJerk_sum_pospeak_times,lowerbody_angJerk_sum_integral,lowerbody_angJerk_sum_range,leg_moment_sum_Gmean,leg_moment_sum_Gstd,leg_moment_sum_pospeak_mean,leg_moment_sum_pospeak_std,leg_moment_sum_pospeak_n,leg_moment_sum_pospeak_times,leg_moment_sum_integral,leg_moment_sum_range,leg_moment_sum_change_Gmean,leg_moment_sum_change_Gstd,leg_moment_sum_change_pospeak_mean,leg_moment_sum_change_pospeak_n,leg_moment_sum_change_pospeak_times,leg_moment_sum_change_integral,leg_moment_sum_change_range,leg_speedKin_sum_Gmean,leg_speedKin_sum_Gstd,leg_speedKin_sum_pospeak_mean,leg_speedKin_sum_pospeak_std,leg_speedKin_sum_pospeak_n,leg_speedKin_sum_pospeak_times,leg_speedKin_sum_integral,leg_speedKin_sum_range,leg_accKin_sum_Gmean,leg_accKin_sum_Gstd,leg_accKin_sum_pospeak_mean,leg_accKin_sum_pospeak_std,leg_accKin_sum_pospeak_n,leg_accKin_sum_pospeak_times,leg_accKin_sum_negpeak_n,leg_accKin_sum_negpeak_times,leg_accKin_sum_integral,leg_accKin_sum_range,leg_jerkKin_sum_Gmean,leg_jerkKin_sum_Gstd,leg_jerkKin_sum_pospeak_mean,leg_jerkKin_sum_pospeak_std,leg_jerkKin_sum_pospeak_n,leg_jerkKin_sum_pospeak_times,leg_jerkKin_sum_integral,leg_jerkKin_sum_range,leg_angSpeed_sum_Gmean,leg_angSpeed_sum_Gstd,leg_angSpeed_sum_pospeak_mean,leg_angSpeed_sum_pospeak_std,leg_angSpeed_sum_pospeak_n,leg_angSpeed_sum_pospeak_times,leg_angSpeed_sum_integral,leg_angSpeed_sum_range,leg_angAcc_sum_Gmean,leg_angAcc_sum_Gstd,leg_angAcc_sum_pospeak_mean,leg_angAcc_sum_pospeak_std,leg_angAcc_sum_pospeak_n,leg_angAcc_sum_pospeak_times,leg_angAcc_sum_negpeak_n,leg_angAcc_sum_negpeak_times,leg_angAcc_sum_integral,leg_angAcc_sum_range,leg_angJerk_sum_Gmean,leg_angJerk_sum_Gstd,leg_angJerk_sum_pospeak_mean,leg_angJerk_sum_pospeak_std,leg_angJerk_sum_pospeak_n,leg_angJerk_sum_pospeak_times,leg_angJerk_sum_integral,leg_angJerk_sum_range,head_moment_sum_Gmean,head_moment_sum_Gstd,head_moment_sum_pospeak_mean,head_moment_sum_pospeak_std,head_moment_sum_pospeak_n,head_moment_sum_pospeak_times,head_moment_sum_integral,head_moment_sum_range,head_moment_sum_change_Gmean,head_moment_sum_change_Gstd,head_moment_sum_change_pospeak_mean,head_moment_sum_change_pospeak_std,head_moment_sum_change_pospeak_n,head_moment_sum_change_pospeak_times,head_moment_sum_change_integral,head_moment_sum_change_range,head_speedKin_sum_Gmean,head_speedKin_sum_Gstd,head_speedKin_sum_pospeak_mean,head_speedKin_sum_pospeak_std,head_speedKin_sum_pospeak_n,head_speedKin_sum_pospeak_times,head_speedKin_sum_integral,head_speedKin_sum_range,head_accKin_sum_Gmean,head_accKin_sum_Gstd,head_accKin_sum_pospeak_mean,head_accKin_sum_pospeak_std,head_accKin_sum_pospeak_n,head_accKin_sum_pospeak_times,head_accKin_sum_negpeak_n,head_accKin_sum_negpeak_times,head_accKin_sum_integral,head_accKin_sum_range,head_jerkKin_sum_Gmean,head_jerkKin_sum_Gstd,head_jerkKin_sum_pospeak_mean,head_jerkKin_sum_pospeak_std,head_jerkKin_sum_pospeak_n,head_jerkKin_sum_pospeak_times,head_jerkKin_sum_integral,head_jerkKin_sum_range,head_angSpeed_sum_Gmean,head_angSpeed_sum_Gstd,head_angSpeed_sum_pospeak_mean,head_angSpeed_sum_pospeak_std,head_angSpeed_sum_pospeak_n,head_angSpeed_sum_pospeak_times,head_angSpeed_sum_integral,head_angSpeed_sum_range,head_angAcc_sum_Gmean,head_angAcc_sum_Gstd,head_angAcc_sum_pospeak_mean,head_angAcc_sum_pospeak_std,head_angAcc_sum_pospeak_n,head_angAcc_sum_pospeak_times,head_angAcc_sum_negpeak_n,head_angAcc_sum_negpeak_times,head_angAcc_sum_integral,head_angAcc_sum_range,head_angJerk_sum_Gmean,head_angJerk_sum_Gstd,head_angJerk_sum_pospeak_mean,head_angJerk_sum_pospeak_std,head_angJerk_sum_pospeak_n,head_angJerk_sum_pospeak_times,head_angJerk_sum_integral,head_angJerk_sum_range,duration_mov,numofArt,bbmv_total,COPc_Gmean,COPc_Gstd,COPc_pospeak_mean,COPc_pospeak_std,COPc_pospeak_n,COPc_pospeak_times,COPc_integral,COPc_range,spine_moment_sum_Gmean,spine_moment_sum_Gstd,spine_moment_sum_pospeak_mean,spine_moment_sum_pospeak_std,spine_moment_sum_pospeak_n,spine_moment_sum_pospeak_times,spine_moment_sum_integral,spine_moment_sum_range,pelvis_moment_sum_Gmean,pelvis_moment_sum_Gstd,pelvis_moment_sum_pospeak_mean,pelvis_moment_sum_pospeak_n,pelvis_moment_sum_pospeak_times,pelvis_moment_sum_integral,pelvis_moment_sum_range,spine_moment_sum_change_Gmean,spine_moment_sum_change_Gstd,spine_moment_sum_change_pospeak_mean,spine_moment_sum_change_pospeak_std,spine_moment_sum_change_pospeak_n,spine_moment_sum_change_pospeak_times,spine_moment_sum_change_integral,spine_moment_sum_change_range,pelvis_moment_sum_change_Gmean,pelvis_moment_sum_change_Gstd,pelvis_moment_sum_change_pospeak_mean,pelvis_moment_sum_change_pospeak_n,pelvis_moment_sum_change_pospeak_times,pelvis_moment_sum_change_integral,pelvis_moment_sum_change_range,envelope_Gmean,envelope_Gstd,envelope_pospeak_mean,envelope_pospeak_std,envelope_pospeak_n,envelope_pospeak_times,envelope_integral,envelope_range,envelope_change_Gmean,envelope_change_Gstd,envelope_change_pospeak_mean,envelope_change_pospeak_std,envelope_change_pospeak_n,envelope_change_pospeak_times,envelope_change_integral,envelope_change_range,f0_Gmean,f0_Gstd,f0_pospeak_n,f0_pospeak_times,f0_integral,f0_range,f1_clean_Gmean,f1_clean_Gstd,f1_clean_pospeak_n,f1_clean_pospeak_times,f1_clean_integral,f1_clean_range,f1_clean_vel_Gmean,f1_clean_vel_Gstd,f1_clean_vel_pospeak_mean,f1_clean_vel_pospeak_n,f1_clean_vel_pospeak_times,f1_clean_vel_range,f2_clean_Gmean,f2_clean_Gstd,f2_clean_pospeak_mean,f2_clean_pospeak_n,f2_clean_pospeak_times,f2_clean_integral,f2_clean_range,f2_clean_vel_Gmean,f2_clean_vel_Gstd,f2_clean_vel_pospeak_mean,f2_clean_vel_pospeak_std,f2_clean_vel_pospeak_n,f2_clean_vel_pospeak_times,f2_clean_vel_range,f3_clean_Gmean,f3_clean_Gstd,f3_clean_pospeak_mean,f3_clean_pospeak_std,f3_clean_pospeak_n,f3_clean_pospeak_times,f3_clean_integral,f3_clean_range,f3_clean_vel_Gmean,f3_clean_vel_Gstd,f3_clean_vel_pospeak_mean,f3_clean_vel_pospeak_std,f3_clean_vel_pospeak_n,f3_clean_vel_pospeak_times,f3_clean_vel_range,CoG_pospeak_n,CoG_pospeak_times,duration_voc,VSA_f1f2,body_nComp_80,body_slope_80,body_nComp_95,body_slope_95,arm_nComp_80,arm_slope_80,arm_nComp_95,arm_slope_95,arms_submovements,Wrist_tempVar,arm_coupling,arm_asymmetry,TrialID,concept,modality,correction,answer_fol,answer_fol_dist,answer_prev,answer_prev_dist,expressibility,response_time_sec,arm_moment_sum_pospeak_mean,arm_power_pospeak_std,pelvis_moment_sum_change_pospeak_std,pelvis_moment_sum_pospeak_std,f1_clean_vel_integral,f2_clean_vel_integral,f3_clean_vel_integral,arm_moment_sum_pospeak_std,lowerbody_moment_sum_pospeak_std,f1_clean_pospeak_mean,lowerbody_power_pospeak_std,leg_moment_sum_change_pospeak_std,f2_clean_pospeak_std,f1_clean_pospeak_std,f1_clean_vel_pospeak_std,CoG_Gmean,CoG_Gstd,CoG_pospeak_mean,CoG_pospeak_std,CoG_integral,CoG_range,concept_id,correction_info
,,,,,,,,,,,,1722.0,25.752,28.109,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.124,0.377,,0.0,[],-106.677,1.053,-0.79,0.139,,,0.0,[],-680.416,0.544,0.999,0.897,-0.411,,1.0,[968.0],860.495,3.006,-0.867,0.817,,0.0,[],-747.341,2.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.641,0.402,-0.192,,1.0,[1288.0],-551.709,1.298,-0.875,0.108,,,0.0,[],-753.631,0.432,0.356,0.809,-0.498,0.25,2.0,"[904.0, 1520.0]",306.259,3.189,0.095,0.965,-0.498,0.25,2.0,"[2384.0, 2700.0, 2950.0, 3218.0, 3566.0, 3800.0]",0.0,[],81.154,4.04,-0.141,0.967,-0.743,0.625,6.0,"[70.0, 452.0, 654.0, 904.0, 1268.0, 1518.0]",-120.939,3.712,1.207,1.518,0.056,,1.0,[936.0],1039.629,4.806,3.409,2.434,0.056,,1.0,"[2734.0, 3518.0]",0.0,[],2936.99,8.695,5.115,3.971,1.534,2.03,2.0,"[220.0, 936.0]",4405.361,14.59,1722.0,1.0,2.16,0.782,1.64,-0.61,0.183,6,"[56.0, 404.0, 692.0, 924.0, 1118.0, 1470.0]",670.766,8.215,0.883,0.415,0.036,1.04,2,"[586.0, 1404.0]",761.076,2.066,-2.222,0.74,-1.418,1,[652.0],-1914.409,3.254,-0.598,0.077,,,0,[],-514.742,0.328,-0.141,0.437,,0,[],-121.788,1.219,0.288,1.438,0.297,2.393,6.0,"[136.0, 438.0, 704.0, 990.0, 1416.0, 2126.0]",337.541,7.888,0.016,0.788,0.042,0.927,7.0,"[90.0, 478.0, 742.0, 946.0, 1372.0, 1904.0, 2286.0]",19.562,3.734,,,0.0,[],,,0.283,1.072,2.0,"[130.0, 484.0]",,3.758,0.027,0.763,,4.0,"[148.0, 372.0, 480.0, 582.0]",7.156,0.196,0.667,,1.0,[434.0],,2.841,-0.016,0.939,,,2.0,"[162.0, 586.0]",8.612,-0.448,0.269,,,2.0,"[164.0, 522.0]",,1.531,0.038,0.43,,,3.0,"[162.0, 390.0, 516.0]",3.335,0.0,[],2334.0,1.743,2,0.378,4,0.168,0,0.0,0,0.0,0,0,,0.0,0_2_73_p0,geur,geluiden,c0,ruiken,0.867,,,0.338,7.168,,,,,,,,,,,,,,,,,,,,,,geur_geluiden_p0,c0
,,,,,,,,,,,,2220.0,26.868,27.571,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.141,0.503,,0.0,[],-157.475,2.482,-1.283,0.111,,,0.0,[],-1424.302,0.496,-1.06,0.355,,,0.0,[],-1176.584,1.278,-0.742,0.671,5.043,1.0,[1022.0],-823.978,2.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.061,0.461,0.101,,1.0,[1634.0],-67.784,1.736,-0.597,0.637,,,0.0,[],-663.219,2.863,-0.213,0.683,-0.699,0.165,3.0,"[136.0, 1120.0, 1802.0]",-236.714,2.924,0.241,0.965,-0.699,0.165,3.0,"[2666.0, 3050.0, 3448.0, 3684.0, 3916.0, 4134.0, 4382.0, 4618.0]",0.0,[],266.668,4.386,0.127,0.95,-0.755,0.415,9.0,"[118.0, 320.0, 518.0, 870.0, 1134.0, 1352.0, 1584.0, 1820.0, 2052.0]",141.901,4.237,-1.071,0.444,-1.634,,1.0,[352.0],-1188.817,1.679,-0.492,0.857,-1.634,,1.0,"[3216.0, 3968.0]",0.0,[],-547.44,3.77,-0.218,1.5,-1.085,0.946,3.0,"[370.0, 1168.0, 1902.0]",-240.903,5.994,2220.0,1.0,2.43,-0.499,0.937,-1.042,0.287,11,"[258.0, 422.0, 598.0, 784.0, 970.0, 1110.0, 1222.0, 1358.0, 1592.0, 1862.0, 1984.0]",-553.735,4.54,-0.715,0.485,-0.75,0.419,3,"[852.0, 1634.0, 2100.0]",-793.87,3.294,0.779,0.618,-1.211,1,[1952.0],867.43,3.883,-0.381,0.99,,,0,[],-423.92,3.751,-0.189,0.686,,0,[],-211.212,3.138,0.805,2.106,-0.586,0.231,5.0,"[348.0, 488.0, 2246.0, 2970.0, 3426.0]",1417.739,7.888,-0.258,0.367,-0.336,0.508,5.0,"[164.0, 328.0, 652.0, 2194.0, 3020.0]",-453.579,1.735,,,0.0,[],,,-0.442,1.279,5.0,"[58.0, 186.0, 774.0, 890.0, 1106.0]",,5.174,0.1,1.761,0.09,5.0,"[32.0, 142.0, 258.0, 818.0, 1102.0]",18.546,0.031,0.677,0.17,5.0,"[84.0, 200.0, 774.0, 886.0, 1150.0]",,2.656,0.073,1.033,0.21,,4.0,"[142.0, 252.0, 838.0, 1112.0]",9.522,-0.487,0.425,-0.964,,2.0,"[144.0, 774.0]",,1.694,0.086,0.574,0.104,,4.0,"[142.0, 244.0, 818.0, 1120.0]",5.012,0.0,[],3518.0,1.866,3,0.254,4,0.194,0,0.0,0,0.0,0,0,,0.0,0_2_74_p0,geur,geluiden,c1,neus,0.33,ruiken,0.867,0.338,13.457,,,,,,,,,,0.03,,,0.685,0.11,,,,,,,,geur_geluiden_p0,c1
4032.0,26.813,29.551,7.986,,,,,,,,,3914.0,28.189,31.118,3.624,-4.808,1.316,3.0,"[1052.0, 2386.0, 3286.0]",-9695.851,7.559,-0.011,1.296,-0.341,,1.0,[218.0],-23.814,4.489,0.707,1.128,0.743,1.069,5.0,"[136.0, 1102.0, 1654.0, 2152.0, 2718.0]",1423.166,4.237,0.285,0.741,0.743,1.069,5.0,"[1152.0, 1468.0, 1868.0, 2118.0, 2468.0, 2684.0, 2900.0, 3300.0, 3500.0, 3816.0, 4168.0, 4382.0]",0.0,[],572.296,3.347,0.172,0.58,0.334,0.778,14.0,"[102.0, 422.0, 654.0, 1120.0, 1368.0, 1668.0, 1954.0, 2170.0, 2402.0, 2568.0, 2788.0, 3020.0, 3638.0, 3838.0]",345.959,3.045,0.529,1.259,0.361,0.47,4.0,"[320.0, 1552.0, 2120.0, 2704.0]",1063.901,4.713,1.247,1.44,0.361,0.47,4.0,"[682.0, 1316.0, 1916.0, 2500.0, 3050.0, 3618.0]",0.0,[],2511.939,6.006,1.713,1.46,2.368,1.298,6.0,"[354.0, 1002.0, 1602.0, 2152.0, 2704.0, 3320.0]",3451.26,6.059,-0.269,0.221,,0.0,[],-527.589,0.857,-1.238,0.198,,,0.0,[],-2423.01,0.672,0.019,0.896,-0.717,0.749,2.0,"[1732.0, 2790.0]",37.284,3.278,-0.026,1.008,-0.41,1.0,[1994.0],-52.975,3.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.103,0.586,-0.295,0.464,3.0,"[620.0, 1468.0, 3386.0]",-201.313,2.507,-0.484,0.452,-0.023,,1.0,[552.0],-948.446,1.497,-0.041,0.986,-0.46,0.647,5.0,"[1302.0, 1752.0, 2202.0, 2688.0, 3804.0]",-80.043,4.306,-0.141,1.04,-0.46,0.647,5.0,"[868.0, 1182.0, 1466.0, 1866.0, 2068.0, 2300.0, 2634.0, 3016.0, 3232.0, 3500.0, 3932.0, 4366.0]",0.0,[],-277.489,4.725,-0.233,0.945,-0.056,0.813,13.0,"[70.0, 338.0, 638.0, 1070.0, 1302.0, 1520.0, 1754.0, 2220.0, 2452.0, 2688.0, 2920.0, 3136.0, 3820.0]",-456.834,4.864,0.041,1.162,-0.492,1.098,2.0,"[1754.0, 2738.0]",78.997,4.218,1.186,1.663,-0.492,1.098,2.0,"[1082.0, 2068.0, 3000.0, 3918.0]",0.0,[],2320.589,7.206,1.909,2.774,2.747,2.843,4.0,"[738.0, 1920.0, 2720.0, 3670.0]",3734.632,10.204,4032.0,1.0,11.609,-0.364,0.686,-0.41,0.644,22,"[236.0, 372.0, 472.0, 614.0, 736.0, 924.0, 1054.0, 1170.0, 1296.0, 1430.0, 1648.0, 1886.0, 2028.0, 2308.0, 2458.0, 2638.0, 2966.0, 3098.0, 3246.0, 3566.0, 3682.0, 3888.0]",-733.898,3.198,3.852,0.898,3.157,1.607,3,"[702.0, 2286.0, 3802.0]",7767.336,4.358,-0.794,0.819,-2.113,1,[368.0],-1599.21,2.932,-0.632,0.395,-0.644,,1,[338.0],-1275.177,1.282,-0.311,0.289,,0,[],-628.071,1.097,0.281,1.843,-0.584,0.196,3.0,"[280.0, 936.0, 1336.0]",357.523,7.889,-0.243,0.505,-0.542,0.066,5.0,"[144.0, 312.0, 562.0, 986.0, 1284.0]",-308.236,2.724,,,0.0,[],,,0.239,0.376,0.0,[],,1.346,-0.07,0.498,,1.0,[84.0],2.376,0.219,0.229,,1.0,[104.0],,0.758,0.054,0.324,,,1.0,[86.0],1.454,-0.433,0.363,,,1.0,[104.0],,1.271,0.095,0.478,,,1.0,[92.0],2.404,0.0,[],2542.0,-0.494,3,0.228,6,0.115,3,0.198,5,0.122,"[7, 8]","[273.3384145869162, 161.76828982169755]",0.825,-2869.544,0_2_75_p0,geur,geluiden,c2,geur,1.0,neus,0.33,0.338,4.855,-5.012,,,,,,,0.295,,,,,,,,,,,,,,geur_geluiden_p0,c2
,,,,,,,,,,,,1632.0,24.829,28.494,6.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.151,0.083,,0.0,[],-123.03,0.349,-1.173,0.084,,,0.0,[],-957.142,0.266,1.232,0.78,-0.028,0.265,2.0,"[280.0, 1224.0]",1005.818,2.576,0.024,0.421,,0.0,[],18.202,1.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.394,0.778,0.863,,1.0,[1394.0],-321.806,2.433,-0.064,0.431,,,0.0,[],-52.744,1.659,4.565,2.601,0.057,0.76,2.0,"[394.0, 1096.0]",3727.908,8.171,3.636,2.745,0.057,0.76,2.0,"[1484.0, 1998.0, 2318.0, 2716.0, 2968.0]",0.0,[],2969.35,10.22,2.464,2.212,-0.403,0.913,5.0,"[126.0, 428.0, 744.0, 1126.0, 1426.0]",2012.551,8.151,1.497,1.337,-0.468,0.094,2.0,"[310.0, 1228.0]",1223.528,4.826,3.448,2.78,-0.468,0.094,2.0,[2218.0],0.0,[],2812.144,8.607,7.433,3.833,-0.564,1.506,2.0,"[410.0, 1228.0]",6071.53,13.251,1944.0,1.0,6.011,0.183,1.159,-0.363,0.739,10,"[176.0, 314.0, 586.0, 742.0, 908.0, 1148.0, 1288.0, 1456.0, 1654.0, 1758.0]",179.16,4.791,0.432,1.218,-0.881,2.767,2,"[190.0, 1072.0]",422.046,5.318,-0.457,0.819,-0.505,1,[1056.0],-443.402,2.553,-0.086,0.446,,,0,[],-83.866,1.738,-0.221,0.162,,0,[],-215.172,0.828,0.446,1.907,-0.641,0.118,3.0,"[208.0, 748.0, 1382.0]",359.095,7.858,-0.122,0.714,-0.572,0.0,2.0,"[122.0, 266.0]",-97.789,3.174,,,0.0,[],,,-2.528,1.229,1.0,[66.0],,4.251,-0.024,1.009,,1.0,[78.0],12.913,-1.863,0.773,,1.0,[146.0],,2.404,0.024,0.332,,,4.0,"[78.0, 194.0, 304.0, 434.0]",3.315,-1.258,0.232,,,2.0,"[80.0, 392.0]",,1.452,0.062,0.345,,,2.0,"[78.0, 388.0]",4.04,0.0,[],1604.0,1.901,2,0.306,4,0.146,0,0.0,0,0.0,0,0,,0.0,0_2_76_p0,vlieg,geluiden,c0,vliegen,0.883,,,0.567,8.628,,,,,,,,,,,,,,,,,,,,,,vlieg_geluiden_p0,c0
