,pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
714,15_2_30_p1,0.064,0.04,0.137,0.079
726,15_2_47_p0,0.047,0.017,0.112,0.05
739,15_2_62_p1,0.043,0.008,0.109,0.033
740,15_2_63_p1,0.048,0.015,0.119,0.048
747,15_2_6_p0,0.042,0.028,0.097,0.073
753,15_2_79_p0,0.053,0.028,0.135,0.086
770,15_2_96_p1,0.053,0.027,0.118,0.056
772,15_2_98_p1,0.056,0.01,0.149,0.035
773,15_2_99_p1,0.062,0.02,0.169,0.069
840,16_2_19_p1,0.045,0.008,0.098,0.024
845,16_2_24_p1,0.061,0.038,0.144,0.099
846,16_2_25_p1,0.052,0.012,0.095,0.027
861,16_2_45_p0,0.047,0.026,0.103,0.067
870,16_2_56_p1,0.044,0.009,0.1,0.032
874,16_2_5_p0,0.047,0.014,0.107,0.04
876,16_2_61_p1,0.056,0.013,0.114,0.023
877,16_2_62_p1,0.044,0.015,0.111,0.052
878,16_2_63_p1,0.06,0.031,0.127,0.056
931,17_1_39_p0,0.044,0.018,0.105,0.053
935,17_1_42_p0,0.043,0.006,0.088,0.018
937,17_1_44_p0,0.077,0.038,0.175,0.093
947,17_1_6_p0,0.047,0.017,0.105,0.041
1035,17_2_94_p0,0.043,0.022,0.101,0.066
1040,17_2_99_p0,0.058,0.031,0.131,0.077
1053,18_1_24_p0,0.055,0.022,0.155,0.085
1065,18_1_39_p0,0.051,0.021,0.124,0.054
1067,18_1_40_p0,0.044,0.031,0.089,0.055
1073,18_1_48_p1,0.044,0.013,0.094,0.038
1091,18_2_15_p0,0.049,0.033,0.096,0.06
1103,18_2_31_p1,0.063,0.028,0.141,0.065
1106,18_2_4_p0,0.056,0.01,0.149,0.031
1107,18_2_5_p0,0.041,0.023,0.091,0.06
1108,18_2_6_p0,0.043,0.018,0.101,0.061
1110,18_2_8_p0,0.043,0.019,0.097,0.051
1111,18_2_9_p0,0.051,0.021,0.112,0.06
1124,18_2_rein_44_p0,0.043,0.013,0.089,0.041
1147,18_2_rein_72_p1,0.043,0.02,0.1,0.064
1153,18_2_rein_80_p0,0.049,0.017,0.109,0.047
1157,18_2_rein_84_p0,0.064,0.031,0.147,0.081
1158,18_2_rein_85_p0,0.057,0.026,0.117,0.072
1162,18_2_rein_89_p0,0.045,0.015,0.09,0.038
1178,19_1_21_p0,0.055,0.026,0.126,0.076
1192,19_1_38_p0,0.059,0.021,0.147,0.058
1247,19_2_47_p0,0.043,0.005,0.082,0.012
1249,19_2_49_p0,0.05,0.018,0.117,0.054
1254,19_2_54_p0,0.057,0.021,0.126,0.066
1258,19_2_63_p1,0.055,0.028,0.142,0.09
1261,19_2_66_p1,0.044,0.019,0.104,0.062
1263,19_2_68_p1,0.071,0.032,0.188,0.099
1279,19_2_85_p0,0.051,0.023,0.117,0.111
1280,19_2_86_p0,0.057,0.048,0.145,0.189
1284,19_2_8_p0,0.041,0.013,0.092,0.038
1291,19_2_98_p1,0.049,0.009,0.118,0.024
1302,1_1_21_p0,0.046,0.021,0.097,0.058
1307,1_1_26_p0,0.042,0.026,0.083,0.066
1378,1_2_rein_100_p0,0.042,0.004,0.1,0.017
1379,1_2_rein_101_p0,0.042,0.005,0.093,0.021
1380,1_2_rein_102_p0,0.045,0.008,0.1,0.026
1386,1_2_rein_112_p1,0.043,0.008,0.111,0.037
1395,1_2_rein_121_p1,0.048,0.026,0.11,0.068
1406,1_2_rein_60_p0,0.066,0.027,0.164,0.079
1407,1_2_rein_61_p0,0.052,0.027,0.12,0.067
1409,1_2_rein_63_p0,0.05,0.016,0.119,0.047
1410,1_2_rein_64_p0,0.051,0.013,0.12,0.04
1414,1_2_rein_68_p0,0.064,0.039,0.136,0.102
1419,1_2_rein_79_p1,0.041,0.009,0.081,0.017
1436,1_2_rein_99_p0,0.06,0.026,0.15,0.09
1464,20_1_42_p0,0.043,0.016,0.099,0.05
1465,20_1_43_p0,0.056,0.029,0.123,0.071
1472,20_1_51_p1,0.044,0.026,0.105,0.082
1491,20_2_11_p0,0.054,0.033,0.117,0.059
1524,20_2_48_p0,0.056,0.023,0.12,0.046
1525,20_2_49_p0,0.058,0.036,0.137,0.097
1527,20_2_50_p0,0.053,0.029,0.124,0.082
1543,20_2_69_p1,0.042,0.02,0.103,0.062
1556,20_2_84_p0,0.044,0.019,0.096,0.044
1557,20_2_85_p0,0.048,0.015,0.107,0.048
1563,20_2_90_p0,0.044,0.012,0.102,0.032
1566,20_2_96_p1,0.049,0.028,0.107,0.074
1569,20_2_99_p1,0.043,0.026,0.093,0.063
