,pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
4929,50_2_45_p0,0.064,0.03,0.16,0.088
4931,50_2_47_p0,0.062,0.034,0.122,0.065
4932,50_2_48_p0,0.06,0.032,0.141,0.089
4938,50_2_54_p0,0.071,0.021,0.17,0.046
4954,50_2_71_p1,0.05,0.016,0.126,0.054
4955,50_2_72_p1,0.047,0.016,0.114,0.051
4959,50_2_76_p1,0.059,0.024,0.132,0.067
4964,50_2_83_p0,0.054,0.01,0.131,0.036
4970,50_2_89_p0,0.06,0.043,0.124,0.085
4988,51_1_22_p0,0.053,0.013,0.126,0.04
4990,51_1_24_p0,0.048,0.016,0.1,0.039
4998,51_1_33_p1,0.047,0.024,0.106,0.058
5002,51_1_39_p0,0.061,0.031,0.154,0.112
5007,51_1_43_p0,0.084,0.04,0.2,0.103
5013,51_1_50_p1,0.045,0.024,0.106,0.065
5015,51_1_52_p1,0.054,0.017,0.132,0.046
5054,51_2_48_p0,0.041,0.024,0.089,0.062
5056,51_2_50_p0,0.045,0.029,0.092,0.05
5059,51_2_53_p0,0.064,0.035,0.15,0.092
5063,51_2_57_p0,0.042,0.026,0.087,0.068
5066,51_2_62_p1,0.041,0.031,0.083,0.068
5069,51_2_65_p1,0.049,0.02,0.112,0.044
5072,51_2_68_p1,0.067,0.035,0.12,0.06
5085,51_2_82_p0,0.049,0.033,0.129,0.149
5086,51_2_83_p0,0.055,0.026,0.123,0.07
5089,51_2_86_p0,0.042,0.011,0.084,0.029
5090,51_2_87_p0,0.07,0.035,0.149,0.08
5093,51_2_93_p1,0.054,0.011,0.116,0.018
5095,51_2_95_p1,0.066,0.032,0.167,0.09
5099,51_2_99_p1,0.044,0.027,0.096,0.067
5105,52_1_15_p1,0.044,0.019,0.09,0.053
5109,52_1_21_p0,0.071,0.021,0.168,0.053
5111,52_1_23_p0,0.067,0.022,0.164,0.055
5116,52_1_2_p0,0.048,0.026,0.12,0.103
5122,52_1_35_p1,0.058,0.029,0.126,0.074
5177,52_2_4_p0,0.054,0.015,0.132,0.039
5188,52_2_5_p0,0.056,0.023,0.121,0.051
5196,52_2_69_p0,0.041,0.015,0.092,0.045
5198,52_2_70_p0,0.042,0.016,0.098,0.047
5203,52_2_75_p0,0.053,0.02,0.123,0.042
5204,52_2_76_p0,0.057,0.024,0.135,0.061
5209,52_2_84_p1,0.048,0.006,0.094,0.03
5210,52_2_85_p1,0.041,0.008,0.088,0.03
5215,52_2_8_p0,0.044,0.017,0.1,0.046
5217,52_2_91_p1,0.07,0.028,0.181,0.089
5221,52_2_95_p1,0.051,0.026,0.125,0.086
5228,53_1_14_p1,0.048,0.029,0.111,0.094
5281,53_2_12_p0,0.047,0.019,0.107,0.057
5285,53_2_16_p0,0.045,0.014,0.1,0.041
5289,53_2_22_p1,0.066,0.045,0.132,0.074
5297,53_2_30_p1,0.053,0.02,0.125,0.052
5333,53_2_80_p0,0.063,0.042,0.139,0.085
5343,53_2_8_p0,0.045,0.018,0.131,0.088
5354,54_1_13_p1,0.062,0.025,0.148,0.074
5355,54_1_14_p1,0.041,0.014,0.091,0.04
5374,54_1_38_p0,0.059,0.014,0.131,0.041
5375,54_1_39_p0,0.042,0.008,0.098,0.019
5377,54_1_40_p0,0.055,0.026,0.126,0.077
5381,54_1_44_p0,0.049,0.019,0.114,0.055
5382,54_1_47_p1,0.051,0.027,0.106,0.064
5383,54_1_48_p1,0.049,0.019,0.122,0.058
5384,54_1_49_p1,0.058,0.031,0.121,0.066
5388,54_1_52_p1,0.047,0.023,0.119,0.094
5393,54_1_8_p0,0.043,0.012,0.096,0.034
5396,54_2_10_p0,0.052,0.024,0.109,0.046
5397,54_2_11_p0,0.046,0.017,0.11,0.051
5398,54_2_15_p1,0.041,0.014,0.088,0.036
5400,54_2_17_p1,0.042,0.025,0.085,0.043
5401,54_2_18_p1,0.057,0.017,0.146,0.051
5403,54_2_20_p1,0.041,0.019,0.095,0.068
5405,54_2_22_p1,0.045,0.017,0.114,0.056
5406,54_2_23_p1,0.057,0.023,0.14,0.084
5407,54_2_24_p1,0.047,0.021,0.106,0.055
5408,54_2_25_p1,0.044,0.017,0.101,0.048
5409,54_2_26_p1,0.061,0.028,0.149,0.067
5410,54_2_27_p1,0.049,0.024,0.118,0.07
5411,54_2_28_p1,0.058,0.014,0.149,0.044
5425,54_2_4_p0,0.059,0.016,0.156,0.041
5430,54_2_9_p0,0.043,0.023,0.104,0.071
5433,54_2_rein_102_p1,0.043,0.019,0.109,0.079
5434,54_2_rein_103_p1,0.057,0.027,0.114,0.052
5437,54_2_rein_48_p1,0.051,0.02,0.116,0.054
5439,54_2_rein_50_p1,0.059,0.028,0.139,0.074
5441,54_2_rein_52_p1,0.042,0.028,0.085,0.053
5442,54_2_rein_53_p1,0.049,0.017,0.123,0.053
5444,54_2_rein_55_p1,0.045,0.021,0.104,0.06
5446,54_2_rein_57_p1,0.046,0.018,0.11,0.06
5464,54_2_rein_81_p0,0.049,0.033,0.127,0.105
5471,54_2_rein_92_p1,0.049,0.028,0.107,0.076
5473,54_2_rein_94_p1,0.07,0.021,0.182,0.061
5527,55_2_108_p1,0.046,0.02,0.113,0.067
5528,55_2_109_p1,0.048,0.021,0.116,0.069
5544,55_2_21_p1,0.055,0.022,0.138,0.075
5546,55_2_23_p1,0.062,0.035,0.151,0.099
5548,55_2_25_p1,0.062,0.033,0.149,0.092
5552,55_2_29_p1,0.064,0.019,0.135,0.045
5553,55_2_2_p0,0.042,0.007,0.096,0.024
5556,55_2_32_p1,0.042,0.015,0.098,0.046
5600,55_2_88_p0,0.043,0.027,0.097,0.071
5634,56_1_34_p1,0.064,0.036,0.147,0.075
5647,56_1_4_p0,0.048,0.018,0.125,0.064
5665,56_2_107_p1,0.046,0.023,0.119,0.073
5674,56_2_15_p0,0.041,0.008,0.087,0.021
5715,56_2_63_p0,0.045,0.02,0.106,0.052
5716,56_2_68_p1,0.054,0.023,0.15,0.081
5717,56_2_69_p1,0.045,0.027,0.111,0.081
5722,56_2_73_p1,0.041,0.008,0.098,0.032
5723,56_2_74_p1,0.056,0.023,0.13,0.051
5726,56_2_77_p1,0.047,0.024,0.113,0.07
5731,56_2_83_p0,0.058,0.02,0.135,0.06
5736,56_2_88_p0,0.055,0.036,0.121,0.088
5739,56_2_90_p0,0.048,0.021,0.119,0.068
5744,57_1_11_p1,0.067,0.052,0.232,0.255
5788,57_2_100_p1,0.043,0.019,0.089,0.046
5789,57_2_101_p1,0.048,0.021,0.123,0.087
5849,57_2_6_p0,0.055,0.029,0.135,0.094
5867,57_2_91_p0,0.057,0.038,0.125,0.095
5868,57_2_92_p0,0.047,0.019,0.108,0.058
5869,57_2_93_p0,0.046,0.022,0.107,0.068
5874,58_1_12_p1,0.059,0.03,0.131,0.07
5879,58_1_17_p1,0.049,0.025,0.121,0.08
5902,58_1_44_p0,0.05,0.032,0.118,0.079
5936,58_2_23_p1,0.048,0.025,0.114,0.07
5937,58_2_24_p1,0.047,0.029,0.106,0.069
5942,58_2_29_p1,0.042,0.027,0.094,0.072
5944,58_2_30_p1,0.047,0.033,0.101,0.082
5945,58_2_31_p1,0.048,0.018,0.114,0.048
5950,58_2_39_p0,0.07,0.031,0.178,0.083
5957,58_2_45_p0,0.049,0.025,0.118,0.071
5970,58_2_60_p1,0.05,0.025,0.109,0.057
5985,58_2_7_p0,0.043,0.03,0.093,0.072
5994,58_2_88_p0,0.055,0.022,0.129,0.065
6107,59_2_80_p0,0.043,0.012,0.103,0.05
6116,59_2_91_p1,0.043,0.017,0.107,0.053
6126,5_1_11_p1,0.046,0.023,0.101,0.063
6128,5_1_13_p1,0.059,0.016,0.152,0.053
6129,5_1_14_p1,0.06,0.015,0.14,0.051
6132,5_1_17_p1,0.06,0.021,0.125,0.046
6156,5_1_47_p1,0.069,0.023,0.159,0.065
6157,5_1_48_p1,0.073,0.028,0.138,0.055
6161,5_1_51_p1,0.047,0.013,0.092,0.035
6162,5_1_52_p1,0.052,0.024,0.114,0.071
6163,5_1_53_p1,0.055,0.016,0.125,0.046
6170,5_2_100_p1,0.041,0.008,0.104,0.039
6176,5_2_13_p0,0.074,0.032,0.173,0.08
6181,5_2_20_p1,0.053,0.016,0.117,0.052
6182,5_2_21_p1,0.062,0.022,0.137,0.06
6184,5_2_23_p1,0.05,0.015,0.104,0.055
6185,5_2_24_p1,0.043,0.016,0.088,0.04
6188,5_2_27_p1,0.066,0.035,0.152,0.096
6190,5_2_29_p1,0.063,0.02,0.15,0.06
6191,5_2_30_p1,0.057,0.023,0.128,0.068
6192,5_2_31_p1,0.049,0.031,0.107,0.085
6193,5_2_32_p1,0.045,0.026,0.095,0.077
6194,5_2_33_p1,0.056,0.023,0.131,0.05
6195,5_2_34_p1,0.048,0.012,0.119,0.048
6211,5_2_54_p1,0.05,0.016,0.118,0.047
6213,5_2_56_p1,0.061,0.019,0.129,0.05
6214,5_2_57_p1,0.052,0.031,0.109,0.081
6215,5_2_58_p1,0.068,0.026,0.146,0.054
6216,5_2_59_p1,0.046,0.028,0.097,0.08
6219,5_2_61_p1,0.056,0.027,0.127,0.077
6220,5_2_62_p1,0.053,0.022,0.11,0.065
6221,5_2_63_p1,0.046,0.016,0.105,0.049
6223,5_2_69_p0,0.052,0.023,0.142,0.095
6259,60_1_20_p0,0.042,0.019,0.098,0.062
6262,60_1_23_p0,0.041,0.017,0.097,0.049
6265,60_1_26_p0,0.041,0.029,0.078,0.049
6309,60_2_12_p0,0.051,0.03,0.111,0.077
6318,60_2_27_p1,0.044,0.019,0.113,0.052
6319,60_2_28_p1,0.042,0.018,0.112,0.059
6347,60_2_5_p0,0.047,0.017,0.117,0.049
6363,60_2_78_p0,0.045,0.026,0.107,0.07
6365,60_2_7_p0,0.047,0.025,0.104,0.06
6366,60_2_80_p0,0.044,0.023,0.104,0.065
6368,60_2_82_p0,0.044,0.028,0.104,0.071
6371,60_2_85_p0,0.047,0.015,0.1,0.031
6375,60_2_89_p0,0.048,0.026,0.101,0.051
6381,60_2_94_p0,0.056,0.026,0.143,0.064
6383,60_2_9_p0,0.046,0.025,0.098,0.061
6391,61_1_20_p0,0.045,0.019,0.092,0.045
6393,61_1_22_p0,0.062,0.027,0.141,0.072
6394,61_1_23_p0,0.044,0.018,0.096,0.053
6395,61_1_24_p0,0.059,0.024,0.139,0.067
6396,61_1_25_p0,0.051,0.02,0.116,0.054
6397,61_1_26_p0,0.044,0.013,0.103,0.047
6398,61_1_29_p1,0.056,0.022,0.137,0.07
6430,61_2_102_p1,0.053,0.021,0.112,0.05
6442,61_2_12_p0,0.052,0.024,0.123,0.073
6443,61_2_13_p0,0.056,0.019,0.131,0.051
6444,61_2_14_p0,0.054,0.024,0.12,0.061
6449,61_2_24_p1,0.048,0.031,0.102,0.082
6455,61_2_30_p1,0.059,0.026,0.15,0.082
6458,61_2_33_p1,0.047,0.019,0.103,0.051
6464,61_2_43_p0,0.041,0.015,0.096,0.051
6465,61_2_44_p0,0.042,0.014,0.094,0.042
6466,61_2_45_p0,0.056,0.021,0.139,0.069
6469,61_2_48_p0,0.082,0.029,0.209,0.098
6473,61_2_51_p0,0.051,0.016,0.116,0.049
6480,61_2_5_p0,0.052,0.015,0.137,0.048
6485,61_2_64_p1,0.055,0.023,0.14,0.083
6490,61_2_6_p0,0.045,0.014,0.104,0.041
6494,61_2_78_p0,0.045,0.007,0.11,0.03
6495,61_2_79_p0,0.049,0.016,0.114,0.044
6519,62_1_16_p1,0.043,0.013,0.102,0.04
6521,62_1_20_p0,0.041,0.014,0.089,0.041
6529,62_1_2_p0,0.046,0.032,0.101,0.081
6538,62_1_3_p0,0.049,0.028,0.123,0.084
6554,62_1_7_p0,0.044,0.024,0.099,0.062
6582,62_2_15_p0,0.066,0.021,0.159,0.072
6586,62_2_23_p1,0.043,0.022,0.104,0.073
6587,62_2_24_p1,0.051,0.034,0.123,0.12
6590,62_2_27_p1,0.053,0.018,0.14,0.059
6596,62_2_33_p1,0.062,0.039,0.161,0.14
6599,62_2_3_p0,0.05,0.006,0.124,0.028
6604,62_2_44_p0,0.046,0.02,0.115,0.057
6608,62_2_48_p0,0.046,0.037,0.111,0.105
6616,62_2_5_p0,0.045,0.019,0.101,0.048
6618,62_2_61_p1,0.046,0.029,0.113,0.098
6624,62_2_67_p1,0.055,0.036,0.116,0.075
6633,62_2_79_p0,0.058,0.027,0.122,0.048
6634,62_2_7_p0,0.041,0.012,0.094,0.04
6636,62_2_81_p0,0.041,0.018,0.088,0.05
6655,63_1_15_p1,0.054,0.036,0.101,0.062
6658,63_1_20_p0,0.069,0.02,0.169,0.051
6659,63_1_21_p0,0.073,0.073,0.179,0.225
6666,63_1_2_p0,0.042,0.02,0.098,0.072
6668,63_1_31_p1,0.064,0.027,0.156,0.073
6671,63_1_34_p1,0.057,0.019,0.134,0.058
6684,63_1_4_p0,0.072,0.029,0.197,0.1
6686,63_1_51_p1,0.041,0.011,0.095,0.04
6690,63_1_6_p0,0.042,0.021,0.098,0.068
6699,63_2_15_p1,0.046,0.005,0.116,0.035
6701,63_2_17_p1,0.059,0.032,0.136,0.092
6703,63_2_19_p1,0.044,0.013,0.104,0.038
6704,63_2_23_p0,0.074,0.026,0.152,0.043
6706,63_2_25_p0,0.046,0.014,0.09,0.03
6715,63_2_35_p1,0.042,0.016,0.082,0.048
6717,63_2_37_p1,0.06,0.034,0.141,0.099
6724,63_2_43_p1,0.043,0.01,0.092,0.033
6727,63_2_46_p1,0.044,0.014,0.103,0.042
6737,63_2_5_p0,0.061,0.025,0.167,0.108
6752,63_2_77_p1,0.045,0.024,0.1,0.061
6771,64_1_23_p0,0.052,0.025,0.125,0.066
6773,64_1_25_p0,0.047,0.025,0.105,0.065
6774,64_1_26_p0,0.046,0.009,0.115,0.029
6775,64_1_29_p1,0.064,0.022,0.165,0.059
6782,64_1_35_p1,0.05,0.02,0.113,0.046
6788,64_1_42_p0,0.069,0.037,0.219,0.161
6792,64_1_48_p1,0.05,0.019,0.118,0.057
6794,64_1_4_p0,0.068,0.016,0.167,0.051
6799,64_1_5_p0,0.046,0.03,0.098,0.079
6801,64_1_7_p0,0.046,0.028,0.097,0.072
6808,64_2_103_p1,0.057,0.029,0.122,0.057
6813,64_2_108_p1,0.049,0.027,0.117,0.074
6817,64_2_13_p0,0.044,0.015,0.094,0.042
6828,64_2_26_p1,0.044,0.016,0.095,0.049
6831,64_2_29_p1,0.098,0.05,0.243,0.23
6837,64_2_39_p0,0.052,0.021,0.128,0.073
6844,64_2_46_p0,0.043,0.019,0.086,0.046
6872,64_2_81_p0,0.041,0.014,0.091,0.037
6874,64_2_83_p0,0.045,0.013,0.102,0.047
6877,64_2_86_p0,0.049,0.031,0.091,0.052
6879,64_2_88_p0,0.043,0.019,0.097,0.046
6880,64_2_89_p0,0.051,0.025,0.112,0.059
6891,65_1_13_p1,0.043,0.008,0.099,0.032
6945,65_2_24_p1,0.05,0.012,0.161,0.069
6946,65_2_25_p1,0.041,0.009,0.089,0.03
6955,65_2_36_p0,0.043,0.011,0.103,0.055
6996,65_2_81_p0,0.041,0.01,0.096,0.037
7002,65_2_87_p0,0.041,0.014,0.095,0.059
7017,66_1_15_p1,0.044,0.006,0.102,0.021
7057,66_2_100_p1,0.053,0.024,0.112,0.052
7099,66_2_58_p1,0.052,0.011,0.116,0.037
7103,66_2_61_p1,0.06,0.034,0.115,0.053
7105,66_2_63_p1,0.044,0.011,0.089,0.034
7146,67_1_21_p0,0.05,0.023,0.112,0.062
7205,67_2_34_p1,0.05,0.019,0.113,0.051
7217,67_2_46_p1,0.061,0.024,0.159,0.079
7220,67_2_53_p0,0.044,0.024,0.088,0.049
7226,67_2_63_p1,0.041,0.009,0.087,0.024
7228,67_2_65_p1,0.041,0.01,0.093,0.033
7244,67_2_81_p0,0.042,0.014,0.097,0.042
7248,67_2_85_p0,0.053,0.015,0.12,0.058
7254,67_2_92_p1,0.041,0.023,0.091,0.067
7279,69_1_30_p1,0.049,0.013,0.119,0.05
7288,69_1_40_p0,0.049,0.009,0.106,0.036
7290,69_1_42_p0,0.044,0.008,0.085,0.022
7335,69_2_20_p0,0.058,0.028,0.125,0.07
7370,69_2_67_p1,0.041,0.006,0.091,0.025
7372,69_2_69_p1,0.059,0.022,0.143,0.06
7375,69_2_71_p1,0.049,0.03,0.119,0.098
7376,69_2_72_p1,0.056,0.035,0.124,0.086
7381,69_2_7_p0,0.042,0.005,0.087,0.017
7392,69_2_8_p0,0.044,0.01,0.093,0.03
7412,6_1_25_p0,0.047,0.02,0.108,0.053
7419,6_1_33_p1,0.041,0.012,0.105,0.065
7428,6_1_43_p0,0.041,0.013,0.097,0.052
7448,6_2_105_p1,0.062,0.021,0.162,0.063
7452,6_2_109_p1,0.067,0.026,0.174,0.077
7465,6_2_17_p0,0.059,0.025,0.147,0.071
7469,6_2_21_p0,0.042,0.024,0.087,0.057
7492,6_2_53_p0,0.046,0.025,0.094,0.048
7503,6_2_63_p0,0.057,0.013,0.117,0.044
7519,6_2_83_p0,0.05,0.029,0.12,0.078
7520,6_2_84_p0,0.055,0.019,0.122,0.068
7521,6_2_85_p0,0.052,0.012,0.117,0.04
7522,6_2_86_p0,0.05,0.016,0.112,0.05
7528,6_2_91_p0,0.041,0.022,0.097,0.062
7544,70_1_21_p0,0.048,0.016,0.123,0.043
7547,70_1_24_p0,0.09,0.042,0.202,0.089
7559,70_1_39_p0,0.054,0.018,0.117,0.047
7566,70_1_47_p1,0.065,0.057,0.117,0.095
7586,70_2_10_p0,0.043,0.017,0.109,0.044
7594,70_2_21_p1,0.054,0.029,0.124,0.084
7617,70_2_43_p0,0.06,0.028,0.126,0.065
7624,70_2_4_p0,0.073,0.023,0.176,0.063
7625,70_2_50_p0,0.05,0.022,0.122,0.064
7630,70_2_58_p1,0.061,0.03,0.145,0.071
7652,70_2_7_p0,0.063,0.02,0.146,0.057
7676,71_2_103_p1,0.054,0.026,0.13,0.081
7683,71_2_10_p0,0.071,0.028,0.144,0.06
7697,71_2_23_p1,0.043,0.065,0.121,0.308
7701,71_2_27_p1,0.05,0.028,0.114,0.076
7737,71_2_70_p1,0.056,0.041,0.163,0.208
7750,71_2_84_p0,0.051,0.019,0.117,0.058
7794,72_1_48_p1,0.05,0.017,0.119,0.056
7809,72_2_102_p0,0.041,0.017,0.096,0.055
7811,72_2_108_p1,0.046,0.008,0.093,0.023
7827,72_2_22_p1,0.044,0.01,0.085,0.022
7839,72_2_34_p1,0.047,0.014,0.114,0.044
7887,72_2_90_p0,0.046,0.014,0.109,0.04
7918,8_2_104_p1,0.062,0.025,0.145,0.066
7924,8_2_12_p0,0.043,0.019,0.094,0.04
7925,8_2_13_p0,0.067,0.019,0.156,0.042
7926,8_2_18_p1,0.051,0.024,0.095,0.044
7927,8_2_19_p1,0.068,0.03,0.156,0.068
7928,8_2_20_p1,0.059,0.028,0.136,0.083
7929,8_2_21_p1,0.063,0.03,0.141,0.069
7930,8_2_22_p1,0.07,0.033,0.161,0.093
7932,8_2_24_p1,0.043,0.017,0.092,0.047
7933,8_2_25_p1,0.052,0.016,0.132,0.043
7934,8_2_26_p1,0.06,0.031,0.137,0.082
7935,8_2_27_p1,0.09,0.051,0.187,0.112
7936,8_2_28_p1,0.068,0.033,0.132,0.054
7937,8_2_29_p1,0.085,0.057,0.173,0.118
7940,8_2_32_p1,0.054,0.033,0.134,0.101
7941,8_2_33_p1,0.043,0.012,0.088,0.037
7943,8_2_37_p0,0.059,0.026,0.154,0.09
7945,8_2_39_p0,0.073,0.029,0.187,0.088
7947,8_2_41_p0,0.067,0.036,0.167,0.1
7948,8_2_42_p0,0.065,0.03,0.151,0.075
7952,8_2_46_p0,0.042,0.019,0.097,0.056
7954,8_2_48_p0,0.044,0.018,0.103,0.055
7955,8_2_52_p1,0.062,0.026,0.147,0.067
7956,8_2_53_p1,0.048,0.026,0.112,0.071
7958,8_2_55_p1,0.049,0.02,0.102,0.053
7959,8_2_56_p1,0.068,0.033,0.142,0.072
7960,8_2_57_p1,0.054,0.029,0.118,0.069
7961,8_2_58_p1,0.05,0.023,0.114,0.062
7962,8_2_59_p1,0.068,0.033,0.147,0.077
7987,8_2_8_p0,0.056,0.019,0.134,0.057
8045,9_2_104_p1,0.047,0.044,0.107,0.149
8046,9_2_105_p1,0.052,0.04,0.139,0.134
8048,9_2_107_p1,0.07,0.093,0.223,0.394
8050,9_2_109_p1,0.046,0.012,0.11,0.047
8080,9_2_38_p1,0.059,0.026,0.219,0.146
8098,9_2_64_p1,0.056,0.075,0.193,0.395
8099,9_2_65_p1,0.046,0.01,0.097,0.025
8103,9_2_69_p1,0.045,0.018,0.116,0.067
