pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
10_2_94_p1,0.039,0.009,0.084,0.035
10_2_95_p1,0.036,0.004,0.075,0.021
10_2_96_p1,0.035,0.004,0.07,0.014
10_2_97_p1,0.058,0.024,0.146,0.084
10_2_98_p1,0.055,0.033,0.103,0.058
10_2_99_p1,0.032,0.001,0.058,0.004
10_2_9_p0,0.031,0.003,0.064,0.013
11_1_11_p1,0.025,0.003,0.053,0.016
11_1_12_p1,0.027,0.003,0.059,0.013
11_1_13_p1,0.031,0.006,0.065,0.019
11_1_14_p1,0.027,0.005,0.052,0.01
11_1_15_p1,0.025,0.002,0.045,0.007
11_1_16_p1,0.027,0.003,0.054,0.011
11_1_17_p1,0.027,0.002,0.049,0.007
11_1_20_p0,0.029,0.004,0.054,0.008
11_1_21_p0,0.039,0.003,0.069,0.011
11_1_22_p0,0.033,0.008,0.065,0.014
11_1_23_p0,0.034,0.005,0.065,0.014
11_1_24_p0,0.03,0.002,0.049,0.005
11_1_25_p0,0.033,0.006,0.066,0.011
11_1_26_p0,0.029,0.003,0.052,0.009
11_1_29_p1,0.029,0.004,0.061,0.012
11_1_2_p0,0.03,0.004,0.057,0.018
11_1_30_p1,0.028,0.006,0.057,0.013
11_1_31_p1,0.025,0.003,0.05,0.009
11_1_32_p1,0.025,0.002,0.046,0.008
11_1_33_p1,0.024,0.002,0.044,0.006
11_1_34_p1,0.028,0.004,0.053,0.009
11_1_35_p1,0.027,0.003,0.055,0.011
11_1_38_p0,0.025,0.002,0.045,0.006
11_1_39_p0,0.025,0.002,0.043,0.005
11_1_3_p0,0.065,0.018,0.159,0.051
11_1_40_p0,0.027,0.004,0.047,0.007
11_1_41_p0,0.028,0.003,0.049,0.008
11_1_42_p0,0.028,0.002,0.05,0.006
11_1_43_p0,0.027,0.003,0.044,0.006
11_1_44_p0,0.026,0.002,0.046,0.004
11_1_47_p1,0.024,0.003,0.045,0.007
11_1_48_p1,0.024,0.002,0.044,0.005
11_1_49_p1,0.033,0.016,0.067,0.05
11_1_4_p0,0.035,0.009,0.067,0.019
11_1_50_p1,0.023,0.002,0.045,0.007
11_1_51_p1,0.024,0.002,0.044,0.006
11_1_52_p1,0.024,0.002,0.043,0.007
11_1_53_p1,0.024,0.001,0.04,0.004
11_1_5_p0,0.04,0.012,0.1,0.06
11_1_6_p0,0.043,0.005,0.104,0.019
11_1_7_p0,0.058,0.024,0.131,0.071
11_1_8_p0,0.049,0.025,0.097,0.047
11_1_tpose_p0,0.03,0.001,0.049,0.004
11_1_tpose_p1,0.026,0.001,0.052,0.004
11_2_100_p1,0.042,0.015,0.111,0.054
11_2_101_p1,0.038,0.026,0.084,0.077
11_2_102_p1,0.03,0.009,0.062,0.033
11_2_103_p1,0.028,0.006,0.063,0.023
11_2_104_p1,0.028,0.003,0.06,0.015
11_2_105_p1,0.027,0.004,0.058,0.011
11_2_106_p1,0.027,0.005,0.055,0.012
11_2_107_p1,0.029,0.007,0.059,0.019
11_2_108_p1,0.027,0.002,0.057,0.011
11_2_109_p1,0.035,0.01,0.071,0.023
11_2_10_p0,0.027,0.003,0.054,0.009
11_2_110_p1,0.03,0.003,0.052,0.006
11_2_11_p0,0.026,0.002,0.048,0.005
11_2_12_p0,0.026,0.002,0.049,0.007
11_2_13_p0,0.027,0.002,0.049,0.005
11_2_14_p0,0.026,0.001,0.049,0.004
11_2_15_p0,0.032,0.003,0.061,0.01
11_2_16_p0,0.034,0.003,0.063,0.011
11_2_17_p0,0.027,0.002,0.049,0.007
11_2_18_p0,0.027,0.002,0.052,0.009
11_2_19_p0,0.025,0.002,0.046,0.005
11_2_24_p1,0.024,0.003,0.043,0.005
11_2_25_p1,0.026,0.003,0.05,0.009
11_2_26_p1,0.025,0.001,0.043,0.003
11_2_27_p1,0.025,0.001,0.044,0.002
11_2_28_p1,0.026,0.001,0.052,0.005
11_2_29_p1,0.025,0.002,0.043,0.006
11_2_30_p1,0.024,0.001,0.045,0.002
11_2_31_p1,0.026,0.001,0.046,0.003
11_2_32_p1,0.025,0.001,0.042,0.002
11_2_33_p1,0.023,0.001,0.041,0.005
11_2_34_p1,0.026,0.002,0.043,0.003
11_2_35_p1,0.025,0.001,0.043,0.003
