pcnfolder,mean_marker_error_RMS,sd_marker_error_RMS,mean_marker_error_max,sd_marker_error_max
20_2_5_p0,0.03,0.002,0.058,0.011
20_2_60_p0,0.033,0.008,0.072,0.022
20_2_61_p0,0.029,0.004,0.059,0.017
20_2_66_p1,0.028,0.004,0.059,0.014
20_2_67_p1,0.029,0.003,0.066,0.016
20_2_68_p1,0.029,0.003,0.059,0.01
20_2_69_p1,0.042,0.02,0.103,0.062
20_2_6_p0,0.034,0.006,0.063,0.012
20_2_70_p1,0.031,0.004,0.064,0.017
20_2_71_p1,0.029,0.004,0.058,0.011
20_2_72_p1,0.029,0.004,0.059,0.011
20_2_73_p1,0.028,0.005,0.061,0.016
20_2_74_p1,0.032,0.006,0.066,0.016
20_2_75_p1,0.028,0.003,0.057,0.009
20_2_76_p1,0.027,0.002,0.049,0.007
20_2_77_p1,0.032,0.007,0.064,0.02
20_2_78_p1,0.031,0.003,0.069,0.012
20_2_7_p0,0.031,0.004,0.061,0.012
20_2_83_p0,0.039,0.018,0.083,0.052
20_2_84_p0,0.044,0.019,0.096,0.044
20_2_85_p0,0.048,0.015,0.107,0.048
20_2_86_p0,0.03,0.004,0.071,0.019
20_2_87_p0,0.034,0.004,0.073,0.018
20_2_88_p0,0.033,0.004,0.072,0.019
20_2_89_p0,0.037,0.007,0.079,0.026
20_2_8_p0,0.03,0.003,0.06,0.008
20_2_90_p0,0.044,0.012,0.102,0.032
20_2_94_p1,0.028,0.004,0.06,0.011
20_2_95_p1,0.039,0.022,0.088,0.059
20_2_96_p1,0.049,0.028,0.107,0.074
20_2_97_p1,0.027,0.004,0.056,0.017
20_2_98_p1,0.027,0.005,0.053,0.009
20_2_99_p1,0.043,0.026,0.093,0.063
20_2_9_p0,0.046,0.014,0.104,0.043
21_1_11_p1,0.022,0.001,0.043,0.004
21_1_12_p1,0.022,0.002,0.042,0.007
21_1_13_p1,0.023,0.002,0.044,0.004
21_1_14_p1,0.021,0.002,0.04,0.005
21_1_15_p1,0.023,0.002,0.045,0.007
21_1_16_p1,0.023,0.002,0.044,0.007
21_1_17_p1,0.021,0.002,0.039,0.006
21_1_20_p0,0.027,0.003,0.049,0.008
21_1_21_p0,0.03,0.004,0.057,0.009
21_1_22_p0,0.033,0.005,0.066,0.019
21_1_23_p0,0.039,0.016,0.084,0.047
21_1_24_p0,0.03,0.004,0.06,0.014
21_1_25_p0,0.029,0.003,0.056,0.01
21_1_26_p0,0.03,0.004,0.055,0.008
21_1_29_p1,0.025,0.001,0.045,0.004
21_1_2_p0,0.028,0.004,0.053,0.005
21_1_30_p1,0.072,0.037,0.153,0.08
21_1_31_p1,0.028,0.007,0.06,0.028
21_1_32_p1,0.023,0.002,0.038,0.004
21_1_33_p1,0.037,0.005,0.075,0.014
21_1_34_p1,0.025,0.002,0.044,0.005
21_1_35_p1,0.031,0.018,0.068,0.049
21_1_38_p0,0.031,0.006,0.061,0.016
21_1_39_p0,0.029,0.004,0.065,0.024
21_1_3_p0,0.026,0.005,0.048,0.008
21_1_40_p0,0.027,0.004,0.054,0.012
21_1_41_p0,0.027,0.005,0.049,0.01
21_1_42_p0,0.028,0.002,0.051,0.008
21_1_43_p0,0.027,0.002,0.051,0.012
21_1_44_p0,0.03,0.004,0.06,0.016
21_1_47_p1,0.04,0.023,0.082,0.059
21_1_48_p1,0.031,0.004,0.066,0.015
21_1_49_p1,0.037,0.011,0.085,0.037
21_1_4_p0,0.029,0.003,0.056,0.004
21_1_50_p1,0.029,0.004,0.061,0.018
21_1_51_p1,0.026,0.002,0.047,0.011
21_1_52_p1,0.029,0.006,0.063,0.022
21_1_53_p1,0.046,0.018,0.105,0.049
21_1_5_p0,0.028,0.002,0.052,0.007
21_1_6_p0,0.028,0.005,0.048,0.013
21_1_7_p0,0.027,0.005,0.05,0.01
21_1_8_p0,0.029,0.002,0.056,0.005
21_1_tpose_p0,0.025,0.001,0.046,0.004
21_1_tpose_p1,0.022,0.001,0.038,0.002
22_1_11_p1,0.025,0.001,0.047,0.003
22_1_12_p1,0.026,0.002,0.049,0.004
22_1_13_p1,0.026,0.002,0.051,0.005
22_1_14_p1,0.027,0.001,0.054,0.004
22_1_15_p1,0.025,0.003,0.049,0.004
22_1_16_p1,0.028,0.001,0.054,0.004
22_1_17_p1,0.026,0.001,0.05,0.004
22_1_20_p0,0.051,0.027,0.115,0.07
22_1_21_p0,0.033,0.005,0.067,0.009
22_1_22_p0,0.032,0.002,0.064,0.007
22_1_23_p0,0.032,0.004,0.068,0.023
22_1_24_p0,0.032,0.003,0.07,0.009
22_1_25_p0,0.036,0.008,0.076,0.018
22_1_26_p0,0.033,0.002,0.07,0.008
22_1_29_p1,0.028,0.002,0.059,0.008
22_1_2_p0,0.031,0.002,0.053,0.004
22_1_30_p1,0.033,0.004,0.066,0.012
22_1_31_p1,0.027,0.002,0.049,0.004
22_1_32_p1,0.033,0.004,0.066,0.008
22_1_33_p1,0.031,0.003,0.061,0.009
22_1_34_p1,0.032,0.002,0.065,0.011
22_1_35_p1,0.035,0.004,0.077,0.014
22_1_38_p0,0.028,0.002,0.056,0.006
22_1_39_p0,0.033,0.003,0.066,0.008
22_1_3_p0,0.03,0.003,0.06,0.008
22_1_40_p0,0.03,0.003,0.061,0.009
22_1_41_p0,0.032,0.004,0.06,0.007
22_1_42_p0,0.034,0.005,0.073,0.015
22_1_43_p0,0.033,0.002,0.067,0.007
22_1_44_p0,0.032,0.002,0.063,0.005
22_1_47_p1,0.038,0.006,0.08,0.009
22_1_48_p1,0.027,0.002,0.052,0.006
22_1_49_p1,0.037,0.005,0.068,0.011
22_1_4_p0,0.03,0.003,0.054,0.005
22_1_50_p1,0.054,0.02,0.111,0.051
22_1_51_p1,0.028,0.002,0.056,0.007
22_1_52_p1,0.033,0.003,0.065,0.009
22_1_53_p1,0.027,0.002,0.055,0.009
22_1_5_p0,0.027,0.002,0.048,0.007
22_1_6_p0,0.028,0.002,0.049,0.004
22_1_7_p0,0.028,0.002,0.055,0.003
22_1_8_p0,0.026,0.002,0.054,0.006
22_1_tpose_p0,0.03,0.002,0.065,0.004
22_1_tpose_p1,0.029,0.001,0.056,0.003
22_2_100_p1,0.03,0.002,0.062,0.011
22_2_101_p1,0.027,0.002,0.05,0.005
22_2_102_p1,0.031,0.003,0.062,0.01
22_2_103_p1,0.032,0.003,0.067,0.009
22_2_104_p1,0.04,0.007,0.083,0.032
22_2_105_p1,0.035,0.003,0.073,0.01
22_2_106_p1,0.034,0.005,0.067,0.008
22_2_107_p1,0.037,0.006,0.071,0.013
22_2_108_p1,0.032,0.003,0.065,0.007
22_2_109_p1,0.032,0.004,0.063,0.013
22_2_10_p0,0.033,0.003,0.072,0.024
22_2_110_p1,0.034,0.009,0.075,0.028
22_2_111_p1,0.048,0.012,0.106,0.04
22_2_112_p1,0.029,0.007,0.059,0.016
22_2_113_p1,0.027,0.003,0.06,0.004
22_2_11_p0,0.032,0.003,0.078,0.018
22_2_12_p0,0.034,0.003,0.065,0.01
22_2_18_p1,0.031,0.003,0.07,0.011
22_2_19_p1,0.031,0.004,0.064,0.017
22_2_20_p1,0.032,0.003,0.07,0.009
22_2_21_p1,0.03,0.003,0.059,0.008
22_2_22_p1,0.058,0.013,0.122,0.042
22_2_23_p1,0.029,0.003,0.06,0.006
22_2_24_p1,0.028,0.002,0.057,0.006
22_2_25_p1,0.029,0.003,0.059,0.007
22_2_26_p1,0.029,0.002,0.058,0.008
22_2_27_p1,0.028,0.003,0.055,0.005
22_2_28_p1,0.031,0.005,0.064,0.011
22_2_29_p1,0.032,0.004,0.069,0.009
22_2_30_p1,0.031,0.004,0.067,0.018
22_2_31_p1,0.034,0.006,0.076,0.027
22_2_32_p1,0.045,0.019,0.11,0.063
22_2_33_p1,0.031,0.003,0.059,0.007
22_2_38_p0,0.03,0.003,0.057,0.009
22_2_39_p0,0.033,0.003,0.063,0.006
22_2_40_p0,0.03,0.001,0.061,0.006
22_2_41_p0,0.029,0.003,0.057,0.007
22_2_42_p0,0.03,0.003,0.059,0.008
22_2_43_p0,0.03,0.004,0.06,0.007
22_2_44_p0,0.028,0.002,0.054,0.006
22_2_45_p0,0.027,0.003,0.05,0.005
22_2_46_p0,0.027,0.002,0.049,0.004
22_2_47_p0,0.026,0.002,0.048,0.006
22_2_48_p0,0.029,0.003,0.051,0.005
22_2_49_p0,0.029,0.002,0.052,0.006
22_2_4_p0,0.03,0.003,0.06,0.009
22_2_50_p0,0.026,0.002,0.048,0.005
22_2_51_p0,0.028,0.002,0.05,0.007
22_2_52_p0,0.026,0.002,0.048,0.004
22_2_53_p0,0.028,0.002,0.055,0.008
22_2_54_p0,0.028,0.002,0.055,0.005
22_2_5_p0,0.03,0.003,0.056,0.007
22_2_61_p1,0.027,0.001,0.055,0.004
22_2_62_p1,0.029,0.001,0.056,0.005
22_2_63_p1,0.029,0.002,0.051,0.002
22_2_64_p1,0.028,0.001,0.05,0.004
22_2_65_p1,0.028,0.002,0.054,0.004
22_2_66_p1,0.026,0.002,0.051,0.005
22_2_67_p1,0.027,0.001,0.051,0.004
22_2_68_p1,0.027,0.002,0.058,0.004
22_2_69_p1,0.028,0.002,0.056,0.006
22_2_6_p0,0.034,0.005,0.065,0.01
22_2_70_p1,0.026,0.002,0.057,0.004
22_2_71_p1,0.026,0.003,0.057,0.002
22_2_72_p1,0.026,0.002,0.054,0.003
22_2_73_p1,0.026,0.001,0.054,0.004
22_2_74_p1,0.025,0.002,0.054,0.004
22_2_75_p1,0.025,0.002,0.052,0.003
22_2_76_p1,0.027,0.001,0.053,0.003
22_2_7_p0,0.029,0.004,0.059,0.017
22_2_81_p0,0.034,0.012,0.076,0.03
22_2_82_p0,0.039,0.005,0.088,0.019
22_2_83_p0,0.04,0.006,0.092,0.023
22_2_84_p0,0.027,0.002,0.053,0.008
22_2_85_p0,0.028,0.002,0.05,0.006
22_2_86_p0,0.031,0.002,0.056,0.007
22_2_87_p0,0.027,0.003,0.055,0.007
22_2_88_p0,0.03,0.003,0.062,0.014
22_2_89_p0,0.029,0.003,0.062,0.014
22_2_8_p0,0.028,0.002,0.054,0.012
22_2_90_p0,0.035,0.003,0.066,0.009
22_2_91_p0,0.027,0.003,0.055,0.012
22_2_92_p0,0.03,0.003,0.066,0.012
22_2_93_p0,0.029,0.003,0.055,0.007
22_2_94_p0,0.03,0.004,0.061,0.012
22_2_95_p0,0.033,0.005,0.07,0.011
22_2_9_p0,0.032,0.005,0.064,0.016
23_1_11_p1,0.031,0.002,0.068,0.009
23_1_12_p1,0.036,0.006,0.069,0.028
23_1_13_p1,0.032,0.005,0.062,0.019
23_1_14_p1,0.028,0.003,0.056,0.01
23_1_15_p1,0.032,0.005,0.066,0.025
23_1_16_p1,0.028,0.002,0.049,0.006
23_1_17_p1,0.029,0.002,0.052,0.008
23_1_20_p0,0.026,0.001,0.043,0.003
23_1_21_p0,0.026,0.001,0.044,0.003
23_1_22_p0,0.026,0.002,0.045,0.005
23_1_23_p0,0.026,0.002,0.047,0.007
23_1_24_p0,0.026,0.001,0.045,0.004
23_1_25_p0,0.026,0.001,0.046,0.003
23_1_26_p0,0.027,0.002,0.049,0.007
23_1_29_p1,0.026,0.002,0.053,0.012
23_1_2_p0,0.048,0.033,0.089,0.058
23_1_30_p1,0.025,0.003,0.048,0.005
23_1_31_p1,0.027,0.001,0.048,0.004
23_1_32_p1,0.023,0.001,0.047,0.003
23_1_33_p1,0.025,0.001,0.043,0.004
23_1_34_p1,0.026,0.001,0.047,0.003
23_1_35_p1,0.027,0.002,0.05,0.005
23_1_38_p0,0.047,0.021,0.107,0.057
23_1_39_p0,0.028,0.003,0.053,0.007
23_1_3_p0,0.032,0.004,0.063,0.01
23_1_40_p0,0.032,0.004,0.069,0.015
23_1_41_p0,0.043,0.015,0.106,0.057
23_1_42_p0,0.031,0.004,0.06,0.009
23_1_43_p0,0.031,0.004,0.059,0.011
23_1_44_p0,0.046,0.033,0.105,0.097
23_1_47_p1,0.029,0.006,0.059,0.022
23_1_48_p1,0.041,0.019,0.084,0.042
23_1_49_p1,0.031,0.004,0.069,0.012
23_1_4_p0,0.04,0.008,0.067,0.014
23_1_50_p1,0.028,0.003,0.05,0.011
23_1_51_p1,0.028,0.003,0.053,0.008
23_1_52_p1,0.03,0.004,0.061,0.011
23_1_53_p1,0.027,0.003,0.047,0.007
23_1_5_p0,0.034,0.005,0.066,0.013
23_1_6_p0,0.035,0.009,0.077,0.03
23_1_7_p0,0.038,0.01,0.095,0.054
23_1_8_p0,0.053,0.033,0.115,0.078
23_1_tpose_p0,0.028,0.001,0.057,0.005
23_1_tpose_p1,0.026,0.001,0.05,0.003
24_1_11_p1,0.023,0.001,0.041,0.003
24_1_12_p1,0.032,0.004,0.059,0.008
24_1_13_p1,0.033,0.002,0.066,0.008
24_1_14_p1,0.044,0.005,0.086,0.021
24_1_15_p1,0.066,0.089,0.192,0.353
24_1_16_p1,0.054,0.063,0.147,0.25
24_1_17_p1,0.032,0.001,0.065,0.009
24_1_20_p0,0.031,0.003,0.062,0.01
24_1_21_p0,0.032,0.004,0.067,0.024
24_1_22_p0,0.031,0.003,0.058,0.009
24_1_23_p0,0.029,0.003,0.051,0.008
24_1_24_p0,0.034,0.002,0.064,0.005
24_1_25_p0,0.032,0.008,0.068,0.019
24_1_26_p0,0.03,0.003,0.06,0.011
24_1_29_p1,0.032,0.006,0.069,0.021
24_1_2_p0,0.038,0.003,0.076,0.008
24_1_30_p1,0.031,0.003,0.057,0.007
24_1_31_p1,0.027,0.002,0.052,0.008
24_1_32_p1,0.029,0.002,0.054,0.006
24_1_33_p1,0.028,0.002,0.049,0.005
24_1_34_p1,0.031,0.001,0.054,0.007
24_1_35_p1,0.037,0.012,0.081,0.037
24_1_38_p0,0.025,0.001,0.046,0.005
24_1_39_p0,0.035,0.006,0.069,0.016
24_1_3_p0,0.026,0.003,0.049,0.006
24_1_40_p0,0.028,0.003,0.055,0.01
24_1_41_p0,0.034,0.016,0.076,0.046
24_1_42_p0,0.042,0.015,0.095,0.048
24_1_43_p0,0.028,0.003,0.057,0.013
24_1_44_p0,0.032,0.004,0.061,0.008
24_1_47_p1,0.031,0.005,0.059,0.014
24_1_48_p1,0.034,0.006,0.076,0.029
24_1_49_p1,0.032,0.008,0.068,0.021
24_1_4_p0,0.027,0.004,0.051,0.016
24_1_50_p1,0.03,0.004,0.058,0.013
24_1_51_p1,0.028,0.003,0.056,0.008
24_1_52_p1,0.029,0.003,0.056,0.011
24_1_53_p1,0.027,0.003,0.053,0.011
24_1_5_p0,0.025,0.002,0.048,0.007
24_1_6_p0,0.026,0.003,0.056,0.01
24_1_7_p0,0.024,0.003,0.048,0.012
24_1_8_p0,0.022,0.002,0.051,0.009
24_1_tpose_p0,0.03,0.002,0.06,0.009
24_1_tpose_p1,0.027,0.002,0.055,0.011
24_2_100_p0,0.031,0.012,0.067,0.037
24_2_101_p0,0.028,0.005,0.058,0.015
24_2_102_p0,0.036,0.019,0.066,0.036
24_2_103_p0,0.026,0.003,0.049,0.008
24_2_104_p0,0.027,0.003,0.054,0.011
24_2_105_p0,0.044,0.008,0.087,0.03
24_2_106_p0,0.031,0.004,0.065,0.014
24_2_10_p0,0.033,0.005,0.069,0.015
24_2_110_p1,0.049,0.038,0.093,0.063
24_2_111_p1,0.041,0.01,0.084,0.022
24_2_112_p1,0.029,0.002,0.053,0.006
24_2_113_p1,0.048,0.017,0.1,0.04
24_2_114_p1,0.05,0.025,0.094,0.048
24_2_115_p1,0.037,0.012,0.081,0.036
24_2_116_p1,0.032,0.007,0.072,0.024
24_2_117_p1,0.033,0.014,0.069,0.038
24_2_118_p1,0.029,0.005,0.057,0.014
24_2_119_p1,0.031,0.005,0.062,0.015
24_2_11_p0,0.028,0.003,0.054,0.009
24_2_120_p1,0.032,0.005,0.068,0.014
24_2_121_p1,0.031,0.005,0.065,0.022
24_2_12_p0,0.03,0.005,0.06,0.018
24_2_13_p0,0.026,0.004,0.052,0.012
24_2_14_p0,0.022,0.005,0.044,0.009
24_2_15_p0,0.028,0.002,0.053,0.007
24_2_16_p0,0.028,0.003,0.05,0.008
24_2_17_p0,0.024,0.002,0.054,0.005
24_2_18_p0,0.026,0.001,0.052,0.008
24_2_19_p0,0.028,0.003,0.054,0.01
24_2_20_p0,0.035,0.002,0.07,0.007
24_2_21_p0,0.056,0.005,0.098,0.008
24_2_26_p1,0.029,0.004,0.052,0.014
24_2_27_p1,0.057,0.007,0.131,0.021
24_2_28_p1,0.034,0.004,0.065,0.009
24_2_29_p1,0.032,0.002,0.061,0.004
24_2_30_p1,0.035,0.003,0.064,0.004
24_2_31_p1,0.03,0.003,0.058,0.014
24_2_32_p1,0.065,0.03,0.166,0.111
24_2_33_p1,0.036,0.004,0.074,0.012
24_2_34_p1,0.034,0.004,0.073,0.016
24_2_35_p1,0.029,0.005,0.057,0.013
24_2_36_p1,0.03,0.002,0.064,0.01
24_2_37_p1,0.029,0.004,0.059,0.02
24_2_38_p1,0.031,0.005,0.069,0.027
24_2_39_p1,0.031,0.005,0.073,0.024
24_2_40_p1,0.034,0.004,0.065,0.013
24_2_41_p1,0.026,0.001,0.044,0.004
24_2_42_p1,0.033,0.004,0.066,0.011
24_2_43_p1,0.033,0.005,0.063,0.013
24_2_44_p1,0.035,0.004,0.085,0.021
24_2_45_p1,0.034,0.007,0.077,0.028
24_2_46_p1,0.029,0.003,0.05,0.006
24_2_52_p0,0.035,0.009,0.077,0.026
24_2_53_p0,0.027,0.004,0.054,0.018
24_2_54_p0,0.027,0.002,0.051,0.005
24_2_55_p0,0.03,0.003,0.059,0.011
24_2_56_p0,0.03,0.004,0.063,0.013
24_2_57_p0,0.034,0.007,0.078,0.032
24_2_58_p0,0.032,0.004,0.063,0.014
24_2_59_p0,0.028,0.005,0.058,0.011
24_2_5_p0,0.028,0.004,0.056,0.014
24_2_60_p0,0.03,0.005,0.065,0.014
24_2_61_p0,0.029,0.003,0.056,0.011
24_2_62_p0,0.029,0.004,0.059,0.013
24_2_63_p0,0.027,0.001,0.047,0.005
24_2_64_p0,0.028,0.002,0.057,0.008
24_2_65_p0,0.029,0.003,0.057,0.009
24_2_66_p0,0.028,0.003,0.061,0.017
24_2_67_p0,0.028,0.004,0.058,0.013
24_2_68_p0,0.028,0.003,0.055,0.01
24_2_6_p0,0.03,0.003,0.054,0.007
24_2_72_p1,0.031,0.008,0.063,0.019
24_2_73_p1,0.076,0.025,0.185,0.071
24_2_74_p1,0.031,0.003,0.059,0.01
24_2_75_p1,0.031,0.001,0.065,0.012
24_2_76_p1,0.048,0.024,0.106,0.061
24_2_77_p1,0.05,0.019,0.103,0.051
24_2_78_p1,0.034,0.003,0.068,0.009
24_2_79_p1,0.031,0.003,0.064,0.009
24_2_7_p0,0.03,0.003,0.055,0.006
24_2_80_p1,0.032,0.003,0.064,0.01
24_2_81_p1,0.03,0.004,0.06,0.011
24_2_82_p1,0.031,0.002,0.061,0.009
24_2_83_p1,0.029,0.003,0.054,0.011
24_2_84_p1,0.029,0.003,0.059,0.01
24_2_8_p0,0.029,0.002,0.054,0.008
24_2_90_p0,0.028,0.003,0.055,0.009
24_2_91_p0,0.029,0.003,0.059,0.012
24_2_92_p0,0.029,0.003,0.056,0.01
24_2_93_p0,0.03,0.003,0.057,0.008
24_2_94_p0,0.029,0.002,0.06,0.008
24_2_95_p0,0.025,0.002,0.055,0.01
24_2_96_p0,0.03,0.004,0.062,0.014
24_2_97_p0,0.035,0.007,0.074,0.019
24_2_98_p0,0.032,0.007,0.064,0.016
24_2_99_p0,0.034,0.008,0.077,0.029
24_2_9_p0,0.031,0.004,0.058,0.01
26_1_11_p1,0.054,0.017,0.142,0.057
26_1_12_p1,0.048,0.028,0.114,0.095
26_1_13_p1,0.032,0.003,0.064,0.012
26_1_14_p1,0.027,0.002,0.054,0.009
26_1_15_p1,0.028,0.003,0.053,0.009
26_1_16_p1,0.026,0.002,0.048,0.01
26_1_17_p1,0.041,0.016,0.1,0.075
26_1_20_p0,0.034,0.006,0.068,0.016
26_1_21_p0,0.03,0.007,0.061,0.016
26_1_22_p0,0.033,0.007,0.07,0.037
26_1_23_p0,0.032,0.005,0.065,0.02
26_1_24_p0,0.029,0.003,0.055,0.009
26_1_25_p0,0.031,0.005,0.077,0.022
26_1_26_p0,0.025,0.006,0.048,0.012
26_1_29_p1,0.032,0.002,0.057,0.004
26_1_2_p0,0.029,0.004,0.058,0.014
26_1_30_p1,0.03,0.006,0.061,0.018
26_1_31_p1,0.027,0.004,0.056,0.014
26_1_32_p1,0.029,0.002,0.062,0.012
26_1_33_p1,0.035,0.004,0.059,0.011
26_1_34_p1,0.036,0.005,0.068,0.017
26_1_35_p1,0.06,0.019,0.154,0.063
26_1_38_p0,0.029,0.002,0.06,0.014
26_1_39_p0,0.039,0.008,0.075,0.016
26_1_3_p0,0.031,0.008,0.065,0.02
26_1_40_p0,0.029,0.005,0.059,0.013
26_1_41_p0,0.032,0.003,0.05,0.006
26_1_42_p0,0.026,0.002,0.048,0.007
26_1_43_p0,0.028,0.004,0.049,0.012
26_1_44_p0,0.036,0.004,0.082,0.028
26_1_47_p1,0.041,0.006,0.1,0.02
26_1_48_p1,0.043,0.013,0.115,0.054
26_1_49_p1,0.044,0.008,0.099,0.022
26_1_4_p0,0.044,0.033,0.086,0.059
26_1_50_p1,0.041,0.008,0.109,0.028
26_1_51_p1,0.042,0.006,0.103,0.021
26_1_52_p1,0.04,0.006,0.097,0.02
26_1_53_p1,0.059,0.01,0.171,0.035
26_1_5_p0,0.07,0.039,0.191,0.143
26_1_6_p0,0.04,0.016,0.099,0.058
26_1_7_p0,0.045,0.013,0.108,0.044
26_1_8_p0,0.028,0.004,0.05,0.007
26_1_tpose_p0,0.028,0.001,0.053,0.005
26_1_tpose_p1,0.035,0.002,0.078,0.006
26_2_103_p1,0.032,0.006,0.067,0.02
26_2_104_p1,0.03,0.002,0.058,0.008
26_2_105_p1,0.032,0.002,0.066,0.012
26_2_106_p1,0.06,0.023,0.153,0.063
26_2_107_p1,0.029,0.003,0.055,0.011
26_2_108_p1,0.033,0.004,0.059,0.012
26_2_109_p1,0.04,0.01,0.095,0.043
26_2_10_p0,0.028,0.003,0.051,0.007
26_2_110_p1,0.042,0.016,0.097,0.052
26_2_111_p1,0.05,0.015,0.132,0.052
26_2_112_p1,0.028,0.002,0.051,0.011
26_2_113_p1,0.031,0.005,0.061,0.017
26_2_114_p1,0.027,0.002,0.05,0.01
26_2_115_p1,0.033,0.003,0.072,0.013
26_2_11_p0,0.028,0.002,0.053,0.011
26_2_12_p0,0.029,0.002,0.05,0.005
26_2_13_p0,0.03,0.002,0.052,0.008
26_2_14_p0,0.027,0.002,0.051,0.005
26_2_15_p0,0.039,0.013,0.112,0.083
26_2_16_p0,0.034,0.008,0.065,0.027
26_2_17_p0,0.03,0.003,0.053,0.011
26_2_18_p0,0.027,0.002,0.047,0.008
26_2_19_p0,0.053,0.021,0.131,0.067
26_2_20_p0,0.056,0.02,0.139,0.073
26_2_26_p1,0.031,0.003,0.071,0.014
26_2_27_p1,0.035,0.004,0.074,0.01
26_2_28_p1,0.031,0.005,0.072,0.026
26_2_29_p1,0.07,0.021,0.195,0.073
26_2_30_p1,0.031,0.003,0.068,0.013
26_2_31_p1,0.043,0.007,0.119,0.03
26_2_32_p1,0.037,0.006,0.103,0.04
26_2_33_p1,0.05,0.009,0.134,0.032
26_2_34_p1,0.024,0.002,0.044,0.007
26_2_35_p1,0.026,0.001,0.049,0.007
26_2_36_p1,0.025,0.002,0.053,0.008
26_2_37_p1,0.03,0.004,0.062,0.016
26_2_38_p1,0.035,0.005,0.087,0.022
26_2_39_p1,0.035,0.007,0.09,0.03
26_2_40_p1,0.04,0.008,0.112,0.033
26_2_44_p0,0.033,0.005,0.072,0.024
26_2_45_p0,0.055,0.027,0.129,0.066
26_2_46_p0,0.036,0.019,0.076,0.042
26_2_47_p0,0.027,0.004,0.051,0.009
26_2_48_p0,0.031,0.003,0.068,0.01
26_2_49_p0,0.03,0.004,0.059,0.01
26_2_50_p0,0.027,0.003,0.051,0.007
26_2_51_p0,0.03,0.005,0.062,0.012
26_2_52_p0,0.026,0.005,0.057,0.015
26_2_53_p0,0.028,0.005,0.062,0.016
26_2_54_p0,0.062,0.034,0.146,0.093
26_2_55_p0,0.062,0.036,0.153,0.08
26_2_56_p0,0.029,0.004,0.055,0.011
26_2_57_p0,0.031,0.004,0.067,0.019
26_2_58_p0,0.029,0.005,0.057,0.012
26_2_59_p0,0.028,0.004,0.055,0.014
26_2_60_p0,0.038,0.018,0.082,0.043
26_2_61_p0,0.054,0.023,0.112,0.044
26_2_65_p1,0.031,0.002,0.063,0.008
26_2_66_p1,0.048,0.017,0.114,0.06
26_2_67_p1,0.031,0.003,0.065,0.017
26_2_68_p1,0.038,0.005,0.075,0.009
26_2_69_p1,0.092,0.031,0.209,0.074
26_2_6_p0,0.029,0.002,0.051,0.006
26_2_70_p1,0.026,0.002,0.054,0.011
26_2_71_p1,0.03,0.002,0.055,0.009
26_2_72_p1,0.031,0.003,0.063,0.01
26_2_73_p1,0.026,0.004,0.052,0.016
26_2_74_p1,0.028,0.002,0.053,0.008
26_2_75_p1,0.026,0.002,0.047,0.006
26_2_76_p1,0.027,0.003,0.06,0.014
26_2_77_p1,0.031,0.011,0.069,0.036
26_2_78_p1,0.03,0.004,0.063,0.016
26_2_7_p0,0.032,0.004,0.066,0.015
26_2_83_p0,0.027,0.005,0.055,0.013
26_2_84_p0,0.057,0.015,0.137,0.039
26_2_85_p0,0.053,0.018,0.128,0.051
26_2_86_p0,0.065,0.023,0.161,0.068
26_2_87_p0,0.034,0.006,0.066,0.015
26_2_88_p0,0.041,0.021,0.091,0.058
26_2_89_p0,0.03,0.005,0.061,0.019
26_2_8_p0,0.033,0.005,0.068,0.022
26_2_90_p0,0.049,0.031,0.111,0.083
26_2_91_p0,0.032,0.005,0.063,0.016
26_2_92_p0,0.063,0.039,0.139,0.098
26_2_93_p0,0.029,0.004,0.057,0.013
26_2_94_p0,0.09,0.049,0.206,0.125
26_2_95_p0,0.031,0.003,0.059,0.01
26_2_96_p0,0.034,0.007,0.074,0.018
26_2_97_p0,0.032,0.005,0.065,0.015
26_2_98_p0,0.03,0.005,0.062,0.015
26_2_9_p0,0.039,0.007,0.081,0.02
27_1_11_p1,0.025,0.002,0.051,0.009
27_1_12_p1,0.029,0.003,0.059,0.011
27_1_13_p1,0.028,0.001,0.053,0.007
27_1_14_p1,0.03,0.002,0.062,0.013
27_1_15_p1,0.037,0.005,0.079,0.019
27_1_16_p1,0.03,0.005,0.064,0.016
27_1_17_p1,0.03,0.002,0.058,0.007
27_1_20_p0,0.044,0.026,0.095,0.073
27_1_21_p0,0.03,0.003,0.059,0.017
27_1_22_p0,0.043,0.018,0.1,0.054
27_1_23_p0,0.031,0.003,0.061,0.015
27_1_24_p0,0.031,0.004,0.062,0.013
27_1_25_p0,0.037,0.008,0.087,0.036
27_1_26_p0,0.032,0.004,0.071,0.017
27_1_29_p1,0.032,0.007,0.067,0.018
27_1_2_p0,0.028,0.003,0.059,0.016
27_1_30_p1,0.031,0.005,0.07,0.017
27_1_31_p1,0.033,0.005,0.079,0.021
27_1_32_p1,0.03,0.003,0.061,0.011
27_1_33_p1,0.031,0.003,0.063,0.014
27_1_34_p1,0.041,0.019,0.113,0.087
27_1_35_p1,0.034,0.006,0.073,0.019
27_1_38_p0,0.033,0.006,0.063,0.015
27_1_39_p0,0.03,0.005,0.061,0.015
27_1_3_p0,0.029,0.007,0.063,0.029
27_1_40_p0,0.031,0.005,0.053,0.015
27_1_41_p0,0.032,0.004,0.058,0.015
27_1_42_p0,0.031,0.005,0.053,0.014
