"model","total_draws","neff_thr_bad","neff_thr_crit","max_rhat","n_rhat_bad","min_neff","mean_neff","n_neff_bad","n_neff_crit","min_bulk_ESS","mean_bulk_ESS","n_bulk_bad","n_bulk_crit","min_tail_ESS","mean_tail_ESS","n_tail_bad","n_tail_crit","converged","score"
"m0",8000,0.125,0.05,1.001,0,0.5293,0.7353,0,0,6760.40413591988,6937,0,0,5426.0945291404,5924,0,0,TRUE,NA
"m1",12000,0.0833,0.0333,1.0032,0,0.0691,0.637,1,0,2169.75924684173,10249,0,0,4526.37417420235,8097,0,0,TRUE,NA
"m2",20000,0.05,0.02,1.006,0,0.0628,0.628,0,0,3618.71882070923,11719,0,0,7384.29885628196,12440,0,0,TRUE,NA
"m3",24000,0.0417,0.0167,1.0039,0,0.0728,0.6933,0,0,6791.68009172322,18770,0,0,11923.0214310368,16784,0,0,TRUE,NA
"m4",24000,0.0417,0.0167,1.0014,0,0.0875,0.7209,0,0,7272.7104877394,27632,0,0,12431.5697667373,18148,0,0,TRUE,NA
