"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","formula","envelope_norm_peak_mean ~ 1 + correction","envelope_norm_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","envelope_norm_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + Familiarity + BFI_extra | SessionID) + (1 + correction + modality | concept)","envelope_norm_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","envelope_norm_peak_mean ~ 1 + correction * modality * expressibility_z * BFI_extra * Familiarity + TrialNumber_c + (1 + correction * modality * expressibility_z | pcn_ID) + (1 + Familiarity * BFI_extra | SessionID) + (1 + correction * modality | concept)"
"model_info","n_fixed","3","8","8","8","49"
"model_info","n_obs","3211","3211","3211","3211","3211"
"model_info","n_total_params","7","704","1172","1153","2374"
"model_summary","R2","0.001","0.395","0.446","0.447","0.462"
"model_summary","R2_lower","0","0.361","0.414","0.415","0.431"
"model_summary","R2_upper","0.003","0.428","0.478","0.479","0.493"
"model_summary","elpd_loo","2625.189","3400.976","3484.257","3486.015","3464.712"
"model_summary","elpd_waic","2625.191","3401.995","3489.921","3491.773","3475.292"
"model_summary","looic","-5250.378","-6801.952","-6968.514","-6972.03","-6929.424"
"model_summary","max_rhat","1.002","1.008","1.002","1.003","1.002"
"model_summary","mean_bulk_ESS","7090","8610","21543","24139","27310"
"model_summary","mean_neff","0.714","0.6","0.72","0.729","0.777"
"model_summary","min_bulk_ESS","6438.647","1271.808","2620.502","4467.097","4249.571"
"model_summary","min_neff","0.519","0.055","0.104","0.099","0.099"
"model_summary","min_tail_ESS","5445.277","2831.272","6231.522","8334.118","8335.078"
"model_summary","n_neff_bad","0","3","0","1","1"
"model_summary","n_rhat_bad","0","0","0","0","0"
"model_summary","p_loo","3.665","201.016","352.034","356.706","424.172"
"model_summary","p_loo_vs_n_obs","0.001","0.063","0.11","0.111","0.132"
"model_summary","p_loo_vs_n_params","0.524","0.286","0.3","0.309","0.179"
"model_summary","p_waic","3.663","199.997","346.37","350.948","413.592"
"model_summary","se_elpd","56.694","61.615","62.248","62.267","62.269"
"model_summary","waic","-5250.381","-6803.99","-6979.843","-6983.547","-6950.585"
"fixed","BFI_extra","—","0.034 [-0.017, 0.084]","0.037 [-0.015, 0.09]","0.036 [-0.016, 0.089]","0.037 [-0.021, 0.094]"
"fixed","BFI_extra:Familiarity","—","—","—","—","0.037 [-0.023, 0.1]"
"fixed","Familiarity","—","-0.054 [-0.111, 0.003]","-0.056 [-0.115, 0.004]","-0.056 [-0.116, 0.003]","-0.047 [-0.109, 0.015]"
"fixed","Intercept","-1.85 [-1.874, -1.826] *","-1.891 [-1.993, -1.79] *","-1.892 [-1.997, -1.789] *","-1.892 [-1.996, -1.787] *","-1.905 [-2.01, -1.801] *"
"fixed","TrialNumber_c","—","0.001 [0.001, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *"
"fixed","correction2M1","-0.047 [-0.101, 0.008]","-0.051 [-0.095, -0.005] *","-0.05 [-0.093, -0.007] *","-0.05 [-0.093, -0.007] *","-0.057 [-0.101, -0.013] *"
"fixed","correction2M1:BFI_extra","—","—","—","—","-0.01 [-0.053, 0.033]"
"fixed","correction2M1:BFI_extra:Familiarity","—","—","—","—","0.013 [-0.029, 0.055]"
"fixed","correction2M1:Familiarity","—","—","—","—","0.067 [0.025, 0.11] *"
"fixed","correction2M1:expressibility_z","—","—","—","—","-0.051 [-0.114, 0.013]"
"fixed","correction2M1:expressibility_z:BFI_extra","—","—","—","—","0.01 [-0.048, 0.07]"
"fixed","correction2M1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.013 [-0.042, 0.067]"
"fixed","correction2M1:expressibility_z:Familiarity","—","—","—","—","0.036 [-0.022, 0.095]"
"fixed","correction2M1:modality1","—","—","—","—","0.054 [-0.033, 0.141]"
"fixed","correction2M1:modality1:BFI_extra","—","—","—","—","-0.026 [-0.114, 0.063]"
"fixed","correction2M1:modality1:BFI_extra:Familiarity","—","—","—","—","0.027 [-0.057, 0.111]"
"fixed","correction2M1:modality1:Familiarity","—","—","—","—","-0.031 [-0.117, 0.054]"
"fixed","correction2M1:modality1:expressibility_z","—","—","—","—","0.128 [0.002, 0.254] *"
"fixed","correction2M1:modality1:expressibility_z:BFI_extra","—","—","—","—","-0.047 [-0.164, 0.071]"
"fixed","correction2M1:modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.004 [-0.113, 0.106]"
"fixed","correction2M1:modality1:expressibility_z:Familiarity","—","—","—","—","-0.094 [-0.213, 0.023]"
"fixed","correction3M2","0.02 [-0.045, 0.085]","-0.011 [-0.061, 0.039]","-0.008 [-0.056, 0.04]","-0.008 [-0.056, 0.04]","-0.017 [-0.073, 0.039]"
"fixed","correction3M2:BFI_extra","—","—","—","—","-0.005 [-0.061, 0.052]"
"fixed","correction3M2:BFI_extra:Familiarity","—","—","—","—","-0.008 [-0.063, 0.047]"
"fixed","correction3M2:Familiarity","—","—","—","—","-0.037 [-0.09, 0.016]"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.005 [-0.077, 0.087]"
"fixed","correction3M2:expressibility_z:BFI_extra","—","—","—","—","-0.016 [-0.094, 0.062]"
"fixed","correction3M2:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.049 [-0.122, 0.025]"
"fixed","correction3M2:expressibility_z:Familiarity","—","—","—","—","0.003 [-0.07, 0.077]"
"fixed","correction3M2:modality1","—","—","—","—","0.033 [-0.079, 0.144]"
"fixed","correction3M2:modality1:BFI_extra","—","—","—","—","0.002 [-0.11, 0.114]"
"fixed","correction3M2:modality1:BFI_extra:Familiarity","—","—","—","—","-0.043 [-0.152, 0.067]"
"fixed","correction3M2:modality1:Familiarity","—","—","—","—","0.012 [-0.096, 0.119]"
"fixed","correction3M2:modality1:expressibility_z","—","—","—","—","0.011 [-0.151, 0.173]"
"fixed","correction3M2:modality1:expressibility_z:BFI_extra","—","—","—","—","-0.015 [-0.171, 0.139]"
"fixed","correction3M2:modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.075 [-0.072, 0.224]"
"fixed","correction3M2:modality1:expressibility_z:Familiarity","—","—","—","—","-0.056 [-0.203, 0.09]"
"fixed","expressibility_z","—","-0.08 [-0.122, -0.039] *","-0.07 [-0.133, -0.007] *","-0.068 [-0.13, -0.005] *","-0.069 [-0.14, 0.003]"
"fixed","expressibility_z:BFI_extra","—","—","—","—","-0.011 [-0.051, 0.03]"
"fixed","expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.022 [-0.062, 0.018]"
"fixed","expressibility_z:Familiarity","—","—","—","—","-0.001 [-0.041, 0.038]"
"fixed","modality1","—","0.129 [0.09, 0.168] *","0.12 [0.049, 0.191] *","0.123 [0.053, 0.194] *","0.147 [0.073, 0.222] *"
"fixed","modality1:BFI_extra","—","—","—","—","-0.039 [-0.098, 0.019]"
"fixed","modality1:BFI_extra:Familiarity","—","—","—","—","0.042 [-0.015, 0.1]"
"fixed","modality1:Familiarity","—","—","—","—","0.005 [-0.053, 0.062]"
"fixed","modality1:expressibility_z","—","—","—","—","-0.002 [-0.104, 0.102]"
"fixed","modality1:expressibility_z:BFI_extra","—","—","—","—","0.033 [-0.037, 0.102]"
"fixed","modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.017 [-0.051, 0.084]"
"fixed","modality1:expressibility_z:Familiarity","—","—","—","—","0.03 [-0.039, 0.098]"
"random_sd","sd() | residual__","0.676 [0.659, 0.693]","0.514 [0.501, 0.527]","0.487 [0.474, 0.5]","0.486 [0.473, 0.499]","0.483 [0.469, 0.496]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.041 [0.002, 0.115]","0.041 [0.002, 0.112]","0.045 [0.002, 0.122]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.062 [0.002, 0.165]","0.057 [0.002, 0.153]","0.059 [0.002, 0.158]"
"random_sd","sd(Familiarity:BFI_extra) | SessionID","—","—","—","—","0.046 [0.002, 0.13]"
"random_sd","sd(Intercept) | SessionID","—","0.136 [0.022, 0.217]","0.141 [0.028, 0.226]","0.131 [0.017, 0.216]","0.135 [0.019, 0.223]"
"random_sd","sd(Intercept) | concept","—","0.394 [0.335, 0.465]","0.389 [0.331, 0.46]","0.39 [0.331, 0.458]","0.387 [0.328, 0.457]"
"random_sd","sd(Intercept) | pcn_ID","—","0.233 [0.183, 0.289]","0.222 [0.173, 0.279]","0.226 [0.177, 0.282]","0.226 [0.174, 0.284]"
"random_sd","sd(correction2M1) | concept","—","0.032 [0.001, 0.087]","0.033 [0.001, 0.091]","0.038 [0.002, 0.096]","0.035 [0.001, 0.094]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.039 [0.001, 0.1]","0.035 [0.001, 0.094]","0.04 [0.002, 0.101]","0.033 [0.001, 0.088]"
"random_sd","sd(correction2M1:expressibility_z) | pcn_ID","—","—","—","—","0.036 [0.001, 0.099]"
"random_sd","sd(correction2M1:modality1) | concept","—","—","—","—","0.052 [0.002, 0.144]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.069 [0.003, 0.179]"
"random_sd","sd(correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.066 [0.003, 0.184]"
"random_sd","sd(correction3M2) | concept","—","0.03 [0.001, 0.084]","0.028 [0.001, 0.08]","0.03 [0.001, 0.083]","0.029 [0.001, 0.084]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.03 [0.001, 0.084]","0.029 [0.001, 0.081]","0.031 [0.001, 0.085]","0.031 [0.001, 0.085]"
"random_sd","sd(correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.038 [0.002, 0.106]"
"random_sd","sd(correction3M2:modality1) | concept","—","—","—","—","0.052 [0.002, 0.147]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.064 [0.003, 0.173]"
"random_sd","sd(correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.08 [0.003, 0.22]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.126 [0.093, 0.161]","0.126 [0.093, 0.16]","0.135 [0.097, 0.175]"
"random_sd","sd(modality1) | concept","—","—","0.199 [0.147, 0.258]","0.199 [0.147, 0.257]","0.202 [0.149, 0.262]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.207 [0.151, 0.265]","0.208 [0.154, 0.264]","0.207 [0.15, 0.268]"
"random_sd","sd(modality1:expressibility_z) | pcn_ID","—","—","—","—","0.129 [0.01, 0.241]"
"random_cor","cor(BFI_extra x Familiarity:BFI_extra) | SessionID","—","—","—","—","0.004 [-0.575, 0.576]"
"random_cor","cor(Familiarity x BFI_extra) | SessionID","—","—","-0.034 [-0.622, 0.581]","—","-0.026 [-0.594, 0.553]"
"random_cor","cor(Familiarity x Familiarity:BFI_extra) | SessionID","—","—","—","—","0.026 [-0.558, 0.597]"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.015 [-0.566, 0.598]","—","0.013 [-0.554, 0.574]"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","0.080 [-0.528, 0.632]","—","0.089 [-0.497, 0.623]"
"random_cor","cor(Intercept x Familiarity:BFI_extra) | SessionID","—","—","—","—","-0.027 [-0.592, 0.556]"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.011 [-0.560, 0.550]","-0.043 [-0.560, 0.501]","—","-0.054 [-0.552, 0.463]"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","-0.008 [-0.571, 0.549]","-0.060 [-0.565, 0.477]","—","-0.038 [-0.465, 0.403]"
