"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","R2","0.001 [0, 0.005]","0.213 [0.185, 0.242]","0.252 [0.221, 0.283]","0.253 [0.222, 0.284]","0.205 [0.181, 0.228]"
"model_info","formula","arm_moment_sum_change_peak_mean ~ 1 + correction","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + BFI_extra + Familiarity | SessionID) + (1 + correction + modality | concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + BFI_extra + Familiarity || SessionID) + (1 + correction + modality || concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + correction:modality + correction:expressibility_z + modality:expressibility_z + correction:BFI_extra + correction:Familiarity + (1 + correction + modality + correction:modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_obs","2495","2495","2495","2495","2495"
"fixed","Intercept","3.106 [3.087, 3.125] *","3.125 [3.074, 3.175] *","3.126 [3.076, 3.176] *","3.126 [3.076, 3.176] *","9.034 [8.013, 10.046] *"
"fixed","BFI_extra","—","-0.017 [-0.05, 0.017]","-0.012 [-0.053, 0.029]","-0.014 [-0.053, 0.027]","-0.029 [-0.448, 0.389]"
"fixed","Familiarity","—","-0.032 [-0.07, 0.006]","-0.025 [-0.064, 0.013]","-0.028 [-0.067, 0.01]","-0.108 [-0.563, 0.349]"
"fixed","TrialNumber_c","—","0 [-0.001, 0]","0 [-0.001, 0]","0 [-0.001, 0]","-0.006 [-0.02, 0.008]"
"fixed","correction2M1","0.019 [-0.02, 0.058]","0.035 [-0.002, 0.073]","0.036 [-0.001, 0.073]","0.037 [0, 0.074]","0.382 [-0.186, 0.945]"
"fixed","correction2M1:BFI_extra","—","—","—","—","0.244 [-0.622, 1.1]"
"fixed","correction2M1:Familiarity","—","—","—","—","-0.294 [-1.159, 0.576]"
"fixed","correction2M1:expressibility_z","—","—","—","—","0.077 [-0.849, 1.008]"
"fixed","correction2M1:modality1","—","—","—","—","-0.85 [-2.596, 0.886]"
