"model","total_draws","neff_thr_bad","neff_thr_crit","max_rhat","n_rhat_bad","min_neff","mean_neff","n_neff_bad","n_neff_crit","min_bulk_ESS","mean_bulk_ESS","n_bulk_bad","n_bulk_crit","min_tail_ESS","mean_tail_ESS","n_tail_bad","n_tail_crit","converged","score"
"m0",4000,0.25,0.1,1.0015,0,0.5391,0.7448,0,0,3025.3861423867,3436,0,0,2812.07369039787,3046,0,0,TRUE,NA
"m1",12000,0.0833,0.0333,1.0025,0,0.1244,0.6504,0,0,1760.37763320306,8252,0,0,3378.53992361392,7433,0,0,TRUE,NA
"m2",24000,0.0417,0.0167,1.0015,0,0.086,0.6966,0,0,4642.70789562081,16111,0,0,8372.4687749476,15545,0,0,TRUE,NA
"m3",24000,0.0417,0.0167,1.0017,0,0.1092,0.6816,0,0,3883.22741326993,13480,0,0,7348.046483499,14816,0,0,TRUE,NA
"m4",24000,0.0417,0.0167,1.0015,0,0.1144,0.7173,0,0,4235.42009322862,21035,0,0,7803.60295435429,17129,0,0,TRUE,NA
