"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","formula","COPc_peak_mean ~ 1 + correction","COPc_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","COPc_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + Familiarity + BFI_extra | SessionID) + (1 + correction + modality | concept)","COPc_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","COPc_peak_mean ~ 1 + correction * modality * expressibility_z * BFI_extra * Familiarity + TrialNumber_c + (1 + correction * modality * expressibility_z || pcn_ID) + (1 + Familiarity * BFI_extra || SessionID) + (1 + correction * modality || concept)"
"model_info","n_fixed","3","9","9","9","73"
"model_info","n_obs","5029","5029","5029","5029","5029"
"model_info","n_total_params","7","705","1390","1362","3304"
"model_summary","R2","0.003","0.326","0.459","0.449","0.47"
"model_summary","R2_lower","0.002","0.302","0.426","0.416","0.436"
"model_summary","R2_upper","0.005","0.352","0.492","0.483","0.505"
"model_summary","elpd_loo","-5621.657","-3896.138","-3596.444","-3611.795","-3635.831"
"model_summary","elpd_waic","-5621.656","-3895.461","-3591.581","-3606.15","-3624.051"
"model_summary","looic","11243.315","7792.277","7192.887","7223.591","7271.662"
"model_summary","max_rhat","1.001","1.007","1.003","1.002","1.003"
"model_summary","mean_bulk_ESS","7893","14136","12480","14490","22837"
"model_summary","mean_neff","0.703","0.736","0.642","0.685","0.76"
"model_summary","min_bulk_ESS","7500.204","3035.382","2558.611","2725.536","3258.755"
"model_summary","min_neff","0.477","0.106","0.055","0.06","0.067"
"model_summary","min_tail_ESS","5517.797","5253.291","5275.572","5900.879","7291.57"
"model_summary","n_neff_bad","0","0","8","3","1"
"model_summary","n_rhat_bad","0","0","0","0","0"
"model_summary","p_loo","4.5","233.801","470.785","495.405","615.85"
"model_summary","p_loo_vs_n_obs","0.001","0.046","0.094","0.099","0.122"
"model_summary","p_loo_vs_n_params","0.643","0.332","0.339","0.364","0.186"
"model_summary","p_waic","4.498","233.124","465.922","489.759","604.07"
"model_summary","se_elpd","92.805","89.443","90.978","90.235","89.458"
"model_summary","waic","11243.311","7790.922","7183.162","7212.299","7248.103"
"fixed","BFI_extra","—","0.059 [0.01, 0.106] *","0.061 [0.012, 0.109] *","0.068 [0.02, 0.116] *","0.074 [0.022, 0.124] *"
"fixed","BFI_extra:Familiarity","—","—","—","—","0.022 [-0.033, 0.079]"
"fixed","Familiarity","—","0 [-0.056, 0.056]","0.005 [-0.056, 0.068]","0.009 [-0.055, 0.075]","0.011 [-0.053, 0.078]"
"fixed","Intercept","0.206 [0.189, 0.223] *","0.24 [0.157, 0.319] *","0.242 [0.161, 0.322] *","0.234 [0.149, 0.317] *","0.227 [0.143, 0.312] *"
"fixed","TrialNumber_c","—","0.001 [0, 0.001] *","0.001 [0, 0.001] *","0.001 [0, 0.001] *","0.001 [0, 0.001] *"
"fixed","correction2M1","-0.083 [-0.122, -0.045] *","-0.028 [-0.059, 0.004]","-0.031 [-0.06, -0.001] *","-0.031 [-0.06, -0.002] *","-0.031 [-0.06, -0.002] *"
"fixed","correction2M1:BFI_extra","—","—","—","—","-0.004 [-0.03, 0.023]"
"fixed","correction2M1:BFI_extra:Familiarity","—","—","—","—","-0.001 [-0.027, 0.025]"
"fixed","correction2M1:Familiarity","—","—","—","—","0.009 [-0.017, 0.035]"
"fixed","correction2M1:expressibility_z","—","—","—","—","0.001 [-0.035, 0.038]"
"fixed","correction2M1:expressibility_z:BFI_extra","—","—","—","—","0.004 [-0.029, 0.036]"
"fixed","correction2M1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.001 [-0.032, 0.03]"
"fixed","correction2M1:expressibility_z:Familiarity","—","—","—","—","0.024 [-0.009, 0.055]"
"fixed","correction2M1:modality1","—","—","—","—","-0.028 [-0.105, 0.049]"
"fixed","correction2M1:modality1:BFI_extra","—","—","—","—","0.088 [0.013, 0.161] *"
"fixed","correction2M1:modality1:BFI_extra:Familiarity","—","—","—","—","-0.001 [-0.074, 0.073]"
"fixed","correction2M1:modality1:Familiarity","—","—","—","—","0.027 [-0.046, 0.102]"
"fixed","correction2M1:modality1:expressibility_z","—","—","—","—","-0.024 [-0.12, 0.071]"
"fixed","correction2M1:modality1:expressibility_z:BFI_extra","—","—","—","—","0.033 [-0.059, 0.127]"
"fixed","correction2M1:modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.058 [-0.146, 0.03]"
"fixed","correction2M1:modality1:expressibility_z:Familiarity","—","—","—","—","-0.004 [-0.094, 0.088]"
"fixed","correction2M1:modality2","—","—","—","—","0.004 [-0.071, 0.079]"
"fixed","correction2M1:modality2:BFI_extra","—","—","—","—","-0.059 [-0.133, 0.014]"
"fixed","correction2M1:modality2:BFI_extra:Familiarity","—","—","—","—","-0.041 [-0.114, 0.033]"
"fixed","correction2M1:modality2:Familiarity","—","—","—","—","0.012 [-0.062, 0.085]"
"fixed","correction2M1:modality2:expressibility_z","—","—","—","—","0.009 [-0.097, 0.116]"
"fixed","correction2M1:modality2:expressibility_z:BFI_extra","—","—","—","—","-0.015 [-0.116, 0.087]"
"fixed","correction2M1:modality2:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.015 [-0.111, 0.08]"
"fixed","correction2M1:modality2:expressibility_z:Familiarity","—","—","—","—","-0.001 [-0.1, 0.099]"
"fixed","correction3M2","-0.047 [-0.095, -0.001] *","0.008 [-0.027, 0.043]","0.008 [-0.024, 0.04]","0.009 [-0.023, 0.041]","-0.006 [-0.042, 0.029]"
"fixed","correction3M2:BFI_extra","—","—","—","—","0.024 [-0.011, 0.058]"
"fixed","correction3M2:BFI_extra:Familiarity","—","—","—","—","0.014 [-0.02, 0.048]"
"fixed","correction3M2:Familiarity","—","—","—","—","-0.01 [-0.044, 0.024]"
"fixed","correction3M2:expressibility_z","—","—","—","—","-0.025 [-0.07, 0.019]"
"fixed","correction3M2:expressibility_z:BFI_extra","—","—","—","—","0.017 [-0.027, 0.06]"
"fixed","correction3M2:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.005 [-0.047, 0.037]"
"fixed","correction3M2:expressibility_z:Familiarity","—","—","—","—","-0.024 [-0.067, 0.018]"
"fixed","correction3M2:modality1","—","—","—","—","0.019 [-0.08, 0.119]"
"fixed","correction3M2:modality1:BFI_extra","—","—","—","—","-0.029 [-0.129, 0.071]"
"fixed","correction3M2:modality1:BFI_extra:Familiarity","—","—","—","—","0.049 [-0.053, 0.15]"
"fixed","correction3M2:modality1:Familiarity","—","—","—","—","-0.006 [-0.105, 0.092]"
"fixed","correction3M2:modality1:expressibility_z","—","—","—","—","0.015 [-0.107, 0.139]"
"fixed","correction3M2:modality1:expressibility_z:BFI_extra","—","—","—","—","0.047 [-0.077, 0.169]"
"fixed","correction3M2:modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.126 [0.007, 0.243] *"
"fixed","correction3M2:modality1:expressibility_z:Familiarity","—","—","—","—","-0.043 [-0.165, 0.078]"
"fixed","correction3M2:modality2","—","—","—","—","-0.113 [-0.213, -0.013] *"
"fixed","correction3M2:modality2:BFI_extra","—","—","—","—","0.044 [-0.055, 0.146]"
"fixed","correction3M2:modality2:BFI_extra:Familiarity","—","—","—","—","0.012 [-0.089, 0.112]"
"fixed","correction3M2:modality2:Familiarity","—","—","—","—","0.033 [-0.065, 0.132]"
"fixed","correction3M2:modality2:expressibility_z","—","—","—","—","-0.07 [-0.206, 0.069]"
"fixed","correction3M2:modality2:expressibility_z:BFI_extra","—","—","—","—","-0.069 [-0.204, 0.066]"
"fixed","correction3M2:modality2:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.08 [-0.215, 0.053]"
"fixed","correction3M2:modality2:expressibility_z:Familiarity","—","—","—","—","0.02 [-0.109, 0.153]"
"fixed","expressibility_z","—","0.049 [0.026, 0.073] *","-0.021 [-0.053, 0.012]","0.032 [-0.008, 0.072]","0.056 [0.012, 0.101] *"
"fixed","expressibility_z:BFI_extra","—","—","—","—","-0.009 [-0.028, 0.011]"
"fixed","expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.005 [-0.013, 0.024]"
"fixed","expressibility_z:Familiarity","—","—","—","—","0.006 [-0.014, 0.025]"
"fixed","modality1","—","0.233 [0.199, 0.267] *","0.233 [0.17, 0.296] *","0.234 [0.171, 0.298] *","0.227 [0.159, 0.295] *"
"fixed","modality1:BFI_extra","—","—","—","—","0.07 [0.013, 0.128] *"
"fixed","modality1:BFI_extra:Familiarity","—","—","—","—","0.042 [-0.016, 0.098]"
"fixed","modality1:Familiarity","—","—","—","—","0.047 [-0.01, 0.105]"
"fixed","modality1:expressibility_z","—","—","—","—","-0.035 [-0.105, 0.034]"
"fixed","modality1:expressibility_z:BFI_extra","—","—","—","—","0.025 [-0.025, 0.074]"
"fixed","modality1:expressibility_z:BFI_extra:Familiarity","—","—","—","—","0.021 [-0.027, 0.069]"
"fixed","modality1:expressibility_z:Familiarity","—","—","—","—","0.022 [-0.029, 0.072]"
"fixed","modality2","—","0.358 [0.324, 0.392] *","0.358 [0.294, 0.421] *","0.363 [0.299, 0.425] *","0.336 [0.271, 0.402] *"
"fixed","modality2:BFI_extra","—","—","—","—","-0.032 [-0.086, 0.022]"
"fixed","modality2:BFI_extra:Familiarity","—","—","—","—","-0.066 [-0.118, -0.013] *"
"fixed","modality2:Familiarity","—","—","—","—","-0.002 [-0.055, 0.051]"
"fixed","modality2:expressibility_z","—","—","—","—","0.084 [0.001, 0.171] *"
"fixed","modality2:expressibility_z:BFI_extra","—","—","—","—","-0.047 [-0.109, 0.016]"
"fixed","modality2:expressibility_z:BFI_extra:Familiarity","—","—","—","—","-0.023 [-0.084, 0.038]"
"fixed","modality2:expressibility_z:Familiarity","—","—","—","—","-0.023 [-0.086, 0.04]"
"random_sd","sd() | residual__","0.59 [0.579, 0.602]","0.409 [0.401, 0.418]","0.375 [0.367, 0.383]","0.375 [0.367, 0.383]","0.371 [0.363, 0.38]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.045 [0.002, 0.122]","0.037 [0.001, 0.105]","0.039 [0.001, 0.109]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.114 [0.016, 0.202]","0.132 [0.026, 0.217]","0.131 [0.021, 0.218]"
"random_sd","sd(Familiarity:BFI_extra) | SessionID","—","—","—","—","0.035 [0.001, 0.1]"
"random_sd","sd(Intercept) | SessionID","—","0.162 [0.071, 0.235]","0.085 [0.005, 0.183]","0.091 [0.005, 0.193]","0.087 [0.005, 0.188]"
"random_sd","sd(Intercept) | concept","—","0.26 [0.222, 0.306]","0.267 [0.23, 0.311]","0.286 [0.244, 0.336]","0.283 [0.242, 0.334]"
"random_sd","sd(Intercept) | pcn_ID","—","0.226 [0.185, 0.279]","0.226 [0.182, 0.275]","0.218 [0.177, 0.264]","0.221 [0.18, 0.268]"
"random_sd","sd(correction2M1) | concept","—","0.068 [0.03, 0.105]","0.053 [0.012, 0.088]","0.049 [0.005, 0.089]","0.048 [0.005, 0.089]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.025 [0.001, 0.065]","0.026 [0.001, 0.064]","0.026 [0.001, 0.064]","0.027 [0.001, 0.066]"
"random_sd","sd(correction2M1:expressibility_z) | pcn_ID","—","—","—","—","0.017 [0.001, 0.047]"
"random_sd","sd(correction2M1:modality1) | concept","—","—","—","—","0.084 [0.005, 0.179]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.046 [0.002, 0.124]"
"random_sd","sd(correction2M1:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.036 [0.001, 0.102]"
"random_sd","sd(correction2M1:modality2) | concept","—","—","—","—","0.039 [0.002, 0.108]"
"random_sd","sd(correction2M1:modality2) | pcn_ID","—","—","—","—","0.046 [0.002, 0.124]"
"random_sd","sd(correction2M1:modality2:expressibility_z) | pcn_ID","—","—","—","—","0.04 [0.001, 0.112]"
"random_sd","sd(correction3M2) | concept","—","0.047 [0.004, 0.096]","0.034 [0.002, 0.077]","0.033 [0.002, 0.079]","0.037 [0.002, 0.084]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.025 [0.001, 0.067]","0.024 [0.001, 0.062]","0.024 [0.001, 0.063]","0.024 [0.001, 0.064]"
"random_sd","sd(correction3M2:expressibility_z) | pcn_ID","—","—","—","—","0.022 [0.001, 0.062]"
"random_sd","sd(correction3M2:modality1) | concept","—","—","—","—","0.043 [0.002, 0.119]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.041 [0.002, 0.114]"
"random_sd","sd(correction3M2:modality1:expressibility_z) | pcn_ID","—","—","—","—","0.041 [0.002, 0.115]"
"random_sd","sd(correction3M2:modality2) | concept","—","—","—","—","0.053 [0.002, 0.141]"
"random_sd","sd(correction3M2:modality2) | pcn_ID","—","—","—","—","0.042 [0.002, 0.116]"
"random_sd","sd(correction3M2:modality2:expressibility_z) | pcn_ID","—","—","—","—","0.039 [0.002, 0.111]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.047 [0.023, 0.07]","0.049 [0.024, 0.072]","0.044 [0.01, 0.07]"
"random_sd","sd(modality1) | concept","—","—","0.143 [0.099, 0.191]","0.154 [0.107, 0.203]","0.159 [0.113, 0.21]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.234 [0.189, 0.284]","0.239 [0.196, 0.287]","0.235 [0.192, 0.284]"
"random_sd","sd(modality1:expressibility_z) | pcn_ID","—","—","—","—","0.032 [0.001, 0.085]"
"random_sd","sd(modality2) | concept","—","—","0.184 [0.139, 0.235]","0.181 [0.135, 0.231]","0.165 [0.119, 0.216]"
