"model","total_draws","neff_thr_bad","neff_thr_crit","max_rhat","n_rhat_bad","min_neff","mean_neff","n_neff_bad","n_neff_crit","min_bulk_ESS","mean_bulk_ESS","n_bulk_bad","n_bulk_crit","min_tail_ESS","mean_tail_ESS","n_tail_bad","n_tail_crit","converged","score"
"m0",4000,0.25,0.1,1.0035,0,0.5044,0.6934,0,0,3719.02474441842,3920,0,0,2660.69175710941,2932,0,0,TRUE,NA
"m1",12000,0.0833,0.0333,1.0049,0,0.0865,0.7255,0,0,4922.12097972915,11015,0,0,7067.88392521955,8573,0,0,TRUE,NA
"m2",24000,0.0417,0.0167,1.0024,0,0.071,0.6614,0,0,6234.67297150616,14234,0,0,11277.3903419324,15977,0,0,TRUE,NA
"m3",24000,0.0417,0.0167,1.0035,0,0.1046,0.7004,0,0,9213.26082504893,19903,0,0,14764.8663376243,17582,0,0,TRUE,NA
"m4",24000,0.0417,0.0167,1.0014,0,0.2249,0.7951,0,0,27090.9968093503,44837,0,0,17089.888588675,18940,0,0,TRUE,NA
