TrialID,effort_category,modality_specific_effort_category,COP_tertile,arm_tertile,envelope_tertile
69_2_105_p1,Low Effort,Low Effort,1st,1st,1st
69_2_108_p1,Medium Effort,Low Effort,1st,2nd,1st
69_2_111_p1,Medium Effort,Low Effort,1st,1st,2nd
69_2_114_p1,Medium Effort,Low Effort,1st,2nd,2nd
69_2_12_p0,Low Effort,Low Effort,1st,1st,1st
69_2_15_p0,Low Effort,Low Effort,1st,1st,1st
69_2_18_p0,Medium Effort,Medium Effort,3rd,1st,1st
69_2_26_p1,Medium Effort,Medium Effort,3rd,2nd,1st
69_2_28_p1,High Effort,Medium Effort,3rd,1st,3rd
69_2_30_p1,Medium Effort,Medium Effort,2nd,2nd,1st
69_2_32_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
69_2_39_p0,Medium Effort,Low Effort,1st,1st,2nd
69_2_42_p0,Medium Effort,Low Effort,2nd,1st,2nd
69_2_47_p0,Medium Effort,Low Effort,1st,2nd,2nd
69_2_50_p0,Medium Effort,Low Effort,1st,1st,2nd
69_2_53_p0,Medium Effort,Low Effort,2nd,2nd,1st
69_2_61_p1,High Effort,Medium Effort,3rd,2nd,2nd
69_2_63_p1,High Effort,Medium Effort,3rd,3rd,2nd
69_2_69_p1,High Effort,High Effort,3rd,3rd,3rd
69_2_6_p0,Medium Effort,Low Effort,2nd,1st,2nd
69_2_76_p0,Low Effort,Low Effort,1st,1st,1st
69_2_79_p0,Medium Effort,Low Effort,1st,1st,2nd
69_2_82_p0,Medium Effort,Low Effort,1st,2nd,1st
69_2_85_p0,Medium Effort,Low Effort,1st,1st,2nd
69_2_88_p0,Medium Effort,Low Effort,1st,2nd,1st
69_2_92_p0,Medium Effort,Medium Effort,2nd,1st,2nd
69_2_99_p1,High Effort,High Effort,3rd,3rd,3rd
69_2_9_p0,High Effort,Medium Effort,2nd,3rd,2nd
6_2_103_p1,Medium Effort,Low Effort,1st,1st,2nd
6_2_106_p1,Medium Effort,Low Effort,1st,1st,2nd
6_2_108_p1,Low Effort,Low Effort,1st,1st,1st
6_2_10_p0,Medium Effort,Low Effort,1st,1st,2nd
6_2_111_p1,Low Effort,Low Effort,1st,1st,1st
6_2_13_p0,Low Effort,Low Effort,1st,1st,1st
6_2_16_p0,Medium Effort,Low Effort,1st,1st,2nd
6_2_19_p0,High Effort,High Effort,3rd,1st,3rd
6_2_22_p0,Medium Effort,Low Effort,2nd,1st,1st
6_2_31_p1,Low Effort,Low Effort,1st,1st,1st
6_2_34_p1,Low Effort,Low Effort,1st,1st,1st
6_2_37_p1,Medium Effort,Medium Effort,1st,2nd,3rd
6_2_40_p1,Medium Effort,Low Effort,1st,1st,2nd
6_2_44_p1,Low Effort,Low Effort,1st,1st,1st
6_2_4_p0,Medium Effort,Medium Effort,1st,1st,3rd
6_2_51_p0,Medium Effort,Medium Effort,2nd,1st,3rd
6_2_55_p0,Medium Effort,Low Effort,1st,2nd,2nd
6_2_61_p0,Medium Effort,Low Effort,1st,1st,3rd
6_2_68_p1,Medium Effort,Low Effort,2nd,1st,1st
6_2_71_p1,Medium Effort,Low Effort,2nd,1st,2nd
6_2_74_p1,Low Effort,Low Effort,1st,1st,1st
6_2_7_p0,Medium Effort,Medium Effort,1st,1st,3rd
6_2_81_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
6_2_84_p0,High Effort,High Effort,3rd,3rd,3rd
6_2_87_p0,High Effort,Medium Effort,3rd,2nd,3rd
6_2_90_p0,High Effort,High Effort,3rd,3rd,2nd
6_2_93_p0,High Effort,Medium Effort,3rd,2nd,2nd
70_2_101_p1,Medium Effort,Low Effort,1st,2nd,2nd
70_2_12_p0,Medium Effort,Medium Effort,3rd,1st,1st
70_2_19_p1,High Effort,Medium Effort,2nd,3rd,3rd
70_2_21_p1,High Effort,High Effort,3rd,3rd,2nd
70_2_25_p1,High Effort,Medium Effort,3rd,1st,3rd
70_2_28_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
70_2_33_p0,Medium Effort,Medium Effort,2nd,1st,3rd
70_2_36_p0,Medium Effort,Low Effort,2nd,2nd,1st
70_2_38_p0,High Effort,Medium Effort,2nd,3rd,2nd
70_2_42_p0,High Effort,Medium Effort,3rd,3rd,2nd
70_2_44_p0,Medium Effort,Medium Effort,3rd,1st,2nd
70_2_56_p1,High Effort,High Effort,3rd,3rd,3rd
70_2_60_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
70_2_63_p1,High Effort,Medium Effort,2nd,3rd,3rd
70_2_67_p0,Low Effort,Low Effort,1st,1st,1st
70_2_6_p0,High Effort,High Effort,3rd,3rd,2nd
70_2_71_p0,Medium Effort,Low Effort,2nd,3rd,1st
70_2_74_p0,Medium Effort,Low Effort,2nd,2nd,1st
70_2_77_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
70_2_80_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
70_2_83_p0,Medium Effort,Low Effort,2nd,2nd,1st
70_2_8_p0,Medium Effort,Medium Effort,2nd,3rd,1st
70_2_91_p1,Medium Effort,Low Effort,1st,2nd,2nd
70_2_93_p1,Medium Effort,Low Effort,1st,2nd,2nd
70_2_97_p1,High Effort,Medium Effort,1st,3rd,3rd
71_2_101_p1,Medium Effort,Medium Effort,1st,2nd,3rd
71_2_107_p1,Medium Effort,Low Effort,2nd,1st,1st
71_2_110_p1,Medium Effort,Low Effort,1st,1st,3rd
71_2_17_p1,Medium Effort,Low Effort,1st,1st,2nd
71_2_20_p1,High Effort,Medium Effort,2nd,2nd,3rd
71_2_22_p1,Medium Effort,Low Effort,2nd,1st,2nd
71_2_24_p1,Medium Effort,Medium Effort,3rd,1st,2nd
71_2_28_p1,Medium Effort,Medium Effort,3rd,1st,1st
71_2_36_p0,Medium Effort,Medium Effort,1st,1st,3rd
71_2_38_p0,Low Effort,Low Effort,1st,1st,1st
71_2_3_p0,Medium Effort,Low Effort,1st,2nd,1st
71_2_41_p0,Medium Effort,Low Effort,1st,1st,2nd
71_2_44_p0,Low Effort,Low Effort,1st,1st,1st
71_2_47_p0,Medium Effort,Low Effort,1st,1st,2nd
71_2_51_p0,Low Effort,Low Effort,1st,1st,1st
71_2_60_p1,Medium Effort,Low Effort,1st,1st,2nd
71_2_63_p1,Medium Effort,Medium Effort,1st,1st,3rd
71_2_66_p1,Medium Effort,Medium Effort,2nd,1st,3rd
71_2_6_p0,Medium Effort,Low Effort,2nd,1st,2nd
71_2_70_p1,Low Effort,Low Effort,1st,1st,1st
71_2_73_p1,Medium Effort,Medium Effort,2nd,1st,3rd
71_2_76_p1,Medium Effort,Low Effort,1st,1st,2nd
71_2_81_p0,Medium Effort,Low Effort,2nd,1st,1st
71_2_86_p0,Medium Effort,Low Effort,1st,1st,2nd
71_2_88_p0,Medium Effort,Low Effort,2nd,1st,2nd
71_2_91_p0,Medium Effort,Low Effort,1st,1st,2nd
71_2_9_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
72_2_100_p0,High Effort,Medium Effort,3rd,3rd,2nd
72_2_112_p1,High Effort,Medium Effort,3rd,3rd,2nd
72_2_115_p1,Medium Effort,Low Effort,2nd,1st,1st
72_2_11_p0,High Effort,High Effort,3rd,3rd,2nd
72_2_14_p0,High Effort,High Effort,3rd,3rd,2nd
72_2_22_p1,Medium Effort,Medium Effort,3rd,1st,1st
72_2_25_p1,High Effort,High Effort,3rd,3rd,1st
72_2_28_p1,Medium Effort,Low Effort,2nd,1st,1st
72_2_31_p1,Medium Effort,Medium Effort,2nd,2nd,1st
72_2_35_p1,Medium Effort,Medium Effort,3rd,1st,1st
72_2_37_p1,Medium Effort,Medium Effort,3rd,1st,1st
72_2_43_p0,Medium Effort,Medium Effort,2nd,1st,2nd
72_2_46_p0,High Effort,Medium Effort,3rd,3rd,2nd
72_2_49_p0,High Effort,Medium Effort,3rd,3rd,1st
72_2_4_p0,High Effort,High Effort,3rd,3rd,2nd
72_2_51_p0,Medium Effort,Medium Effort,2nd,1st,3rd
72_2_54_p0,Medium Effort,Low Effort,2nd,1st,1st
72_2_58_p0,Medium Effort,Medium Effort,2nd,1st,3rd
72_2_67_p1,Medium Effort,Low Effort,1st,1st,2nd
72_2_70_p1,Medium Effort,Low Effort,2nd,1st,1st
72_2_73_p1,Medium Effort,Low Effort,2nd,1st,1st
72_2_76_p1,High Effort,Medium Effort,3rd,3rd,2nd
72_2_79_p1,Medium Effort,Low Effort,1st,2nd,2nd
72_2_7_p0,Medium Effort,Low Effort,2nd,1st,2nd
72_2_83_p1,Medium Effort,Medium Effort,3rd,1st,2nd
72_2_91_p0,High Effort,Medium Effort,3rd,2nd,3rd
72_2_94_p0,High Effort,Medium Effort,3rd,2nd,3rd
72_2_9_p0,High Effort,Medium Effort,3rd,2nd,2nd
8_2_101_p1,Medium Effort,Low Effort,1st,2nd,1st
8_2_104_p1,Medium Effort,Low Effort,1st,3rd,1st
8_2_19_p1,High Effort,Medium Effort,2nd,3rd,2nd
8_2_22_p1,High Effort,Medium Effort,2nd,2nd,3rd
8_2_24_p1,Medium Effort,Low Effort,1st,3rd,1st
8_2_27_p1,High Effort,Medium Effort,1st,3rd,3rd
8_2_30_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
8_2_32_p1,High Effort,Medium Effort,2nd,3rd,2nd
8_2_37_p0,High Effort,High Effort,3rd,3rd,1st
8_2_41_p0,High Effort,High Effort,3rd,3rd,1st
8_2_47_p0,Medium Effort,Medium Effort,3rd,1st,1st
8_2_52_p1,High Effort,High Effort,3rd,3rd,1st
8_2_54_p1,Medium Effort,Low Effort,1st,2nd,1st
8_2_58_p1,Medium Effort,Medium Effort,1st,3rd,1st
8_2_61_p1,Medium Effort,Medium Effort,1st,3rd,1st
8_2_68_p0,Medium Effort,Medium Effort,2nd,2nd,2nd
8_2_71_p0,High Effort,High Effort,3rd,1st,3rd
8_2_75_p0,High Effort,High Effort,3rd,2nd,3rd
8_2_77_p0,High Effort,High Effort,3rd,2nd,3rd
8_2_7_p0,Medium Effort,Low Effort,1st,2nd,1st
8_2_80_p0,Medium Effort,Medium Effort,2nd,1st,2nd
8_2_89_p1,Medium Effort,Medium Effort,2nd,1st,2nd
8_2_92_p1,Medium Effort,Medium Effort,2nd,1st,2nd
8_2_95_p1,Medium Effort,Medium Effort,2nd,1st,2nd
8_2_98_p1,Medium Effort,Low Effort,1st,2nd,1st
9_2_103_p1,Medium Effort,Medium Effort,1st,3rd,1st
9_2_107_p1,Low Effort,Low Effort,1st,1st,1st
9_2_111_p1,Low Effort,Low Effort,1st,1st,1st
9_2_11_p0,Medium Effort,Medium Effort,2nd,1st,3rd
9_2_14_p0,Medium Effort,Medium Effort,2nd,1st,2nd
9_2_17_p0,Low Effort,Low Effort,1st,1st,1st
9_2_20_p0,Medium Effort,Low Effort,2nd,1st,1st
9_2_28_p1,Low Effort,Low Effort,1st,1st,1st
9_2_31_p1,Medium Effort,Low Effort,1st,2nd,1st
9_2_34_p1,Low Effort,Low Effort,1st,1st,1st
9_2_37_p1,Low Effort,Low Effort,1st,1st,1st
9_2_40_p1,Medium Effort,Medium Effort,2nd,1st,2nd
9_2_49_p0,Medium Effort,Low Effort,1st,1st,2nd
9_2_53_p0,Medium Effort,Medium Effort,3rd,1st,2nd
9_2_57_p0,Low Effort,Low Effort,1st,1st,1st
9_2_5_p0,Low Effort,Low Effort,1st,1st,1st
9_2_63_p1,Low Effort,Low Effort,1st,1st,1st
9_2_65_p1,High Effort,Medium Effort,2nd,3rd,3rd
9_2_67_p1,Low Effort,Low Effort,1st,1st,1st
9_2_70_p1,Medium Effort,Low Effort,2nd,1st,1st
9_2_72_p1,Medium Effort,Low Effort,1st,1st,2nd
9_2_82_p0,Low Effort,Low Effort,1st,1st,1st
9_2_85_p0,Medium Effort,Medium Effort,3rd,2nd,1st
9_2_87_p0,Medium Effort,Medium Effort,2nd,2nd,1st
9_2_8_p0,Medium Effort,Low Effort,1st,1st,2nd
9_2_91_p0,Medium Effort,Low Effort,1st,2nd,1st
9_2_95_p0,Medium Effort,Medium Effort,2nd,2nd,1st
