word,modality,fit
aanraken,gesture,0.671
aanraken,multimodal,0.695
aanraken,vocal,0.207
aarde,gesture,0.539
aarde,multimodal,0.524
aarde,vocal,0.195
ademen,gesture,0.782
ademen,multimodal,0.808
ademen,vocal,0.785
alles,gesture,0.351
alles,multimodal,0.381
alles,vocal,0.118
arm (lichaam),gesture,0.537
arm (lichaam),multimodal,0.575
arm (lichaam),vocal,0.127
as,gesture,0.264
as,multimodal,0.246
as,vocal,0.129
badderen,gesture,0.485
badderen,multimodal,0.476
badderen,vocal,0.333
bang,gesture,0.713
bang,multimodal,0.758
bang,vocal,0.694
been,gesture,0.524
been,multimodal,0.516
been,vocal,0.231
beneden,gesture,0.6
beneden,multimodal,0.651
beneden,vocal,0.209
berg,gesture,0.621
berg,multimodal,0.635
berg,vocal,0.292
bijten,gesture,0.788
bijten,multimodal,0.781
bijten,vocal,0.632
bitter,gesture,0.292
bitter,multimodal,0.41
bitter,vocal,0.217
blad,gesture,0.385
blad,multimodal,0.412
blad,vocal,0.204
blauw,gesture,0.269
blauw,multimodal,0.338
blauw,vocal,0.146
blazen,gesture,0.684
blazen,multimodal,0.772
blazen,vocal,0.806
blij,gesture,0.816
blij,multimodal,0.797
blij,vocal,0.571
bliksem,gesture,0.525
bliksem,multimodal,0.596
bliksem,vocal,0.549
bloed,gesture,0.463
bloed,multimodal,0.452
bloed,vocal,0.205
boos,gesture,0.803
boos,multimodal,0.818
boos,vocal,0.743
borst,gesture,0.537
borst,multimodal,0.604
borst,vocal,0.233
"bot (kenmerk, niet lichaam)",gesture,0.244
"bot (kenmerk, niet lichaam)",multimodal,0.311
"bot (kenmerk, niet lichaam)",vocal,0.243
bot (lichaam),gesture,0.447
bot (lichaam),multimodal,0.507
bot (lichaam),vocal,0.204
boven,gesture,0.703
boven,multimodal,0.715
boven,vocal,0.266
dij,gesture,0.352
dij,multimodal,0.371
dij,vocal,0.117
dik,gesture,0.756
dik,multimodal,0.771
dik,vocal,0.328
dit,gesture,0.309
dit,multimodal,0.333
dit,vocal,0.232
doen,gesture,0.209
doen,multimodal,0.22
doen,vocal,0.149
donker,gesture,0.436
donker,multimodal,0.44
donker,vocal,0.212
dood,gesture,0.756
dood,multimodal,0.734
dood,vocal,0.423
dragen,gesture,0.584
dragen,multimodal,0.562
dragen,vocal,0.215
drinken,gesture,0.829
drinken,multimodal,0.809
drinken,vocal,0.657
dromen,gesture,0.482
dromen,multimodal,0.475
dromen,vocal,0.265
droog,gesture,0.269
droog,multimodal,0.318
droog,vocal,0.287
één,gesture,0.855
één,multimodal,0.833
één,vocal,0.241
ei,gesture,0.546
ei,multimodal,0.581
ei,vocal,0.286
eten,gesture,0.814
eten,multimodal,0.799
eten,vocal,0.672
fluisteren,gesture,0.615
fluisteren,multimodal,0.723
fluisteren,vocal,0.703
fruit,gesture,0.417
fruit,multimodal,0.409
fruit,vocal,0.218
gaan,gesture,0.475
gaan,multimodal,0.487
gaan,vocal,0.22
geel,gesture,0.175
geel,multimodal,0.229
geel,vocal,0.177
geur,gesture,0.581
geur,multimodal,0.665
geur,vocal,0.338
geurig,gesture,0.433
geurig,multimodal,0.498
geurig,vocal,0.387
geven,gesture,0.667
geven,multimodal,0.651
geven,vocal,0.276
gezond,gesture,0.243
gezond,multimodal,0.259
gezond,vocal,0.199
gisteren,gesture,0.308
gisteren,multimodal,0.311
gisteren,vocal,0.177
glad,gesture,0.526
glad,multimodal,0.518
glad,vocal,0.293
goed,gesture,0.69
goed,multimodal,0.688
goed,vocal,0.425
gooien,gesture,0.829
gooien,multimodal,0.803
gooien,vocal,0.32
groen,gesture,0.217
groen,multimodal,0.227
groen,vocal,0.177
grommen,gesture,0.533
grommen,multimodal,0.714
grommen,vocal,0.751
groot,gesture,0.758
groot,multimodal,0.763
groot,vocal,0.352
haar,gesture,0.587
haar,multimodal,0.61
haar,vocal,0.203
hand,gesture,0.616
hand,multimodal,0.636
hand,vocal,0.23
hard,gesture,0.432
hard,multimodal,0.483
hard,vocal,0.378
hartig,gesture,0.195
hartig,multimodal,0.261
hartig,vocal,0.159
heden,gesture,0.282
heden,multimodal,0.313
heden,vocal,0.149
heet,gesture,0.794
heet,multimodal,0.785
heet,vocal,0.491
het,gesture,0.152
het,multimodal,0.169
het,vocal,0.146
hij,gesture,0.333
hij,multimodal,0.414
hij,vocal,0.235
hoekig,gesture,0.588
hoekig,multimodal,0.602
hoekig,vocal,0.208
hond,gesture,0.702
hond,multimodal,0.78
hond,vocal,0.846
honing,gesture,0.251
honing,multimodal,0.35
honing,vocal,0.181
hoog,gesture,0.764
hoog,multimodal,0.749
hoog,vocal,0.313
hoorn,gesture,0.541
hoorn,multimodal,0.524
hoorn,vocal,0.613
horen,gesture,0.756
horen,multimodal,0.74
horen,vocal,0.294
hout,gesture,0.249
hout,multimodal,0.286
