TrialID,response_time_sec,prep_time_sec
19_2_25_p1,1.999,2.184
19_2_26_p1,2.416,4.519
19_2_27_p1,8.188,4.243
19_2_28_p1,2.34,2.844
19_2_29_p1,1.907,1.666
19_2_30_p1,3.336,3.358
19_2_31_p1,4.545,3.037
19_2_32_p1,2.061,2.263
19_2_33_p1,2.738,2.634
19_2_34_p1,2.13,1.432
19_2_35_p1,6.85,3.899
19_2_36_p1,2.581,3.1
19_2_37_p1,1.838,2.003
19_2_44_p0,2.225,1.504
19_2_45_p0,1.292,1.033
19_2_46_p0,1.741,0.842
19_2_47_p0,2.437,2.982
19_2_48_p0,1.907,1.233
19_2_49_p0,1.453,3.318
19_2_50_p0,1.319,5.109
19_2_51_p0,1.358,1.003
19_2_52_p0,2.259,0.957
19_2_53_p0,2.125,1.294
19_2_54_p0,5.148,3.788
19_2_55_p0,2.234,1.815
19_2_56_p0,1.368,2.718
19_2_62_p1,2.08,3.605
19_2_63_p1,1.65,2.888
19_2_64_p1,2.193,2.399
19_2_65_p1,1.722,4.085
19_2_66_p1,2.486,3.78
19_2_67_p1,14.021,2.676
