Time,TrialID,upper_body,arms,lower_body,head_mov,movement_in_trial
0.0,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
16.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
33.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
50.0,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
66.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
83.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
99.9999999999999,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
116.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
133.33333333333331,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
150.0,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
166.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
183.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
199.9999999999999,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
216.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
233.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
249.9999999999999,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
266.66666666666663,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
283.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
300.0,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
316.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
333.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
350.0,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
366.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
383.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
399.9999999999999,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
416.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
433.3333333333333,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
449.9999999999999,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
466.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
483.33333333333326,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
499.9999999999999,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
516.6666666666666,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
533.3333333333334,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
550.0,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
566.6666666666667,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
583.3333333333335,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
600.0000000000002,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
616.666666666667,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
633.3333333333336,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
650.0000000000003,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
666.6666666666671,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
683.3333333333338,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
700.0000000000005,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
716.6666666666672,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
733.3333333333339,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
750.0000000000007,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
766.6666666666674,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
783.333333333334,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
800.0000000000008,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
816.6666666666675,0_1_3_p0,nomovement,nomovement,nomovement,nomovement,nomovement
